ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,NSGA2,HHSE,Objectives,RAM,Improved,Chosen_operator
BJEOZZ,98444,1,1,1,0.03333333333333333,False,False,"[7, 48, 58, 32, 63, 27, 47, 37]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.6577169681127693,,,,2417790464,5457572,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0.03333333333333333,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.1,NONE,TPC_NONE
BWWIRP[M],98444,1,2,2,0.06666666666666667,True,True,"[8, 12, 42, 54, 46, 6, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7097911989100663,,,,1075925504,3602084,,,,,,"[8, 12, 42, 54, 46, 6, 49, 22]",0.957314438622666,0.009343858916376346,0.25,0.75,0.0,8,0.06666666666666667,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,TPC_MSWAP,TPC_MSWAP
BWWIRP[M],98444,1,3,2,0.1,True,True,"[8, 12, 42, 54, 46, 6, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7097911989100663,,,,1075925504,3602084,,,,,,"[8, 12, 42, 54, 46, 6, 49, 22]",0.8652547470552566,-0.03449564832195029,0.25,0.75,0.0,0,0.06666666666666667,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,NONE,SPC_MPAR
BWWIRP[M],98444,1,4,2,0.13333333333333333,True,True,"[8, 12, 42, 54, 46, 6, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7097911989100663,,,,1075925504,3602084,,,,,,"[8, 12, 42, 54, 46, 6, 49, 22]",0.912396002034914,-0.012245088453353037,0.25,0.75,0.0,0,0.06666666666666667,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,NONE,SPC_MSWAP
BWWIRP[M],98444,1,5,2,0.16666666666666666,True,True,"[8, 12, 42, 54, 46, 6, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7097911989100663,,,,1075925504,3602084,,,,,,"[8, 12, 42, 54, 46, 6, 49, 22]",0.8834508986850775,-0.06293229905563624,0.25,0.75,0.0,0,0.06666666666666667,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.1,NONE,SPC_MSWAP
BDCQAD[M],98444,1,6,6,0.2,True,True,"[34, 6, 22, 38, 46, 20, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.712142015140411,,,,1144805888,3162404,,,,,,"[34, 6, 21, 38, 46, 20, 49, 22]",0.8265843648299959,-0.0819709892760283,0.5,0.5,0.125,5,0.2,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.1,NONE,SPC_MSWAP
BDCQAD[M],98444,1,7,6,0.23333333333333334,True,True,"[34, 6, 22, 38, 46, 20, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.712142015140411,,,,1144805888,3162404,,,,,,"[34, 6, 21, 38, 46, 20, 49, 22]",0.8660977996206922,-0.047944663015616396,0.5,0.5,0.125,0,0.2,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,NONE,SPC_MPAR
BNXRCE[M],98444,1,8,8,0.26666666666666666,True,True,"[35, 6, 19, 38, 46, 20, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7147830242965478,,,,1276680704,3026468,,,,,,"[35, 6, 19, 38, 46, 20, 49, 22]",0.8654608755664901,-0.04329315911815845,0.25,0.5,0.0,2,0.26666666666666666,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,NONE,TPC_MSWAP
BNXRCE[M],98444,1,9,8,0.3,True,True,"[35, 6, 19, 38, 46, 20, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7147830242965478,,,,1276680704,3026468,,,,,,"[35, 6, 19, 38, 46, 20, 49, 22]",0.8661376229011221,-0.021556730916363787,0.25,0.5,0.0,0,0.26666666666666666,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.1,NONE,SPC_MPAR
BXBYCX[M],98444,1,10,10,0.3333333333333333,True,True,"[20, 6, 4, 38, 46, 20, 49, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7197176463375268,,,,936983040,2811556,,,,,,"[20, 6, 4, 38, 46, 20, 49, 22]",0.8213919625337998,-0.09982546751355581,0.375,0.375,0.0,2,0.3333333333333333,,,,,0,0,BEST,False,False,,,,,,,1,1,,44.2,NONE,UC_MSWAP
