ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,NSGA2,HHSE,Objectives,RAM,Improved,Chosen_operator
BQFDCX,11530,1,30,8,1,TRUE,FALSE,"[2, 5, 4, 38, 47, 38, 38, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.72635538,,,,934042624,4642980,,,,,,,0.860346917,-0.07932899,0.25,0.125,0,0,0.266666667,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,37.3,NONE,UC_MSWAP
BGPMEU[M],69764,2,30,17,1,TRUE,TRUE,"[14, 20, 4, 34, 22, 6, 38, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.725763336,,,,964580352,2713252,,,,,,"[14, 20, 4, 34, 22, 6, 38, 39]",0.778130269,-0.11411843,0.125,0.25,0,0,0.566666667,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,38.1,NONE,SPC_MSWAP
BTIQYV,47285,3,30,16,1,TRUE,FALSE,"[14, 20, 4, 22, 22, 6, 22, 23]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.720697396,,,,951823360,1971876,,,,,,,0.747258672,-0.13322471,0.125,0.625,0,0,0.533333333,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,37.1,NONE,SPC_MSWAP
BJHJZV[M],89819,4,30,24,1,TRUE,TRUE,"[0, 20, 4, 38, 22, 22, 38, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.722442793,,,,646691840,2966180,,,,,,"[0, 20, 4, 38, 22, 22, 38, 39]",0.798251604,-0.073559796,0.375,0.125,0,0,0.8,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,37.4,NONE,SPC_MSWAP
BFOPNF[M],72609,5,30,10,1,TRUE,TRUE,"[20, 20, 4, 23, 46, 6, 55, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.722952077,,,,1063565312,4636964,,,,,,"[20, 20, 4, 23, 46, 6, 55, 22]",0.850019976,-0.108413095,0.125,0.375,0,0,0.333333333,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,37.7,NONE,UC_MSWAP
BTDWJG[M],53723,6,30,11,1,TRUE,TRUE,"[20, 20, 4, 23, 22, 6, 38, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.718885119,,,,906248192,2178596,,,,,,"[20, 20, 4, 23, 22, 6, 38, 22]",0.906005529,-0.050429789,0.125,0.5,0,0,0.366666667,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,38.9,NONE,UC_MSWAP
BDKHN[M],49870,7,30,17,1,TRUE,TRUE,"[2, 20, 4, 38, 22, 38, 38, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.726268667,,,,741248000,3289124,,,,,,"[2, 20, 4, 38, 22, 38, 38, 39]",0.781931694,-0.116234,0.125,0.125,0,0,0.566666667,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,38.4,NONE,UC_MSWAP
BCEAXG[M],14235,8,30,16,1,TRUE,TRUE,"[14, 20, 4, 22, 22, 6, 38, 23]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7255858,,,,961265664,2267044,,,,,,"[14, 20, 4, 22, 22, 6, 38, 23]",0.755519046,-0.132851093,0.375,0.125,0,0,0.533333333,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,38.7,NONE,UC_MSWAP
BIVHDP[M],29149,9,30,24,1,TRUE,TRUE,"[14, 20, 4, 34, 46, 6, 38, 6]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.722996967,,,,974030336,2061860,,,,,,"[14, 20, 4, 34, 46, 6, 38, 6]",0.822474597,-0.088242432,0.25,0.125,0,0,0.8,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,38.9,NONE,UC_MSWAP
BUAGFZ[M],91174,10,30,18,1,TRUE,TRUE,"[14, 20, 4, 22, 22, 6, 38, 23]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,GA,,,,0.7255858,,,,961265664,2267044,,,,,,"[14, 20, 4, 22, 22, 6, 38, 23]",0.726616192,-0.120162229,0.25,0.5,0,0,0.6,,,,,0,0,BEST,FALSE,FALSE,,,,,,,1,1,,39.2,NONE,TPC_MSWAP
