ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BBGKQQ[M],0,1,1,1,0.2,True,True,"[36, 22, 20, 40, 15, 34, 29, 31]",[],"[36.25696417211962, 22.077164614344667, 20.470866970662634, 40.36279127773484, 15.489871552880878, 34.95373492360391, 29.562636262562204, 31.468476331920346]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6767441865456688,,,,1362600960,2666020,,,,,,"[35, 22, 20, 40, 13, 35, 28, 33]",0.6493311646304052,0.0,0.0,0.0,0.625,0.0,0.2,0,0,10,0,0.0,0,BEST,False,False,5,True,True,GREEDY,,,GREEDY_CROSS
BBGKQQ[M],0,1,2,1,0.4,True,True,"[36, 22, 20, 40, 15, 34, 29, 31]",[],"[36.25696417211962, 22.077164614344667, 20.470866970662634, 40.36279127773484, 15.489871552880878, 34.95373492360391, 29.562636262562204, 31.468476331920346]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6767441865456688,,,,1362600960,2666020,,,,,,"[35, 22, 20, 40, 13, 35, 28, 33]",0.6683242488192258,2.040604330733053e-05,0.0,0.0,0.625,0.0,0.2,2,0,10,0,0.2,0,BEST,False,False,5,True,True,GREEDY,,,GREEDY_CROSS
BGQNWX[M],0,1,3,3,0.6,True,True,"[37, 23, 20, 40, 15, 34, 29, 31]",[],"[37.87373877034757, 23.327226085102073, 20.393640913066402, 40.34960597380088, 15.128968744144323, 34.03358951861509, 29.32413318917243, 31.042462547740875]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6788100064180334,,,,2436342784,3190308,,,,,,"[36, 22, 20, 40, 15, 34, 29, 31]",0.669458038923711,0.008777631883695,0.0,0.0,0.25,0.25,0.6,0,0,10,0,0.0,0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_CROSS
BGQNWX[M][M],0,1,4,4,0.8,True,True,"[38, 23, 23, 42, 15, 35, 28, 31]",[],"[38.430755962968675, 23.12824697069718, 23.837052723339177, 42.58553241318765, 15.297088361864711, 35.30485858205549, 28.34016735631613, 31.111270498406498]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6830517914685721,,,,2769765376,3958436,,,,,,"[37, 23, 20, 40, 15, 34, 29, 31]",0.6764453324195852,0.0098988515636594,0.0,0.0,0.625,0.625,0.8,0,0,10,0,0.0,0,BEST,False,False,3,True,True,GREEDY,,,GREEDY_CROSS
BGRWVU[M],0,1,5,5,1.0,True,True,"[38, 22, 21, 39, 14, 33, 28, 31]",[],"[38.184180823001874, 22.28431355756869, 21.744297636965364, 39.99236459488981, 14.745824831777915, 33.708292069058686, 28.971090567381083, 31.893880345525574]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.684598769732901,,,,2154183680,3434276,,,,,,"[37, 23, 20, 40, 15, 34, 29, 31]",0.6704342857289329,-0.0029064754181797,0.0,1.0,0.875,0.625,1.0,0,0,10,0,0.0,0,BEST,False,False,2,True,True,GREEDY,,,GREEDY_CROSS
BSMCJH,1,2,1,1,0.2,False,False,"[51, 25, 58, 42, 44, 63, 27, 55]",[],"[51.27824326953953, 25.73267385957761, 58.42051276203178, 42.345421490580826, 44.94355377331544, 63.40600869250929, 27.741798722331577, 55.70542678758207]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6848886594195991,,,,2218857472,6486180,,,,,,,0.6400021337000064,0.0,0.0,0.0,0.0,0.0,0.2,5,0,10,0,0.5,0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_CROSS
BSMCJH,1,2,2,1,0.4,False,False,"[51, 25, 58, 42, 44, 63, 27, 55]",[],"[51.27824326953953, 25.73267385957761, 58.42051276203178, 42.345421490580826, 44.94355377331544, 63.40600869250929, 27.741798722331577, 55.70542678758207]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6848886594195991,,,,2218857472,6486180,,,,,,,0.6520792553351725,-0.0222364746853008,0.0,0.0,0.0,0.0,0.2,1,0,10,0,0.1,0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_CROSS
BSMCJH,1,2,3,1,0.6,False,False,"[51, 25, 58, 42, 44, 63, 27, 55]",[],"[51.27824326953953, 25.73267385957761, 58.42051276203178, 42.345421490580826, 44.94355377331544, 63.40600869250929, 27.741798722331577, 55.70542678758207]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6848886594195991,,,,2218857472,6486180,,,,,,,0.6623439656392025,-0.0013862301165815,0.0,0.0,0.0,0.0,0.2,0,0,10,0,0.0,0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_CROSS
BSMCJH,1,2,4,1,0.8,False,False,"[51, 25, 58, 42, 44, 63, 27, 55]",[],"[51.27824326953953, 25.73267385957761, 58.42051276203178, 42.345421490580826, 44.94355377331544, 63.40600869250929, 27.741798722331577, 55.70542678758207]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6848886594195991,,,,2218857472,6486180,,,,,,,0.6687054033323275,0.0035630073793496,0.0,0.0,0.0,0.0,0.2,3,0,10,0,0.3,0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_CROSS
BSMCJH,1,2,5,1,1.0,False,False,"[51, 25, 58, 42, 44, 63, 27, 55]",[],"[51.27824326953953, 25.73267385957761, 58.42051276203178, 42.345421490580826, 44.94355377331544, 63.40600869250929, 27.741798722331577, 55.70542678758207]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6848886594195991,,,,2218857472,6486180,,,,,,,0.666399258796045,-5.620011550266924e-05,0.0,0.0,0.0,0.0,0.2,2,0,10,0,0.2,0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_CROSS
