ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI,0,1,1,1,0.01,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6737856223900255,0.0,0.0,0.0,0.0,0.0,0.01,14,0,100,0,0.14,0,BEST,False,False,387,True,True,GREEDY,,,GREEDY_CROSS
BVFFAX[M],0,1,2,2,0.02,True,True,"[54, 43, 62, 38, 11, 21, 12, 23]",[],"[54.80403388603289, 43.23818139707149, 62.80347386102177, 38.67985359081, 11.694522775815997, 21.48002987620438, 12.62894299022628, 23.304438262327874]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6922501014404074,,,,4513794560,4507940,,,,,,"[7, 32, 50, 38, 48, 22, 15, 27]",0.6848805430537189,-0.0062624732091636,0.0,0.0,0.875,1.0,0.02,10,0,100,0,0.1,0,BEST,False,False,379,True,True,GREEDY,,,GREEDY_CROSS
BLOKUN[M],0,1,3,3,0.03,True,True,"[2, 26, 43, 38, 44, 5, 29, 22]",[],"[2.4699399255737875, 26.054760677604225, 43.70216134440137, 38.872190428339756, 44.54456082449464, 5.112736896164103, 29.97456289168637, 22.075723743855598]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.694408554379239,,,,927462400,2725668,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6921885370937293,-0.0012413595829463,0.0,0.0,0.625,0.875,0.03,3,0,100,0,0.03,0,BEST,False,False,370,True,True,GREEDY,,,GREEDY_CROSS
BCGOYC,0,1,4,4,0.04,True,False,"[2, 26, 43, 38, 44, 5, 31, 62]",[],"[2.2063147336544784, 26.232873713534335, 43.13002493035186, 38.14000649131645, 44.32056143932712, 5.971415049963715, 31.124161065768917, 62.2390988911754]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6996110650682428,,,,998266880,4938788,,,,,,,0.7005273232259002,-0.0054547871864051,0.25,0.75,0.0,0.25,0.04,3,0,100,0,0.03,0,BEST,False,False,338,True,True,GREEDY,,,GREEDY_CROSS
BMEVNK[M],0,1,5,5,0.05,True,True,"[2, 11, 45, 38, 4, 6, 31, 62]",[],"[2.8499623162295658, 11.476442497036802, 45.87440367046203, 38.94008605571407, 4.588474126416873, 6.583259459888582, 31.679015132740513, 62.06805631563744]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7008468692955644,,,,958644224,4500772,,,,,,"[3, 11, 45, 38, 4, 6, 31, 62]",0.7124333512110698,0.006938300874773,0.625,0.375,0.125,0.5,0.05,3,0,100,0,0.03,0,BEST,False,False,324,True,True,GREEDY,,,GREEDY_CROSS
BXJDFZ[M],0,1,6,6,0.06,True,True,"[2, 11, 46, 38, 5, 6, 31, 62]",[],"[2.3281095376775904, 11.987181490743119, 46.272772523210925, 38.99881541587074, 5.594467668829857, 6.7209003747621265, 31.092497363045577, 62.93188150584642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7058158798736834,,,,983973888,4599588,,,,,,"[2, 11, 45, 38, 4, 6, 31, 62]",0.7116581716125878,8.242213183828895e-05,0.875,0.0,0.25,0.25,0.06,2,0,100,0,0.02,0,BEST,False,False,271,True,True,GREEDY,,,GREEDY_CROSS
BXJDFZ[M],0,1,7,6,0.07,True,True,"[2, 11, 46, 38, 5, 6, 31, 62]",[],"[2.3281095376775904, 11.987181490743119, 46.272772523210925, 38.99881541587074, 5.594467668829857, 6.7209003747621265, 31.092497363045577, 62.93188150584642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7058158798736834,,,,983973888,4599588,,,,,,"[2, 11, 45, 38, 4, 6, 31, 62]",0.7183910461495272,0.0013850908964047,0.875,0.0,0.25,0.0,0.06,1,0,100,0,0.01,0,BEST,False,False,271,True,True,GREEDY,,,GREEDY_CROSS
BXJDFZ[M],0,1,8,6,0.08,True,True,"[2, 11, 46, 38, 5, 6, 31, 62]",[],"[2.3281095376775904, 11.987181490743119, 46.272772523210925, 38.99881541587074, 5.594467668829857, 6.7209003747621265, 31.092497363045577, 62.93188150584642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7058158798736834,,,,983973888,4599588,,,,,,"[2, 11, 45, 38, 4, 6, 31, 62]",0.7170958699974521,-1.7082124252332243e-05,0.875,0.0,0.25,0.0,0.06,2,0,100,0,0.02,0,BEST,False,False,271,True,True,GREEDY,,,GREEDY_CROSS
BXJDFZ[M],0,1,9,6,0.09,True,True,"[2, 11, 46, 38, 5, 6, 31, 62]",[],"[2.3281095376775904, 11.987181490743119, 46.272772523210925, 38.99881541587074, 5.594467668829857, 6.7209003747621265, 31.092497363045577, 62.93188150584642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7058158798736834,,,,983973888,4599588,,,,,,"[2, 11, 45, 38, 4, 6, 31, 62]",0.7194296088543611,-7.881244908358731e-06,0.875,0.0,0.25,0.0,0.06,1,0,100,0,0.01,0,BEST,False,False,271,True,True,GREEDY,,,GREEDY_CROSS
BXJDFZ[M],0,1,10,6,0.1,True,True,"[2, 11, 46, 38, 5, 6, 31, 62]",[],"[2.3281095376775904, 11.987181490743119, 46.272772523210925, 38.99881541587074, 5.594467668829857, 6.7209003747621265, 31.092497363045577, 62.93188150584642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7058158798736834,,,,983973888,4599588,,,,,,"[2, 11, 45, 38, 4, 6, 31, 62]",0.7194290940414091,1.9334202833509728e-05,0.875,0.0,0.25,0.0,0.06,0,0,100,0,0.0,0,BEST,False,False,271,True,True,GREEDY,,,GREEDY_CROSS
