ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BSTZJM,0,1,100,93,1.0,True,False,"[2, 7, 4, 38, 46, 6, 31, 23]",[],"[2.865723603422231, 7.678166711886183, 4.839309288548714, 38.0487534885603, 46.89371631013987, 6.0858876006493965, 31.98559088133404, 23.831004508991498]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7174025330530603,,,,1029553152,3487524,,,,,,,0.738461839140642,4.8592613958176045e-06,0.125,0.125,0.0,0.0,0.93,0,0,100,0,0.0,0,BEST,False,False,40,True,True,GREEDY,,,GREEDY_CROSS
BJPLLS,1,2,100,68,1.0,True,False,"[14, 3, 4, 38, 14, 22, 38, 36]",[],"[14.998916367115804, 3.5769340127375027, 4.951379324087232, 38.72976978398921, 14.27611583874082, 22.498350673880662, 38.188536750197606, 36.53891919440642]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7117594962270265,,,,880338432,2376740,,,,,,,0.7337634807582634,1.2511086026067986e-06,0.125,0.875,0.0,0.0,0.68,0,0,100,0,0.0,0,BEST,False,False,161,True,True,GREEDY,,,GREEDY_CROSS
BAJKQL,2,3,100,39,1.0,True,False,"[20, 7, 4, 22, 46, 6, 39, 23]",[],"[20.653712838279212, 7.6495433263910035, 4.4426399103293255, 22.66714510623508, 46.595139852246625, 6.58746014868421, 39.745004263048315, 23.595991767317262]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.722103499254321,,,,1114902528,3653796,,,,,,,0.7411195063887559,-1.874234854082335e-05,0.5,0.125,0.0,0.0,0.39,0,0,100,0,0.0,0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_CROSS
BJCGNO,3,4,100,98,1.0,True,False,"[14, 12, 15, 38, 28, 30, 55, 23]",[],"[14.291261175250204, 12.842041659090208, 15.711693801167105, 38.82278882180201, 28.081549249423734, 30.669869250149716, 55.448735759592076, 23.194051197120842]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7167276130995062,,,,1414311936,4922020,,,,,,,0.7364193288637314,-1.577723696133404e-08,0.25,0.25,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,63,True,True,GREEDY,,,GREEDY_CROSS
BJYYKZ[M],4,5,100,95,1.0,True,True,"[14, 6, 2, 38, 28, 22, 38, 23]",[],"[14.46931245912145, 6.232114800918374, 2.828343629019523, 38.18621686166257, 28.351657406335576, 22.26120361504009, 38.6338188200629, 23.009800492477048]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7137714479975753,,,,929744896,2621348,,,,,,"[14, 6, 2, 38, 28, 22, 38, 23]",0.7353406346563276,-5.420967583713576e-07,0.5,0.125,0.0,0.0,0.95,0,0,100,0,0.0,0,BEST,False,False,118,True,True,GREEDY,,,GREEDY_CROSS
BICDNK,5,6,100,97,1.0,True,False,"[14, 30, 20, 38, 20, 38, 31, 62]",[],"[14.452852018696934, 30.889864253245918, 20.891775293102786, 38.85309611693232, 20.864441984845843, 38.30603696511821, 31.975908349484072, 62.62998542625396]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7148999392608103,,,,1928306688,5094564,,,,,,,0.7333291084506152,0.0002922585537685,0.25,0.375,0.0,0.0,0.97,1,0,100,0,0.01,0,BEST,False,False,102,True,True,GREEDY,,,GREEDY_CROSS
BKAFZN[M],6,7,100,95,1.0,True,True,"[20, 4, 20, 23, 46, 6, 22, 55]",[],"[20.182248202538155, 4.179194959215615, 20.634803598127622, 23.009620053919082, 46.71505127254604, 6.270998973612575, 22.79262810154549, 55.60924930858932]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7189074071630771,,,,950196224,4636964,,,,,,"[20, 4, 20, 22, 46, 6, 22, 55]",0.7387286232843748,-2.362816166945336e-06,0.0,0.0,0.125,0.0,0.95,0,0,100,0,0.0,0,BEST,False,False,19,True,True,GREEDY,,,GREEDY_CROSS
BVAMQF,7,8,100,70,1.0,True,False,"[14, 7, 20, 30, 46, 6, 54, 6]",[],"[14.289878093666202, 7.71251049866608, 20.669683642093272, 30.794743330668993, 46.59375208378727, 6.577259007207829, 54.44873492575711, 6.885102180180157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7178075447101055,,,,1333022208,3603492,,,,,,,0.7359100858844924,3.237757569829469e-07,0.5,0.125,0.0,0.0,0.7,0,0,100,0,0.0,0,BEST,False,False,32,True,True,GREEDY,,,GREEDY_CROSS
BEQLAO[M],8,9,100,74,1.0,True,True,"[20, 12, 15, 38, 46, 6, 38, 23]",[],"[20.75370227619925, 12.474413482510808, 15.693407079491156, 38.91432885874699, 46.839424529019446, 6.32058792236282, 38.547585645580774, 23.44540465510724]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7173186666440375,,,,1176883200,3592612,,,,,,"[20, 11, 15, 38, 46, 6, 38, 23]",0.7382567796452324,-1.1052207780304356e-05,0.0,0.0,0.125,0.0,0.74,0,0,100,0,0.0,0,BEST,False,False,44,True,True,GREEDY,,,GREEDY_CROSS
BDLICD,9,10,100,93,1.0,True,False,"[14, 20, 27, 38, 28, 7, 38, 15]",[],"[14.671566695281673, 20.419257538223825, 27.06574638174926, 38.575799874580476, 28.596223261182903, 7.384523659981123, 38.96714934946767, 15.27743707201061]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7114638560240201,,,,1187755520,2782628,,,,,,,0.7330721327911776,4.437832269998943e-06,0.125,0.125,0.0,0.0,0.93,1,0,100,0,0.01,0,BEST,False,False,169,True,True,GREEDY,,,GREEDY_CROSS
