counts,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0,0,0,1,0,2,0,0,0,0,1,0
SBX_MPOLY,0,0,0,0,1,0,0,0,0,0,0,0
SBX_NONE,0,0,0,0,0,0,0,2,0,0,0,0
SPC_MNUF,0,0,0,86,95,71,46,50,43,24,30,31
SPC_MPOLY,0,0,0,96,124,80,66,55,49,29,30,27
SPC_NONE,2,1,1,60,67,42,50,54,38,22,26,17
TPC_MNUF,0,0,0,59,60,39,53,48,37,21,23,15
TPC_MPOLY,0,0,0,52,72,42,43,36,45,21,21,15
TPC_NONE,1,0,0,40,60,44,29,38,31,22,23,17
UC_MNUF,0,0,1,22,29,19,26,22,23,22,17,6
UC_MPOLY,1,0,0,31,30,28,21,28,23,16,18,10
UC_NONE,0,0,0,23,29,16,20,13,12,11,16,11
