ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 27, 44, 38, 47, 6, 29, 21]",[],"[2.1058430728480158, 27.284770410523027, 44.52001736633412, 38.867359353591176, 47.08475624048198, 6.769091836025176, 29.758314716298244, 21.542181736890175]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6999965546026538,,,,1165641216,3737636,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6718292562626207,0.0,0.0,0.0,0.5,0.0,0.01,0,13,0,100,0,0.13,BEST,False,False,209,True,True,GREEDY,,,GREEDY_MUT
BWKHDH[M],0,1,2,2,0.02,True,True,"[44, 26, 0, 38, 14, 38, 55, 12]",[],"[44.86325369977322, 26.48545906491689, 0, 38.28320879846253, 14.61861652145088, 38.259459311541754, 55.81871823782288, 12.479675610945847]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7034935310683034,,,,1597857792,4315172,,,,,,"[45, 28, 63, 38, 14, 37, 55, 12]",0.699497876290839,0.0107158722294375,0.625,0.875,0.5,0.875,0.02,0,4,0,100,0,0.04,BEST,False,False,163,True,True,GREEDY,,,GREEDY_MUT
BWKHDH[M],0,1,3,2,0.03,True,True,"[44, 26, 0, 38, 14, 38, 55, 12]",[],"[44.86325369977322, 26.48545906491689, 0, 38.28320879846253, 14.61861652145088, 38.259459311541754, 55.81871823782288, 12.479675610945847]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7034935310683034,,,,1597857792,4315172,,,,,,"[45, 28, 63, 38, 14, 37, 55, 12]",0.6960609903934196,-0.0043065085134057,0.625,0.875,0.5,0.0,0.02,0,0,0,100,0,0.0,BEST,False,False,163,True,True,GREEDY,,,GREEDY_MUT
BKDERP[M],0,1,4,4,0.04,True,True,"[2, 23, 43, 38, 46, 6, 30, 22]",[],"[2.3764538779539164, 23.522147635634287, 43.407147414231055, 38.36017914919086, 46.21813909196895, 6.518501032086195, 30.210664489749785, 22.24935620885433]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7049634640451851,,,,1900076032,4026404,,,,,,"[1, 24, 43, 38, 46, 6, 30, 22]",0.7043078429881601,-0.0005090268665618,0.25,0.625,0.25,0.875,0.04,0,0,0,100,0,0.0,BEST,False,False,143,True,True,GREEDY,,,GREEDY_MUT
BKDERP[M][M],0,1,5,5,0.05,True,True,"[2, 23, 43, 38, 47, 6, 31, 22]",[],"[2.447322644536364, 23.265024365848117, 43.23075701241416, 38.67849764647125, 47.305558942521735, 6.136551722164441, 31.417270364109665, 22.834525337261557]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7060534923938376,,,,1975573504,4812836,,,,,,"[2, 23, 43, 38, 46, 6, 30, 22]",0.7066133123112492,-0.0052983764451484,0.0,0.0,0.25,0.25,0.05,0,0,0,100,0,0.0,BEST,False,False,127,True,True,GREEDY,,,GREEDY_MUT
BKDERP[M][M][M],0,1,6,6,0.06,True,True,"[3, 23, 42, 38, 47, 6, 31, 23]",[],"[3.126706311071816, 23.547023824213326, 42.076690846817485, 38.92699617719873, 47.212697674808325, 6.231189477005243, 31.681053371679038, 23.982240492123356]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7103385511451575,,,,1983962112,4976676,,,,,,"[2, 23, 43, 38, 47, 6, 31, 22]",0.7135683414635047,0.0026526027000862,0.0,0.0,0.375,0.375,0.06,0,1,0,100,0,0.01,BEST,False,False,64,True,True,GREEDY,,,GREEDY_MUT
BKDERP[M][M][M],0,1,7,6,0.07,True,True,"[3, 23, 42, 38, 47, 6, 31, 23]",[],"[3.126706311071816, 23.547023824213326, 42.076690846817485, 38.92699617719873, 47.212697674808325, 6.231189477005243, 31.681053371679038, 23.982240492123356]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7103385511451575,,,,1983962112,4976676,,,,,,"[2, 23, 43, 38, 47, 6, 31, 22]",0.7155192696915291,-0.0006704057771578,0.0,0.0,0.375,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,64,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,8,8,0.08,True,True,"[5, 30, 44, 38, 46, 7, 31, 23]",[],"[5.081458437868811, 30.156416533321135, 44.78453814567359, 38.86240051994505, 46.95329743875716, 7.544310755732876, 31.20489869757256, 23.14462910381357]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.712624004594374,,,,1921457152,4688420,,,,,,"[4, 30, 44, 38, 47, 6, 31, 22]",0.7163523737767681,-0.0006131813547307,0.0,0.0,0.5,0.625,0.08,0,0,0,100,0,0.0,BEST,False,False,32,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,9,8,0.09,True,True,"[5, 30, 44, 38, 46, 7, 31, 23]",[],"[5.081458437868811, 30.156416533321135, 44.78453814567359, 38.86240051994505, 46.95329743875716, 7.544310755732876, 31.20489869757256, 23.14462910381357]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.712624004594374,,,,1921457152,4688420,,,,,,"[4, 30, 44, 38, 47, 6, 31, 22]",0.7204531773029089,-0.0024651022975169,0.0,0.0,0.5,0.0,0.08,0,0,0,100,0,0.0,BEST,False,False,32,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,10,8,0.1,True,True,"[5, 30, 44, 38, 46, 7, 31, 23]",[],"[5.081458437868811, 30.156416533321135, 44.78453814567359, 38.86240051994505, 46.95329743875716, 7.544310755732876, 31.20489869757256, 23.14462910381357]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.712624004594374,,,,1921457152,4688420,,,,,,"[4, 30, 44, 38, 47, 6, 31, 22]",0.7246951656658202,-0.0002106502984773,0.0,0.0,0.5,0.0,0.08,0,0,0,100,0,0.0,BEST,False,False,32,True,True,GREEDY,,,GREEDY_MUT
