ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M][M][M][M][M][M][M][M][M],0,1,100,80,1.0,True,True,"[2, 30, 43, 38, 46, 6, 31, 23]",[],"[2.458552830434654, 30.132764598447476, 43.329636958918094, 38.51540470911068, 46.42609776725172, 6.99574939948168, 31.68846065169472, 23.08037996865434]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.715625914525158,,,,1514200064,4354084,,,,,,"[2, 29, 43, 38, 46, 6, 31, 23]",0.7353753167931953,-3.414900906273388e-06,0.0,0.0,0.125,0.0,0.8,0,0,0,100,0,0.0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_MUT
BOOKAY[M][M][M][M][M],1,2,100,95,1.0,True,True,"[62, 8, 38, 38, 46, 61, 27, 6]",[],"[62.58882555043058, 8.640300994999691, 38.32739399463881, 38.74070940986207, 46.82025400227772, 61.50944161456988, 27.954038686680562, 6.991194829821648]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7158064708111467,,,,3435515392,6143908,,,,,,"[62, 8, 38, 38, 46, 61, 28, 6]",0.7357678204805495,-1.5813577259882194e-06,0.0,0.0,0.125,0.0,0.95,0,0,0,100,0,0.0,BEST,False,False,8,True,True,GREEDY,,,GREEDY_MUT
BIKIGE[M][M][M][M][M][M][M][M][M][M][M][M],2,3,100,90,1.0,True,True,"[2, 0, 4, 23, 46, 7, 54, 6]",[],"[2.283589173660904, 0.8875358365708689, 4.96113893280338, 23.151483545780906, 46.06362122063781, 7.963757212367311, 54.33774238400261, 6.102175694363064]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7097794004769721,,,,630009344,3349796,,,,,,"[0, 0, 4, 23, 46, 7, 54, 6]",0.7308258421397122,-3.239229064755378e-06,0.0,0.0,0.125,0.0,0.9,0,0,0,100,0,0.0,BEST,False,False,77,True,True,GREEDY,,,GREEDY_MUT
BTMJFC[M][M],3,4,100,93,1.0,True,True,"[14, 3, 15, 39, 46, 6, 55, 14]",[],"[14.857720287267153, 3.3422744104018864, 15.87784818748607, 39.79304479998806, 46.822399020551764, 6.6624065865122475, 55.512341593118144, 14.2568568614185]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.717697271519693,,,,1462529536,5426084,,,,,,"[14, 2, 15, 39, 46, 6, 55, 14]",0.737176075164251,-2.658416280332254e-06,0.0,0.0,0.125,0.0,0.93,0,0,0,100,0,0.0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_MUT
BIRGCM[M],4,5,100,87,1.0,True,True,"[14, 7, 4, 38, 14, 4, 27, 15]",[],"[14.631578223212141, 7.242773512802513, 4.184738584311246, 38.6569430603731, 14.32547474028102, 4.774508511952561, 27.967765077302328, 15.79407288563033]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7089386132676653,,,,1186323968,1944356,,,,,,"[14, 7, 0, 38, 14, 4, 27, 15]",0.7307319696961878,-2.4730101161107854e-05,0.375,0.0,0.125,0.0,0.87,0,0,0,100,0,0.0,BEST,False,False,88,True,True,GREEDY,,,GREEDY_MUT
BNXCML[M][M][M][M][M][M][M][M][M][M][M],5,6,100,90,1.0,True,True,"[37, 26, 46, 47, 46, 6, 14, 31]",[],"[37.107656986936156, 26.914224288936946, 46.106663661147365, 47.31437859557671, 46.83568125526051, 6.090415486852689, 14.69682540436368, 31.183826416468]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.711683671128299,,,,2783842816,5259812,,,,,,"[37, 27, 46, 47, 46, 6, 14, 31]",0.732141769316545,-1.5374703490333985e-05,0.0,0.0,0.125,0.0,0.9,0,0,0,100,0,0.0,BEST,False,False,41,True,True,GREEDY,,,GREEDY_MUT
BTWUFH[M][M],6,7,100,89,1.0,True,True,"[42, 23, 39, 23, 46, 38, 38, 55]",[],"[42.59499074226024, 23.12165283900568, 39.32230290187304, 23.030887558025135, 46.646577764818126, 38.58487672157929, 38.02819579756979, 55.72986359197192]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7226712983718167,,,,2657854464,6957348,,,,,,"[42, 22, 39, 23, 46, 38, 38, 55]",0.7396059076319348,-9.32411579057657e-07,0.0,0.0,0.125,0.0,0.89,0,0,0,100,0,0.0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_MUT
BERIBF[M][M][M][M][M][M][M][M][M][M][M][M],7,8,100,93,1.0,True,True,"[25, 30, 18, 38, 28, 53, 36, 23]",[],"[25.407899657550676, 30.142194752905045, 18.082559429809116, 38.51853382145499, 28.236900190393467, 53.03986775539832, 36.1587371534713, 23.339664800477564]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7085327322242704,,,,1242206208,3316900,,,,,,"[25, 30, 17, 38, 28, 52, 36, 23]",0.7300948405695993,-0.0005024817785507,0.0,0.0,0.25,0.0,0.93,0,0,0,100,0,0.0,BEST,False,False,94,True,True,GREEDY,,,GREEDY_MUT
BLPHOY[M][M],8,9,100,100,1.0,True,True,"[3, 7, 20, 23, 46, 6, 54, 23]",[],"[3.9297530351017365, 7.288749705769131, 20.456568231090873, 23.72577550992414, 46.87674603677661, 6.7614229942962485, 54.97416711770424, 23.971959840376673]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7180159568545008,,,,1185765376,4032932,,,,,,"[3, 6, 20, 23, 46, 6, 55, 23]",0.7351520746891489,-6.125020208358478e-06,0.0,0.0,0.25,0.25,1.0,0,0,0,100,0,0.0,BEST,False,False,3,True,True,GREEDY,,,GREEDY_MUT
BKUIHQ[M],9,10,100,94,1.0,True,True,"[0, 7, 20, 22, 46, 6, 28, 23]",[],"[0, 7.4252145424641425, 20.127694272618797, 22.28535593876218, 46.44222138928357, 6.775399110331191, 28.16036742586553, 23.274565331513088]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7116109632347783,,,,921859072,2948132,,,,,,"[63, 7, 19, 22, 46, 6, 28, 23]",0.7331592924844761,-1.2371931664700853e-06,0.5,0.125,0.25,0.0,0.94,0,0,0,100,0,0.0,BEST,False,False,44,True,True,GREEDY,,,GREEDY_MUT
