ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BEGBVW[M],0,1,1,1,0.01,True,True,"[13, 7, 22, 22, 23, 56, 45, 55]",[],"[13.306413343015201, 7.403625729574507, 22.245116008967944, 22.0948751236624, 23.096443086443845, 56.08635322049688, 45.67044804844932, 55.492091412162175]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6964793863964981,,,,1488819200,5737124,,,,,,"[53, 31, 41, 30, 11, 34, 10, 54]",0.6769104808372503,0.0,0.0,0.0,1.0,0.0,0.01,0,10,0,100,0,0.1,BEST,False,False,327,True,True,GREEDY,,,GREEDY_HV
BBCZPP[M],0,1,2,2,0.02,True,True,"[14, 50, 18, 38, 52, 61, 23, 37]",[],"[14.198477737899562, 50.4240047607113, 18.658819486399345, 38.84003982022233, 52.37833227969937, 61.72346389454795, 23.003095430897396, 37.04055621231417]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7026741020975295,,,,2361784832,5040292,,,,,,"[14, 50, 18, 39, 51, 61, 22, 37]",0.6942488088548685,0.0021288419460131,0.5,0.5,0.375,1.0,0.02,0,4,0,100,0,0.04,BEST,False,False,294,True,True,GREEDY,,,GREEDY_HV
BPEJUZ[M],0,1,3,3,0.03,True,True,"[4, 26, 43, 37, 46, 6, 31, 22]",[],"[4.330559562928033, 26.67643762080918, 43.859311446484035, 37.401616783767366, 46.493951038460416, 6.470624915869134, 31.287145102480913, 22.43150522499588]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7047507481289066,,,,1216764928,3191844,,,,,,"[2, 28, 43, 36, 45, 6, 31, 22]",0.6984729621723509,-0.0013499191135573,1.0,0.5,0.5,1.0,0.03,0,2,0,100,0,0.02,BEST,False,False,286,True,True,GREEDY,,,GREEDY_HV
BPEJUZ[M],0,1,4,3,0.04,True,True,"[4, 26, 43, 37, 46, 6, 31, 22]",[],"[4.330559562928033, 26.67643762080918, 43.859311446484035, 37.401616783767366, 46.493951038460416, 6.470624915869134, 31.287145102480913, 22.43150522499588]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7047507481289066,,,,1216764928,3191844,,,,,,"[2, 28, 43, 36, 45, 6, 31, 22]",0.7143382332178738,0.0046938776616379,1.0,0.5,0.5,0.0,0.03,0,0,0,100,0,0.0,BEST,False,False,286,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M],0,1,5,5,0.05,True,True,"[22, 11, 42, 38, 46, 6, 14, 23]",[],"[22.00540661071436, 11.003599006115161, 42.478433388940786, 38.499431841558824, 46.49376845365588, 6.304026816418263, 14.60898037102417, 23.09647851684462]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7099300185180288,,,,1429000704,3221412,,,,,,"[22, 10, 42, 37, 45, 6, 15, 23]",0.720520848041076,-0.0002494360384425,0.5,0.5,0.5,0.75,0.05,0,0,0,100,0,0.0,BEST,False,False,237,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M][M],0,1,6,6,0.06,True,True,"[22, 11, 42, 38, 46, 6, 15, 23]",[],"[22.093149376994795, 11.125268965787363, 42.3099253795297, 38.90163192317341, 46.21650354079628, 6.902707909095475, 15.396661879806471, 23.18951223676472]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7123017794530361,,,,1433195008,3352484,,,,,,"[22, 11, 42, 38, 46, 6, 14, 23]",0.7259441997648985,-0.000298346109548,0.0,0.0,0.125,0.125,0.06,0,0,0,100,0,0.0,BEST,False,False,207,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M][M],0,1,7,6,0.07,True,True,"[22, 11, 42, 38, 46, 6, 15, 23]",[],"[22.093149376994795, 11.125268965787363, 42.3099253795297, 38.90163192317341, 46.21650354079628, 6.902707909095475, 15.396661879806471, 23.18951223676472]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7123017794530361,,,,1433195008,3352484,,,,,,"[22, 11, 42, 38, 46, 6, 14, 23]",0.7289555897002891,-0.0001420090677919,0.0,0.0,0.125,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,207,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M][M],0,1,8,6,0.08,True,True,"[22, 11, 42, 38, 46, 6, 15, 23]",[],"[22.093149376994795, 11.125268965787363, 42.3099253795297, 38.90163192317341, 46.21650354079628, 6.902707909095475, 15.396661879806471, 23.18951223676472]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7123017794530361,,,,1433195008,3352484,,,,,,"[22, 11, 42, 38, 46, 6, 14, 23]",0.7301626083688271,-0.0008073080089454,0.0,0.0,0.125,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,207,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M][M],0,1,9,6,0.09,True,True,"[22, 11, 42, 38, 46, 6, 15, 23]",[],"[22.093149376994795, 11.125268965787363, 42.3099253795297, 38.90163192317341, 46.21650354079628, 6.902707909095475, 15.396661879806471, 23.18951223676472]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7123017794530361,,,,1433195008,3352484,,,,,,"[22, 11, 42, 38, 46, 6, 14, 23]",0.731709570555953,-5.8464915329348166e-05,0.0,0.0,0.125,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,207,True,True,GREEDY,,,GREEDY_HV
BDFXDR[M][M],0,1,10,6,0.1,True,True,"[22, 11, 42, 38, 46, 6, 15, 23]",[],"[22.093149376994795, 11.125268965787363, 42.3099253795297, 38.90163192317341, 46.21650354079628, 6.902707909095475, 15.396661879806471, 23.18951223676472]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7123017794530361,,,,1433195008,3352484,,,,,,"[22, 11, 42, 38, 46, 6, 14, 23]",0.7323275713741271,-0.000113918010832,0.0,0.0,0.125,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,207,True,True,GREEDY,,,GREEDY_HV
BNWOGV,0,1,11,11,0.11,True,False,"[22, 11, 42, 38, 46, 6, 31, 23]",[],"[22.746501119473166, 11.532680291848202, 42.95186327469985, 38.561184046904934, 46.83489160116555, 6.58299137200489, 31.254068856362075, 23.762732814808988]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.713217625197377,,,,1446304768,3762212,,,,,,,0.7326267772951831,-8.07174262884569e-05,0.625,0.125,0.0,0.125,0.11,0,0,0,100,0,0.0,BEST,False,False,194,True,True,GREEDY,,,GREEDY_HV
