ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLQNBO,0,1,100,83,1.0,True,False,"[26, 63, 4, 38, 46, 6, 17, 23]",[],"[26.541866848548956, 63.79780347346911, 4.341783547536374, 38.08822410982208, 46.592133114600685, 6.440033031717876, 17.73652863092531, 23.989165873631745]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7261148040090724,,,,4953699840,4665252,,,,,,,0.745343733254267,-6.98328420201122e-07,0.125,0.125,0.0,0.0,0.83,0,0,0,100,0,0.0,BEST,False,False,2,True,True,GREEDY,,,GREEDY_HV
BOIZAT,1,2,100,44,1.0,True,False,"[62, 36, 20, 38, 46, 47, 58, 6]",[],"[62.44980474583629, 36.59472632734753, 20.638273609974775, 38.77107760647189, 46.41427980543088, 47.97434472333837, 58.038600910247084, 6.942372711444643]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7234501481303951,,,,3676948992,6700708,,,,,,,0.7423729510023039,-4.048102637876916e-06,0.125,0.125,0.0,0.0,0.44,0,0,0,100,0,0.0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_HV
BFBXBL,2,3,100,46,1.0,True,False,"[20, 63, 49, 38, 47, 54, 38, 39]",[],"[20.48397106098513, 63.11067986582157, 49.80475837513254, 38.94081774593765, 47.4869167360594, 54.13841247311167, 38.110181260730215, 39.3562186810034]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7231346795908937,,,,6261734400,8256420,,,,,,,0.7422466774514105,-5.100816657943597e-07,0.125,0.125,0.0,0.0,0.46,0,0,0,100,0,0.0,BEST,False,False,16,True,True,GREEDY,,,GREEDY_HV
BZSAXB[M],3,4,100,99,1.0,True,True,"[26, 8, 4, 38, 46, 6, 17, 23]",[],"[26.52411292589044, 8.293446225919057, 4.334962822304369, 38.73309960351749, 46.44414491888318, 6.299940693373396, 17.51808173562645, 23.745537321152064]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7202622972702502,,,,846886400,2611364,,,,,,"[26, 8, 4, 38, 46, 6, 17, 23]",0.7411580816363761,-8.200791002832553e-06,0.125,0.375,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,52,True,True,GREEDY,,,GREEDY_HV
BILOAP,4,5,100,57,1.0,True,False,"[2, 63, 56, 38, 28, 7, 55, 39]",[],"[2.5559855521781905, 63.44345104468145, 56.51510733044812, 38.73486418487858, 28.483094002534596, 7.123101079598149, 55.928919969218086, 39.52303858222124]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.718647929512804,,,,5525543936,8234404,,,,,,,0.7387136291587078,-1.665331746658616e-05,0.125,0.25,0.0,0.0,0.57,0,0,0,100,0,0.0,BEST,False,False,86,True,True,GREEDY,,,GREEDY_HV
BGEZDM[M],5,6,100,37,1.0,True,True,"[2, 6, 15, 38, 46, 61, 31, 31]",[],"[2.7461804429966663, 6.58329600693491, 15.966743110555539, 38.25271434052617, 46.01749357952244, 61.90781640943146, 31.517137009223916, 31.001762779806302]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.718394850071234,,,,1287402496,6171300,,,,,,"[2, 7, 15, 38, 46, 61, 31, 31]",0.7390813871051205,-1.5370278495518974e-06,0.0,0.0,0.125,0.0,0.37,0,0,0,100,0,0.0,BEST,False,False,92,True,True,GREEDY,,,GREEDY_HV
BQHTSV,6,7,100,29,1.0,True,False,"[2, 7, 4, 22, 46, 6, 39, 23]",[],"[2.416657349544649, 7.626146888142243, 4.90110316833188, 22.123681660125087, 46.653697384656596, 6.442875298924542, 39.92177662280214, 23.68416166578274]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7209407284881716,,,,925667328,3561252,,,,,,,0.7414078213936318,-2.593527655303518e-06,0.25,0.125,0.0,0.0,0.29,0,0,0,100,0,0.0,BEST,False,False,38,True,True,GREEDY,,,GREEDY_HV
BMMNJB,7,8,100,91,1.0,True,False,"[30, 39, 23, 22, 46, 6, 54, 23]",[],"[30.037788667207227, 39.34833336796301, 23.454684715667337, 22.92494366518916, 46.95583034459186, 6.789664135575754, 54.349580735054005, 23.136886908358196]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7239600353159477,,,,3456686080,5253284,,,,,,,0.7433597833078572,-1.5644311122886556e-05,0.125,0.375,0.0,0.0,0.91,0,0,0,100,0,0.0,BEST,False,False,8,True,True,GREEDY,,,GREEDY_HV
BVSJS,8,9,100,58,1.0,True,False,"[20, 7, 20, 23, 46, 7, 39, 55]",[],"[20.053879211436293, 7.187283186714058, 20.502458633559367, 23.960983053606125, 46.10671629526615, 7.079264308650834, 39.19344497970218, 55.05671639865776]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7267262516996877,,,,1376054272,5829668,,,,,,,0.7459307827835557,-6.944207194381491e-06,0.25,0.125,0.0,0.0,0.58,0,0,0,100,0,0.0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_HV
BPZCYH,9,10,100,63,1.0,True,False,"[26, 63, 4, 38, 28, 6, 17, 23]",[],"[26.30949361952973, 63.36673520540601, 4.6952828270428215, 38.314104601002064, 28.018090462421856, 6.8606149766003455, 17.26142175547305, 23.761326953280765]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7203783878121208,,,,4868179456,3996836,,,,,,,0.7415497059169109,-1.971231948350028e-05,0.125,0.125,0.0,0.0,0.63,0,0,0,100,0,0.0,BEST,False,False,50,True,True,GREEDY,,,GREEDY_HV
