counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,0,1,0,0,0,0,0,1,1,0,0,1
NONE_MPOLY,0,0,0,1,0,0,0,5,1,3,5,0,0,4
SBX_MNUF,0,0,0,2,0,0,2,2,1,3,4,0,5,2
SBX_MPOLY,0,1,1,8,2,1,3,21,0,4,24,0,3,20
SBX_NONE,0,0,0,2,2,0,0,18,0,0,18,0,2,14
SPC_MNUF,0,0,1,1,1,4,1,9,5,1,6,4,0,10
SPC_MPOLY,0,1,0,6,0,0,3,19,0,3,12,1,5,7
SPC_NONE,2,6,4,17,13,13,14,259,8,11,236,9,15,219
TPC_MNUF,0,0,2,1,0,6,0,2,6,3,7,5,1,4
TPC_MPOLY,1,1,0,4,1,1,3,10,4,3,23,0,7,17
TPC_NONE,0,4,2,19,14,8,14,247,7,23,221,10,19,239
UC_MNUF,0,1,1,0,0,4,0,10,1,1,9,2,2,7
UC_MPOLY,1,0,0,3,3,1,3,16,0,3,20,2,3,22
UC_NONE,0,5,1,18,20,6,13,216,6,15,247,6,13,236
