ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6769104808372503,0.0,0.0,0.0,0.375,0.0,0.01,0,10,0,100,0,0.1,BEST,False,False,326,True,True,GREEDY,,,GREEDY_DHV
BLOKUN[M],0,1,2,1,0.02,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6951377547283282,0.0047412840241332,0.0,0.0,0.375,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,326,True,True,GREEDY,,,GREEDY_DHV
BLOKUN[M],0,1,3,1,0.03,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.701067768447311,0.0004746397894752,0.0,0.0,0.375,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,326,True,True,GREEDY,,,GREEDY_DHV
BZAKLU[M],0,1,4,4,0.04,True,True,"[3, 26, 43, 39, 46, 6, 28, 22]",[],"[3.788592208592525, 26.101895891846496, 43.397025381688465, 39.291440304591404, 46.05418315794818, 6.384894094351615, 28.998599876115815, 22.096460306842577]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7068784848092667,,,,1285403648,3513124,,,,,,"[3, 25, 43, 39, 45, 6, 30, 20]",0.7112780290837227,-0.0002005526117024,0.125,0.625,0.5,0.375,0.04,0,1,0,100,0,0.01,BEST,False,False,293,True,True,GREEDY,,,GREEDY_DHV
BUAPFD,0,1,5,5,0.05,True,False,"[3, 26, 43, 39, 46, 6, 28, 23]",[],"[3.8909881260615133, 26.058442213992937, 43.076004307858256, 39.2391013492861, 46.07166468890707, 6.652199684565104, 28.123626158491696, 23.74679317992766]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7083109386367034,,,,1293792256,3775268,,,,,,,0.7162674393644297,-0.0009436426301884,0.875,0.125,0.0,0.125,0.05,0,0,0,100,0,0.0,BEST,False,False,280,True,True,GREEDY,,,GREEDY_DHV
BMJYGX,0,1,6,6,0.06,True,False,"[37, 45, 4, 39, 46, 6, 28, 22]",[],"[37.9479674036492, 45.1416515288087, 4.259257265750616, 39.80903653404127, 46.69074938190315, 6.650292074959107, 28.209017078695112, 22.922164876148344]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7113379204605055,,,,3392640000,4345636,,,,,,,0.7201842819271961,-0.0005654431735612,0.5,0.375,0.0,0.5,0.06,0,0,0,100,0,0.0,BEST,False,False,246,True,True,GREEDY,,,GREEDY_DHV
BMJYGX,0,1,7,6,0.07,True,False,"[37, 45, 4, 39, 46, 6, 28, 22]",[],"[37.9479674036492, 45.1416515288087, 4.259257265750616, 39.80903653404127, 46.69074938190315, 6.650292074959107, 28.209017078695112, 22.922164876148344]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7113379204605055,,,,3392640000,4345636,,,,,,,0.723856332156953,5.287521912422655e-06,0.5,0.375,0.0,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,246,True,True,GREEDY,,,GREEDY_DHV
BOWFRC,0,1,8,8,0.08,True,False,"[37, 0, 4, 38, 46, 6, 17, 6]",[],"[37.53623388828739, 0.1547018869805864, 4.824739166230729, 38.18016558554161, 46.85917148284399, 6.526777418123784, 17.320862926040004, 6.641777466340988]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7138179832021707,,,,1511779328,2596388,,,,,,,0.7248113683552465,-0.0001107345028793,0.5,0.375,0.0,0.5,0.08,0,0,0,100,0,0.0,BEST,False,False,210,True,True,GREEDY,,,GREEDY_DHV
BOWFRC,0,1,9,8,0.09,True,False,"[37, 0, 4, 38, 46, 6, 17, 6]",[],"[37.53623388828739, 0.1547018869805864, 4.824739166230729, 38.18016558554161, 46.85917148284399, 6.526777418123784, 17.320862926040004, 6.641777466340988]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7138179832021707,,,,1511779328,2596388,,,,,,,0.7279950012413761,-0.0005803567239668,0.5,0.375,0.0,0.0,0.08,0,0,0,100,0,0.0,BEST,False,False,210,True,True,GREEDY,,,GREEDY_DHV
BHNNED,0,1,10,10,0.1,True,False,"[37, 0, 4, 38, 46, 6, 17, 23]",[],"[37.21488564890966, 0.22892348222964376, 4.154260214968369, 38.7820882335496, 46.18800440685593, 6.039906936888984, 17.52655013617911, 23.062133020956608]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7187033714173333,,,,1522824704,2941604,,,,,,,0.729721263359171,-0.0001158334775013,0.5,0.125,0.0,0.125,0.1,0,0,0,100,0,0.0,BEST,False,False,108,True,True,GREEDY,,,GREEDY_DHV
