DHV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000
NONE_MPOLY,0.000000,0.000000,0.000000,0.076923,0.038462,0.000000,0.000000,0.269231,0.000000,0.000000,0.307692,0.038462,0.115385,0.153846
SBX_MNUF,0.050000,0.000000,0.000000,0.050000,0.000000,0.000000,0.100000,0.200000,0.000000,0.000000,0.200000,0.050000,0.150000,0.200000
SBX_MPOLY,0.000000,0.010753,0.000000,0.107527,0.043011,0.000000,0.064516,0.236559,0.000000,0.053763,0.204301,0.010753,0.021505,0.247312
SBX_NONE,0.000000,0.012821,0.000000,0.038462,0.051282,0.000000,0.000000,0.282051,0.000000,0.051282,0.256410,0.000000,0.012821,0.294872
SPC_MNUF,0.000000,0.060606,0.030303,0.030303,0.000000,0.060606,0.000000,0.272727,0.030303,0.000000,0.151515,0.030303,0.000000,0.333333
SPC_MPOLY,0.010204,0.010204,0.081633,0.081633,0.010204,0.020408,0.030612,0.244898,0.040816,0.071429,0.142857,0.030612,0.051020,0.173469
SPC_NONE,0.000000,0.012453,0.000000,0.019925,0.023661,0.016189,0.016189,0.267746,0.007472,0.014944,0.277709,0.003736,0.023661,0.316314
TPC_MNUF,0.000000,0.000000,0.000000,0.025000,0.050000,0.050000,0.025000,0.125000,0.150000,0.025000,0.225000,0.100000,0.000000,0.225000
TPC_MPOLY,0.000000,0.000000,0.014493,0.057971,0.043478,0.014493,0.072464,0.289855,0.014493,0.028986,0.217391,0.028986,0.000000,0.217391
TPC_NONE,0.001311,0.005242,0.006553,0.020970,0.024902,0.014417,0.019659,0.271298,0.015727,0.019659,0.287025,0.011796,0.014417,0.287025
UC_MNUF,0.000000,0.000000,0.000000,0.035714,0.000000,0.035714,0.035714,0.142857,0.035714,0.071429,0.285714,0.035714,0.071429,0.250000
UC_MPOLY,0.000000,0.029412,0.014706,0.058824,0.044118,0.014706,0.073529,0.191176,0.000000,0.044118,0.264706,0.000000,0.029412,0.235294
UC_NONE,0.002364,0.005910,0.004728,0.028369,0.026005,0.004728,0.020095,0.299054,0.016548,0.021277,0.247045,0.008274,0.022459,0.293144
