ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BMDJEK[M][M][M],24,25,48,48,0.48,True,True,"[0, 7, 23, 23, 46, 7, 39, 55]",[],"[0.005952208118638391, 7.055798620743611, 23.69616150743634, 23.147671136105597, 46.86174455236208, 7.57379778038949, 39.19264111454925, 55.71478524138778]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7214844293167096,,,,1358785536,6128676,,,,,,"[0, 6, 22, 23, 46, 7, 38, 55]",0.7367417736392163,0.0010091471167285,0.0,0.0,0.375,0.125,0.48,2,3,100,200,0.02,0.015,BEST,False,False,1,True,False,,,,SPC_MPOLY
BKLXUX[M],12,13,98,98,0.98,True,True,"[14, 10, 52, 23, 55, 6, 54, 23]",[],"[14.055543303377073, 10.389596405378537, 52.50951285131646, 23.51682567324582, 55.699361625400456, 6.052693989899638, 54.024812070284746, 23.735680639600165]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MNUF,,,,,0.7193596764851865,,,,1554364416,5424804,,,,,,"[14, 10, 52, 23, 55, 6, 54, 23]",0.7370048726209056,0.0011927271053263,0.125,0.75,0.0,0.125,0.98,1,1,100,200,0.01,0.005,BEST,False,False,1,True,False,,,,SPC_MNUF
BOUUZK,1,2,16,16,0.16,True,False,"[14, 44, 33, 60, 28, 6, 38, 55]",[],"[14.93193189714367, 44.72547304377786, 33.619006259870595, 60.702174278405415, 28.316169398631434, 6.415816024669501, 38.019253525284675, 55.47676909233036]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,NONE,,,,,0.7184839841408719,,,,2767690752,5085860,,,,,,,0.7236586416734975,0.0015663226766975,0.25,0.125,0.0,0.125,0.16,0,0,100,0,0.0,0.0,BEST,False,False,1,True,False,,,,SPC_NONE
BUTRWJ[M],10,11,97,97,0.97,True,True,"[20, 7, 20, 39, 46, 6, 39, 55]",[],"[20.662531119427765, 7.233272832563829, 20.97687971628827, 39.290997745081235, 46.69603442022474, 6.767423992455668, 39.14768899784385, 55.72089178542734]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MPOLY,,,,,0.7252117930142931,,,,1606822912,6182180,,,,,,"[20, 7, 20, 39, 46, 6, 38, 55]",0.7429501461420459,0.0011720320856628,0.0,0.125,0.125,0.125,0.97,1,0,100,200,0.01,0.0,BEST,False,False,1,True,False,,,,TPC_MPOLY
BJWIAR[M],5,6,100,100,1.0,True,True,"[12, 7, 4, 22, 46, 6, 39, 23]",[],"[12.831702126679028, 7.605529945225239, 4.643995263664442, 22.20387045804605, 46.97507145728233, 6.077807578593959, 39.73408457983674, 23.36745369735296]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MNUF,,,,,0.7209084614559826,,,,1068601344,3631140,,,,,,"[12, 7, 4, 22, 46, 6, 39, 23]",0.7404362351857074,0.002265754354084,0.375,0.125,0.0,0.125,1.0,1,0,100,200,0.01,0.0,BEST,False,False,1,True,False,,,,TPC_MNUF
BGYQON,21,22,22,22,0.22,True,False,"[20, 7, 4, 38, 47, 22, 38, 23]",[],"[20.575232796678385, 7.7729054607276264, 4.397547219797226, 38.77854803756201, 47.21703463166937, 22.67826155256717, 38.664050035573545, 23.056860857866447]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,NONE,,,,,0.7192021808097813,,,,1297446912,4022820,,,,,,,0.7304694669612765,0.0019555171444014,0.25,0.125,0.0,0.125,0.22,0,0,100,0,0.0,0.0,BEST,False,False,1,True,False,,,,TPC_NONE
BXKUEV[M],12,13,60,60,0.6,True,True,"[28, 7, 46, 22, 28, 6, 39, 55]",[],"[28.629318127982327, 7.954772704656821, 46.726416266826895, 22.663810580196444, 28.07131725470276, 6.329058129959638, 39.923353358002515, 55.02886956164593]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,MPOLY,,,,,0.7234094054288395,,,,1768930304,5800996,,,,,,"[28, 7, 46, 22, 28, 6, 39, 55]",0.7395064961322468,0.0026795019434022,0.125,0.125,0.0,0.125,0.6,1,3,100,200,0.01,0.015,BEST,False,False,1,True,False,,,,UC_MPOLY
BZEEXH[M],1,2,100,100,1.0,True,True,"[26, 7, 4, 38, 46, 6, 31, 23]",[],"[26.634871904639073, 7.54400506875803, 4.008098746863009, 38.66967257580845, 46.89236981361312, 6.25139554826372, 31.38376715125592, 23.00961784935908]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,MNUF,,,,,0.7210573759348433,,,,1239432192,3590052,,,,,,"[26, 7, 4, 38, 46, 6, 31, 23]",0.7389809054085602,0.0030984803691981,0.375,0.125,0.0,0.125,1.0,0,0,100,200,0.0,0.0,BEST,False,False,1,True,False,,,,UC_MNUF
BSYMQE,29,30,26,26,0.26,True,False,"[14, 44, 15, 6, 47, 4, 54, 23]",[],"[14.622400594173742, 44.95961944575704, 15.339984516026595, 6.499979986779383, 47.324055911651364, 4.99415780599791, 54.15714950343327, 23.88364663609825]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7196064808505895,,,,2746873856,4774692,,,,,,,0.7311000955001643,0.001274251484904,0.125,0.25,0.0,0.125,0.26,0,0,100,0,0.0,0.0,BEST,False,False,1,True,False,,,,UC_NONE
BVKZJQ[M][M][M][M][M][M][M][M][M][M],16,17,86,86,0.86,True,True,"[37, 7, 56, 38, 47, 7, 38, 15]",[],"[37.289914451635376, 7.4709387000310095, 56.19943956253347, 38.34484254367185, 47.681106189877795, 7.559576966819576, 38.77376584577894, 15.496535917791116]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SBX,MPOLY,,,,,0.7195844737292327,,,,2817836544,5723172,,,,,,"[37, 7, 56, 38, 47, 7, 39, 15]",0.7379899633593174,0.0007331097636817,0.0,0.0,0.125,0.75,0.86,0,6,100,200,0.0,0.03,BEST,False,False,1,True,False,,,,SBX_MPOLY
