ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BEEPVX[M],0,1,100,69,1.0,True,True,"[2, 7, 4, 38, 46, 6, 31, 23]",[],"[2.606083034855211, 7.978241778140197, 4.268670901928532, 38.58331800127299, 46.79511366247577, 6.008481994403363, 31.37121159241152, 23.722473299368648]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7174025330530603,,,,1029553152,3487524,,,,,,"[2, 7, 3, 38, 46, 6, 31, 23]",0.7364489843699363,-5.713553182351561e-06,0.125,0.125,0.125,0.0,0.69,1,0,100,200,0.01,0.0,BEST,False,False,23,True,False,,,,SPC_MPOLY
BYZKIS[M][M],1,2,100,100,1.0,True,True,"[60, 44, 46, 15, 22, 6, 22, 15]",[],"[60.78166388260554, 44.616795763594574, 46.34660913226163, 15.423328919939177, 22.676602311659924, 6.84363041409651, 22.961059549802837, 15.076739261220903]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7050134577341988,,,,3242451456,3560356,,,,,,"[60, 44, 46, 15, 23, 6, 22, 15]",0.7241660862136797,0.0002652289238622,0.0,0.0,0.125,0.125,1.0,0,1,100,200,0.0,0.005,BEST,False,False,250,True,False,,,,SPC_MPOLY
BVWBWQ[M],2,3,100,91,1.0,True,True,"[15, 15, 4, 15, 46, 6, 54, 22]",[],"[15.178699173737163, 15.569870045594893, 4.23668364678824, 15.200188897131206, 46.33126149320435, 6.449900858203582, 54.55677541640124, 22.312272535982004]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7107291710608075,,,,1794840576,3857316,,,,,,"[14, 15, 4, 15, 46, 6, 54, 22]",0.7319079943783369,-2.1919717180685083e-05,0.125,0.75,0.125,0.0,0.91,0,0,100,200,0.0,0.0,BEST,False,False,138,True,False,,,,SPC_MPOLY
BXCWDQ[M][M],3,4,100,96,1.0,True,True,"[3, 7, 4, 22, 46, 6, 7, 23]",[],"[3.914855654148385, 7.235229007473017, 4.037672861558757, 22.39238233844046, 46.83514216234953, 6.428344766760062, 7.885013583868848, 23.391889248338554]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7142964353439321,,,,966029824,2758052,,,,,,"[4, 7, 4, 22, 46, 6, 7, 23]",0.7353503095368329,-5.714019903346745e-06,0.0,0.0,0.125,0.0,0.96,1,1,100,200,0.01,0.005,BEST,False,False,66,True,False,,,,SPC_MPOLY
BXKDUW[M],4,5,100,54,1.0,True,True,"[3, 12, 49, 38, 14, 22, 13, 39]",[],"[3.3267990161625036, 12.084035372758667, 49.47023393640055, 38.17000863773269, 14.769934051858502, 22.600630941701738, 13.825965740700783, 39.27161232194037]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7113119544308013,,,,870043136,2872484,,,,,,"[3, 12, 49, 38, 14, 22, 13, 39]",0.732686442891082,1.4657832023368124e-05,0.75,0.25,0.0,0.0,0.54,0,0,100,200,0.0,0.0,BEST,False,False,129,True,False,,,,SPC_MPOLY
BEZGIJ[M][M][M][M],5,6,100,97,1.0,True,True,"[3, 7, 20, 38, 14, 38, 38, 39]",[],"[3.674794890175459, 7.0477842353224265, 20.261180989037396, 38.12453683579812, 14.17719705623322, 38.61472433543739, 38.72615021644115, 39.469589580705076]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7147019756309885,,,,1113490432,3565988,,,,,,"[3, 6, 20, 38, 14, 38, 38, 39]",0.732004470535242,8.232514483452746e-06,0.0,0.0,0.125,0.0,0.97,2,0,100,200,0.02,0.0,BEST,False,False,60,True,False,,,,SPC_MPOLY
BOWLXE[M],6,7,100,86,1.0,True,True,"[26, 30, 4, 30, 46, 6, 31, 23]",[],"[26.059041872272395, 30.418471872657747, 4.501070230325851, 30.163085479066, 46.60488044855792, 6.15605439943849, 31.24856806757479, 23.750468076845245]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7178528407175155,,,,1247902720,3526436,,,,,,"[26, 29, 4, 30, 46, 6, 31, 23]",0.7374749155740575,7.668652127901243e-05,0.0,0.375,0.125,0.0,0.86,3,0,100,200,0.03,0.0,BEST,False,False,20,True,False,,,,SPC_MPOLY
BYSSOE[M],7,8,100,75,1.0,True,True,"[16, 7, 43, 22, 46, 6, 22, 23]",[],"[16.65755144349306, 7.850989758943738, 43.9944742857725, 22.118367806263578, 46.59800210747472, 6.048953464995058, 22.432425508415122, 23.617127401445167]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7136404311004236,,,,1367153664,3627684,,,,,,"[16, 8, 43, 22, 46, 6, 22, 23]",0.7315664338448604,8.64145658763249e-06,0.5,0.25,0.125,0.0,0.75,0,1,100,200,0.0,0.005,BEST,False,False,82,True,False,,,,SPC_MPOLY
BJSIKL[M][M][M],8,9,100,98,1.0,True,True,"[14, 4, 23, 23, 46, 7, 28, 55]",[],"[14.053123167225714, 4.382607679674399, 23.527956113810763, 23.298978484553157, 46.0296282259049, 7.804218001280723, 28.22638155762234, 55.94897690812179]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.719253047646076,,,,1278783488,5122724,,,,,,"[14, 4, 22, 23, 46, 7, 28, 55]",0.7385535328875202,-4.643694748396321e-06,0.0,0.0,0.125,0.0,0.98,0,0,100,200,0.0,0.0,BEST,False,False,7,True,False,,,,SPC_MPOLY
BGKFRC[M],9,10,100,93,1.0,True,True,"[25, 32, 46, 23, 46, 7, 47, 55]",[],"[25.88099020723361, 32.57161966420351, 46.53340146137949, 23.36600060983, 46.580542118317155, 7.681097755338699, 47.696417660556875, 55.23128552548092]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7197013444766251,,,,1263086592,6478756,,,,,,"[26, 32, 46, 23, 46, 7, 47, 55]",0.7383363242326755,-6.415592426867178e-06,0.5,0.25,0.125,0.0,0.93,1,2,100,200,0.01,0.01,BEST,False,False,3,True,False,,,,SPC_MPOLY
