CROSS,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0.000000,0.000000,0.000000,0.250000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000
SBX_MPOLY,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SBX_NONE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
SPC_MNUF,0.000000,0.000000,0.000000,0.180672,0.199580,0.149160,0.096639,0.105042,0.090336,0.050420,0.063025,0.065126
SPC_MPOLY,0.000000,0.000000,0.000000,0.172662,0.223022,0.143885,0.118705,0.098921,0.088129,0.052158,0.053957,0.048561
SPC_NONE,0.005263,0.002632,0.002632,0.157895,0.176316,0.110526,0.131579,0.142105,0.100000,0.057895,0.068421,0.044737
TPC_MNUF,0.000000,0.000000,0.000000,0.166197,0.169014,0.109859,0.149296,0.135211,0.104225,0.059155,0.064789,0.042254
TPC_MPOLY,0.000000,0.000000,0.000000,0.149856,0.207493,0.121037,0.123919,0.103746,0.129683,0.060519,0.060519,0.043228
TPC_NONE,0.003279,0.000000,0.000000,0.131148,0.196721,0.144262,0.095082,0.124590,0.101639,0.072131,0.075410,0.055738
UC_MNUF,0.000000,0.000000,0.005348,0.117647,0.155080,0.101604,0.139037,0.117647,0.122995,0.117647,0.090909,0.032086
UC_MPOLY,0.004854,0.000000,0.000000,0.150485,0.145631,0.135922,0.101942,0.135922,0.111650,0.077670,0.087379,0.048544
UC_NONE,0.000000,0.000000,0.000000,0.152318,0.192053,0.105960,0.132450,0.086093,0.079470,0.072848,0.105960,0.072848
