HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.020833,0.104167,0.000000,0.000000,0.083333,0.125000,0.062500,0.062500,0.187500,0.041667,0.062500,0.250000
NONE_MPOLY,0.010204,0.010204,0.010204,0.076531,0.010204,0.015306,0.127551,0.168367,0.020408,0.107143,0.107143,0.020408,0.117347,0.198980
SBX_MNUF,0.015625,0.015625,0.085938,0.101562,0.015625,0.062500,0.078125,0.078125,0.062500,0.093750,0.093750,0.054688,0.070312,0.171875
SBX_MPOLY,0.010955,0.018779,0.014085,0.111111,0.003130,0.018779,0.109546,0.145540,0.021909,0.081377,0.175274,0.020344,0.100156,0.169014
SBX_NONE,0.000000,0.039216,0.000000,0.176471,0.000000,0.019608,0.098039,0.078431,0.039216,0.137255,0.196078,0.019608,0.137255,0.058824
SPC_MNUF,0.005000,0.010000,0.040000,0.065000,0.010000,0.075000,0.080000,0.135000,0.095000,0.055000,0.115000,0.065000,0.070000,0.180000
SPC_MPOLY,0.006654,0.021863,0.010456,0.061787,0.004753,0.012357,0.119772,0.131179,0.015209,0.124525,0.156844,0.013308,0.110266,0.211027
SPC_NONE,0.003602,0.020893,0.004323,0.060519,0.005043,0.017291,0.100865,0.158501,0.023055,0.111671,0.193084,0.018732,0.100865,0.181556
TPC_MNUF,0.012658,0.004219,0.016878,0.059072,0.012658,0.092827,0.084388,0.113924,0.084388,0.067511,0.151899,0.084388,0.054852,0.160338
TPC_MPOLY,0.001980,0.021782,0.010891,0.072277,0.004950,0.012871,0.126733,0.120792,0.020792,0.109901,0.176238,0.010891,0.110891,0.199010
TPC_NONE,0.002316,0.014476,0.008107,0.052113,0.002895,0.015634,0.100174,0.158657,0.022003,0.101332,0.187030,0.020845,0.094962,0.219456
UC_MNUF,0.000000,0.014493,0.033816,0.038647,0.000000,0.072464,0.072464,0.106280,0.043478,0.072464,0.159420,0.091787,0.130435,0.164251
UC_MPOLY,0.004897,0.033301,0.005877,0.056807,0.002938,0.012733,0.107738,0.118511,0.014691,0.109696,0.185113,0.021548,0.110676,0.215475
UC_NONE,0.003006,0.020040,0.009018,0.055110,0.006012,0.015531,0.105711,0.151804,0.017535,0.092685,0.181363,0.013026,0.108717,0.220441
