ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI[M],0,1,1,1,0.01,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6769104808372503,0.0,0.0,0.0,0.875,0.0,0.01,0,10,0,100,0,0.1,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,2,1,0.02,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6932247736894298,0.009232981168853072,0.0,0.0,0.875,0.0,0.01,0,3,0,100,0,0.03,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,3,1,0.03,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6906869735744092,-0.00032147184817832297,0.0,0.0,0.875,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,4,1,0.04,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6950519268473632,-0.0013880173220522929,0.0,0.0,0.875,0.0,0.01,0,2,0,100,0,0.02,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,5,1,0.05,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6994752379786459,0.0020535591027976974,0.0,0.0,0.875,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,6,1,0.06,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.7046989015419647,-0.004963998125355973,0.0,0.0,0.875,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,7,1,0.07,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.7079329939448736,-0.0010513417528584812,0.0,0.0,0.875,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,8,1,0.08,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.7080724734799569,-0.002362259403540734,0.0,0.0,0.875,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,9,1,0.09,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.708177751660723,-0.0006415592676944915,0.0,0.0,0.875,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
BHUDDI[M],0,1,10,1,0.1,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.7083644707336597,-0.0035507982828749673,0.0,0.0,0.875,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,,True,True,GREEDY,,,GREEDY_GD
