ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BZDCOK[M][M][M][M][M][M],0,1,100,63,1.0,True,True,"[2, 28, 43, 38, 46, 6, 31, 23]",[],"[2.5609171492964666, 28.52803935227353, 43.08992841487364, 38.60223464798246, 46.279142789501044, 6.6059840669593966, 31.6114805757167, 23.471178343607846]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7134121282874984,,,,1152310272,3870244,,,,,,"[2, 27, 43, 38, 46, 6, 31, 23]",0.7344423360786902,0.000403179063634,0.0,0.0,0.125,0.0,0.63,0,0,100,0,0.0,0,BEST,False,False,94,True,True,GREEDY,,,GREEDY_CROSS
BVWKRG[M][M][M][M],1,2,100,56,1.0,True,True,"[2, 51, 38, 45, 51, 47, 31, 55]",[],"[2.947827336388996, 51.01368595361379, 38.35165639393364, 45.20224975982904, 51.789024756411244, 47.26993936364559, 31.61702682566639, 55.36258234441166]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.707789427078973,,,,2360639488,7005348,,,,,,"[2, 51, 38, 45, 51, 47, 30, 55]",0.7282973810776915,-1.7823325670907053e-07,0.0,0.0,0.125,0.0,0.56,0,0,100,0,0.0,0,BEST,False,False,388,True,True,GREEDY,,,GREEDY_CROSS
BCPWGB[M][M][M][M][M][M][M][M][M],2,3,100,57,1.0,True,True,"[25, 44, 38, 54, 28, 30, 46, 55]",[],"[25.56649068431106, 44.99531995784464, 38.861831389557025, 54.26699318930669, 28.95154334365482, 30.259791619191848, 46.700731930261675, 55.81820693200335]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7109509278772758,,,,1878631424,6241700,,,,,,"[25, 44, 39, 54, 28, 30, 46, 55]",0.731601146775966,2.1134735215255773e-06,0.0,0.0,0.125,0.0,0.57,0,0,100,0,0.0,0,BEST,False,False,189,True,True,GREEDY,,,GREEDY_CROSS
BTCUXR[M][M][M][M][M][M][M][M][M],3,4,100,77,1.0,True,True,"[46, 30, 46, 23, 46, 48, 13, 55]",[],"[46.151211917007394, 30.914586843948708, 46.90180003670908, 23.69495587191271, 46.98960290024354, 48.4737777516773, 13.914202524580123, 55.70320565306309]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7176195197226037,,,,3323430400,6605604,,,,,,"[46, 30, 46, 23, 46, 48, 14, 55]",0.7366503898604154,8.71627950749243e-06,0.0,0.0,0.125,0.0,0.77,0,0,100,0,0.0,0,BEST,False,False,16,True,True,GREEDY,,,GREEDY_CROSS
BDAYYD[M][M][M][M][M][M][M][M],4,5,100,91,1.0,True,True,"[0, 0, 15, 23, 46, 6, 28, 14]",[],"[0.24692552816214508, 0.0, 15.809044092484537, 23.2774160302965, 46.304847965714494, 6.219577643544243, 28.15931789575648, 14.388699368398495]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.702596385646699,,,,686213632,2789796,,,,,,"[0, 0, 15, 23, 46, 6, 27, 14]",0.7248149878753896,-5.070076456004102e-06,0.0,0.0,0.125,0.0,0.91,0,0,100,0,0.0,0,BEST,False,False,667,True,True,GREEDY,,,GREEDY_CROSS
BDPYMZ[M][M][M][M][M][M][M][M][M][M],5,6,100,29,1.0,True,True,"[20, 12, 22, 38, 22, 38, 22, 23]",[],"[20.68044655147629, 12.25835945214489, 22.795498360305864, 38.088359519988416, 22.195065962056002, 38.772129308028674, 22.129424203639726, 23.147481892474225]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7099883332216372,,,,1075217408,2834852,,,,,,"[21, 12, 22, 38, 22, 38, 22, 22]",0.7315504669337785,6.371835629126466e-07,0.0,0.0,0.25,0.0,0.29,0,0,100,0,0.0,0,BEST,False,False,252,True,True,GREEDY,,,GREEDY_CROSS
BIOZHJ[M][M][M],6,7,100,73,1.0,True,True,"[28, 0, 0, 23, 28, 7, 13, 55]",[],"[28.935067753230424, 0.04976114674039145, 0.636642837144988, 23.956729195859776, 28.65659376908253, 7.960770963497662, 13.899597049811153, 55.94107002909136]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7060412349113242,,,,854570496,3669028,,,,,,"[28, 0, 0, 22, 28, 7, 13, 55]",0.7277484466005975,-3.7767400737909193e-06,0.0,0.0,0.125,0.0,0.73,1,0,100,0,0.01,0,BEST,False,False,490,True,True,GREEDY,,,GREEDY_CROSS
BJSZPL[M][M][M][M][M][M],7,8,100,90,1.0,True,True,"[44, 36, 56, 38, 52, 7, 22, 39]",[],"[44.26938528310271, 36.61068438486579, 56.23327988791149, 38.54639852208607, 52.90613696191529, 7.369532516334737, 22.353964132007643, 39.019380836560416]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7136141828262317,,,,2150256640,4445220,,,,,,"[44, 35, 56, 38, 52, 7, 22, 39]",0.73297611864015,-3.757204374288392e-07,0.0,0.0,0.125,0.0,0.9,0,0,100,0,0.0,0,BEST,False,False,90,True,True,GREEDY,,,GREEDY_CROSS
BVCZLD[M][M][M][M],8,9,100,88,1.0,True,True,"[0, 17, 2, 38, 51, 47, 46, 15]",[],"[0.7510184551776665, 17.274120589769826, 2.449261885053855, 38.863774724037334, 51.730539760637456, 47.43132356420044, 46.14854982077035, 15.904938197644265]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7124816894948927,,,,715992576,4076452,,,,,,"[0, 18, 2, 38, 51, 47, 46, 15]",0.7306553781225805,-0.0001921300837712,0.0,0.0,0.125,0.0,0.88,0,0,100,0,0.0,0,BEST,False,False,127,True,True,GREEDY,,,GREEDY_CROSS
BWAKUW[M][M],9,10,100,63,1.0,True,True,"[12, 0, 15, 38, 47, 7, 15, 39]",[],"[12.797663329891106, 0.004298225554373092, 15.234250904330302, 38.68880629354439, 47.464008743132254, 7.562957883209424, 15.838518415574995, 39.849638759877685]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7140444759304636,,,,995476992,4431652,,,,,,"[13, 0, 15, 38, 46, 6, 15, 39]",0.7349509757396802,0.0009082673472555,0.0,0.0,0.375,0.0,0.63,0,0,100,0,0.0,0,BEST,False,False,83,True,True,GREEDY,,,GREEDY_CROSS
