State,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0,0,0,0,0,0,0,0,0,0,0,0
SBX_MPOLY,0,0,0,0,0,0,0,0,0,0,0,0
SBX_NONE,0,0,0,0,0,0,0,0,0,0,0,0
SPC_MNUF,0,0,0,2,3,4,0,4,0,2,0,0
SPC_MPOLY,0,0,0,5,4,2,1,5,4,2,1,2
SPC_NONE,0,0,0,3,3,3,0,4,1,1,0,0
TPC_MNUF,0,0,0,0,0,1,0,0,0,0,0,1
TPC_MPOLY,0,0,0,4,4,2,1,2,1,1,1,2
TPC_NONE,0,0,0,0,4,3,0,1,0,1,0,0
UC_MNUF,0,0,0,0,6,0,0,1,0,0,0,0
UC_MPOLY,0,0,0,0,2,0,0,0,0,0,0,0
UC_NONE,0,0,0,1,0,0,0,0,3,0,0,1
