counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,0,1,5,0,0,4,6,3,3,9,2,3,12
NONE_MPOLY,2,2,2,15,2,3,25,33,4,21,21,4,23,39
SBX_MNUF,2,2,11,13,2,8,10,10,8,12,12,7,9,22
SBX_MPOLY,7,12,9,71,2,12,70,93,14,52,112,13,64,108
SBX_NONE,0,2,0,9,0,1,5,4,2,7,10,1,7,3
SPC_MNUF,1,2,8,13,2,15,16,27,19,11,23,13,14,36
SPC_MPOLY,7,23,11,65,5,13,126,138,16,131,165,14,116,222
SPC_NONE,5,29,6,84,7,24,140,220,32,155,268,26,140,252
TPC_MNUF,3,1,4,14,3,22,20,27,20,16,36,20,13,38
TPC_MPOLY,2,22,11,73,5,13,128,122,21,111,178,11,112,201
TPC_NONE,4,25,14,90,5,27,173,274,38,175,323,36,164,379
UC_MNUF,0,3,7,8,0,15,15,22,9,15,33,19,27,34
UC_MPOLY,5,34,6,58,3,13,110,121,15,112,189,22,113,220
UC_NONE,6,40,18,110,12,31,211,303,35,185,362,26,217,440
