DHV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.000000,0.022727,0.090909,0.000000,0.000000,0.090909,0.136364,0.068182,0.045455,0.181818,0.022727,0.068182,0.272727
NONE_MPOLY,0.010204,0.010204,0.010204,0.076531,0.010204,0.015306,0.127551,0.168367,0.020408,0.107143,0.107143,0.020408,0.117347,0.198980
SBX_MNUF,0.009259,0.018519,0.092593,0.092593,0.009259,0.064815,0.092593,0.092593,0.046296,0.092593,0.083333,0.037037,0.074074,0.194444
SBX_MPOLY,0.011164,0.019139,0.009569,0.110048,0.003190,0.017544,0.110048,0.148325,0.022329,0.081340,0.175439,0.020734,0.100478,0.170654
SBX_NONE,0.000000,0.041667,0.000000,0.145833,0.000000,0.020833,0.104167,0.083333,0.020833,0.145833,0.208333,0.020833,0.145833,0.062500
SPC_MNUF,0.000000,0.010929,0.027322,0.049180,0.010929,0.076503,0.076503,0.142077,0.092896,0.054645,0.120219,0.071038,0.076503,0.191257
SPC_MPOLY,0.008711,0.020035,0.021777,0.071429,0.006098,0.015679,0.117596,0.121080,0.022648,0.121951,0.151568,0.016551,0.105401,0.199477
SPC_NONE,0.003605,0.020908,0.004326,0.059841,0.005047,0.017304,0.100937,0.158616,0.023071,0.111752,0.193223,0.018745,0.100937,0.181687
TPC_MNUF,0.009091,0.004545,0.009091,0.054545,0.009091,0.095455,0.081818,0.122727,0.081818,0.072727,0.159091,0.086364,0.054545,0.159091
TPC_MPOLY,0.001990,0.021891,0.009950,0.072637,0.004975,0.012935,0.125373,0.121393,0.019900,0.110448,0.177114,0.010945,0.110448,0.200000
TPC_NONE,0.002317,0.014484,0.008111,0.052144,0.002897,0.015643,0.100232,0.158749,0.022016,0.101390,0.186559,0.020857,0.095017,0.219583
UC_MNUF,0.000000,0.015075,0.015075,0.035176,0.000000,0.075377,0.070352,0.110553,0.045226,0.070352,0.165829,0.095477,0.135678,0.165829
UC_MPOLY,0.004926,0.033498,0.005911,0.056158,0.002956,0.011823,0.107389,0.119212,0.014778,0.108374,0.186207,0.021675,0.110345,0.216749
UC_NONE,0.003009,0.020060,0.009027,0.055165,0.006018,0.015547,0.105817,0.151956,0.017051,0.092277,0.181545,0.013039,0.108826,0.220662
