Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,SBX,MPOLY,0.6584574237264456,0.017865467294839486,1330959599.36,952875521.329387,2705161.12,1305965.3667020828,0.6831928732941128,0,0.16,0.19,7.807070707070707,GREEDY_CROSS,['TPC_MNUF'],{'TPC_MNUF': 1}
1,2,SBX,MPOLY,0.6586967500239902,0.021884302451650385,1033300227.84,884476900.2868879,2359237.28,1271226.95952619,0.6868861199609001,0.0036932466667872754,0.01,0.1,7.705252525252526,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE']","{'TPC_MNUF': 1, 'TPC_NONE': 1}"
1,3,SBX,MPOLY,0.661539104995272,0.022008304528192277,974616423.68,918525072.3573464,2247870.88,1286574.4096750664,0.6896418652940772,0.0027557453331771287,0.03,0.105,7.621414141414141,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF']","{'TPC_MNUF': 2, 'TPC_NONE': 1}"
1,4,SBX,MPOLY,0.6652076578542961,0.019556213402176108,803830552.32,759288559.4973745,2150676.64,1161332.9159173912,0.7007949620839744,0.011153096789897177,0.02,0.095,7.4535353535353535,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE']","{'TPC_MNUF': 2, 'TPC_NONE': 1, 'UC_NONE': 1}"
1,5,SBX,MPOLY,0.6674836478717597,0.021329826358717496,835340029.44,701905458.7231405,2122853.28,1036247.8195364475,0.7066675344430442,0.005872572359069794,0.01,0.135,7.445858585858586,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF']","{'TPC_MNUF': 2, 'TPC_NONE': 1, 'UC_NONE': 1, 'SPC_MNUF': 1}"
1,6,SBX,MPOLY,0.6632719832829487,0.026420518985698183,717626790.4,719011086.6226854,1876176.8,1045624.7822691274,0.7103594881741846,0.003691953731140396,0.01,0.11,7.295757575757576,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF']","{'TPC_MNUF': 3, 'TPC_NONE': 1, 'UC_NONE': 1, 'SPC_MNUF': 1}"
1,7,SBX,MPOLY,0.660080917965718,0.027339426397018803,565255133.44,521715859.7612613,1702379.68,1043571.1558549219,0.7113186025663972,0.0009591143922126344,0.01,0.065,7.127474747474747,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF']","{'TPC_MNUF': 4, 'TPC_NONE': 1, 'UC_NONE': 1, 'SPC_MNUF': 1}"
1,8,SBX,MPOLY,0.659806154521004,0.02716582382806177,516489950.72,488529179.90765965,1611622.56,1107459.7227462165,0.7120602633480565,0.0007416607816592702,0.02,0.105,6.984646464646465,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE']","{'TPC_MNUF': 4, 'TPC_NONE': 2, 'UC_NONE': 1, 'SPC_MNUF': 1}"
1,9,SBX,MPOLY,0.6575030543006851,0.0292496529527697,492625872.64,495641669.0769622,1545906.08,1115026.407675582,0.7161993732682332,0.004139109920176742,0.0,0.07,6.805252525252525,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY']","{'TPC_MNUF': 4, 'TPC_NONE': 2, 'UC_NONE': 1, 'SPC_MNUF': 1, 'TPC_MPOLY': 1}"
1,10,SBX,MPOLY,0.6579019678254342,0.030611901473129366,472996501.76,482043794.03414786,1551303.84,1136269.3344562172,0.7164056610595113,0.0002062877912780703,0.02,0.085,6.736565656565657,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE']","{'TPC_MNUF': 4, 'TPC_NONE': 2, 'UC_NONE': 2, 'SPC_MNUF': 1, 'TPC_MPOLY': 1}"
1,11,SBX,MPOLY,0.6602800400346515,0.02946438936886397,458988038.4,430743896.2449694,1506694.56,1068544.6145247875,0.7182406464565841,0.0018349853970728303,0.0,0.1,6.724040404040404,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF']","{'TPC_MNUF': 4, 'TPC_NONE': 2, 'UC_NONE': 2, 'SPC_MNUF': 2, 'TPC_MPOLY': 1}"
1,12,SBX,MPOLY,0.6561537545162675,0.035590315964637395,468706762.24,523439076.4293508,1404249.76,1075055.4626172283,0.7185773011535925,0.00033665469700838724,0.0,0.125,6.449696969696969,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF']","{'TPC_MNUF': 4, 'TPC_NONE': 2, 'UC_NONE': 2, 'SPC_MNUF': 3, 'TPC_MPOLY': 1}"
1,13,SBX,MPOLY,0.6556075522335746,0.03679126542129424,464926163.2,525043897.88646734,1365226.4,1006534.4653140098,0.7187358968873799,0.00015859573378740333,0.0,0.095,6.377777777777778,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE']","{'TPC_MNUF': 4, 'TPC_NONE': 3, 'UC_NONE': 2, 'SPC_MNUF': 3, 'TPC_MPOLY': 1}"
1,14,SBX,MPOLY,0.6494042031878676,0.0405690774772541,375516316.16,408167315.4141729,1173132.96,837976.657968585,0.7197735025621156,0.0010376056747356532,0.02,0.085,6.096565656565657,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY']","{'TPC_MNUF': 4, 'TPC_NONE': 3, 'UC_NONE': 2, 'SPC_MNUF': 3, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1}"
1,15,SBX,MPOLY,0.643933717731509,0.04435336563658519,341836650.24,382318744.8142656,1092603.04,865448.8537504444,0.7199818890694268,0.0002083865073112534,0.0,0.1,5.816969696969697,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY', 'SPC_NONE']","{'TPC_MNUF': 4, 'TPC_NONE': 3, 'UC_NONE': 2, 'SPC_MNUF': 3, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SPC_NONE': 1}"
1,16,SBX,MPOLY,0.6396335654663032,0.04697192431025161,310433000.96,330436630.1366445,1045941.92,857871.0380576288,0.7200353251699882,5.343610056141035e-05,0.0,0.09,5.555757575757576,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY', 'SPC_NONE', 'TPC_MNUF']","{'TPC_MNUF': 5, 'TPC_NONE': 3, 'UC_NONE': 2, 'SPC_MNUF': 3, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SPC_NONE': 1}"
1,17,SBX,MPOLY,0.6474004908048989,0.04307925629831916,323178600.96,344011903.79567635,1167963.04,900361.4469573204,0.7201482615722209,0.000112936402232644,0.02,0.085,5.567272727272727,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY', 'SPC_NONE', 'TPC_MNUF', 'SPC_MNUF']","{'TPC_MNUF': 5, 'TPC_NONE': 3, 'UC_NONE': 2, 'SPC_MNUF': 4, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SPC_NONE': 1}"
1,18,SBX,MPOLY,0.6548332394483343,0.037086659225283126,331952066.56,341623757.14877796,1231634.08,874562.9825438496,0.7201782723679709,3.001079575004617e-05,0.0,0.055,5.726262626262626,GREEDY_CROSS,"['TPC_MNUF', 'TPC_NONE', 'TPC_MNUF', 'UC_NONE', 'SPC_MNUF', 'TPC_MNUF', 'TPC_MNUF', 'TPC_NONE', 'TPC_MPOLY', 'UC_NONE', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY', 'SPC_NONE', 'TPC_MNUF', 'SPC_MNUF', 'TPC_NONE']","{'TPC_MNUF': 5, 'TPC_NONE': 4, 'UC_NONE': 2, 'SPC_MNUF': 4, 'TPC_MPOLY': 1, 'SPC_MPOLY': 1, 'SPC_NONE': 1}"
