ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BIUPJS,0,1,100,17,1.0,True,False,"[14, 39, 52, 38, 45, 38, 55, 22]",[],"[14.097621884093146, 39.75773381428776, 52.40671771234026, 38.52698962312431, 45.31029731541244, 38.593940992481336, 55.674831170470135, 22.118891351083274]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.714303286388863,,,,3521687552,6799780,,,,,,,0.7223655065739805,-0.0011487988893624,0.125,0.125,0,0.0,0.17,0,0,0,100,0,0.0,BEST,False,False,25,True,True,GREEDY,,,GREEDY_GD
BHMJPF,1,2,100,26,1.0,True,False,"[22, 28, 32, 3, 28, 6, 38, 55]",[],"[22.275495654689752, 28.99860277841058, 32.24329419501893, 3.6678828492814626, 28.541772445576946, 6.412389058199842, 38.28314252605956, 55.18739510702518]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7162565952550752,,,,1627290624,4053412,,,,,,,0.7248507807321609,-0.0033717512578326,0.125,0.25,0,0.0,0.26,0,0,0,100,0,0.0,BEST,False,False,12,True,True,GREEDY,,,GREEDY_GD
BGXEBZ,2,3,100,21,1.0,True,False,"[16, 36, 4, 38, 46, 4, 27, 23]",[],"[16.700307439587156, 36.05373513093027, 4.9512219088026965, 38.72976513274693, 46.75278500433249, 4.336414551185871, 27.412520366953153, 23.129524255545242]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7122006378370597,,,,943316992,2769316,,,,,,,0.7258523240045716,-0.0017167056480109,0.125,0.125,0,0.0,0.21,0,0,0,100,0,0.0,BEST,False,False,57,True,True,GREEDY,,,GREEDY_GD
BPBSFR,3,4,100,30,1.0,True,False,"[14, 6, 2, 20, 60, 22, 13, 55]",[],"[14.1829250971466, 6.8849943502811835, 2.9245654172490423, 20.075449976770564, 60.83042435670127, 22.65187293076337, 13.84798387356067, 55.50956716107873]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7074929511013957,,,,913042944,4087588,,,,,,,0.7161197862108492,-0.0019403483323008,0.125,0.125,0,0.0,0.3,0,0,0,100,0,0.0,BEST,False,False,119,True,True,GREEDY,,,GREEDY_GD
BNZNIW,4,5,100,13,1.0,True,False,"[2, 4, 27, 38, 46, 6, 13, 31]",[],"[2.271335822840938, 4.91125336507153, 27.478931529617608, 38.62181474503758, 46.06683702646713, 6.469077090789302, 13.204613457403093, 31.546475116465658]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7098671101445322,,,,732752384,2986532,,,,,,,0.7253388775129591,-2.131048343234632e-06,0.125,0.125,0,0.0,0.13,0,0,0,100,0,0.0,BEST,False,False,88,True,True,GREEDY,,,GREEDY_GD
BVHGVW,5,6,100,20,1.0,True,False,"[28, 36, 4, 38, 46, 6, 39, 23]",[],"[28.245556690728495, 36.14075664762707, 4.434258235565925, 38.865698659512475, 46.58553841942035, 6.605105461941785, 39.91864204735577, 23.152104818028103]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.719335365421544,,,,1451937792,3957028,,,,,,,0.728682124952064,-0.0013818587525294,0.125,0.125,0,0.0,0.2,0,0,0,100,0,0.0,BEST,False,False,2,True,True,GREEDY,,,GREEDY_GD
BSHFYU,6,7,100,28,1.0,True,False,"[2, 20, 20, 38, 46, 30, 38, 39]",[],"[2.8689568453816223, 20.80324085701645, 20.627847234247838, 38.30151728732851, 46.03153301822346, 30.009733110286074, 38.25798225073629, 39.557143577308075]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.716281586443735,,,,879700992,4149412,,,,,,,0.7328038820481139,-0.0003758352167624,0.25,0.25,0,0.0,0.28,0,0,0,100,0,0.0,BEST,False,False,11,True,True,GREEDY,,,GREEDY_GD
BVXAH,7,8,100,16,1.0,True,False,"[37, 32, 23, 39, 14, 6, 62, 55]",[],"[37.52792633572817, 32.86392243434928, 23.699765012548614, 39.93609236974301, 14.716769753540982, 6.4901373152282416, 62.52295274766291, 55.124696271642456]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7177999022621964,,,,2361744384,7130788,,,,,,,0.7306370039183145,-8.427876241612342e-05,0.25,0.125,0,0.0,0.16,0,0,0,100,0,0.0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_GD
BMDWDZ,8,9,100,18,1.0,True,False,"[16, 22, 23, 30, 18, 6, 7, 55]",[],"[16.1206417826455, 22.3246749420651, 23.05334089110284, 30.495694628967044, 18.016210221322265, 6.612826194634229, 7.669237428252215, 55.345019074235005]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7054732598769511,,,,1147473408,4155300,,,,,,,0.7189409832767825,-7.66437054351421e-05,0.125,0.125,0,0.0,0.18,0,0,0,100,0,0.0,BEST,False,False,151,True,True,GREEDY,,,GREEDY_GD
BEEXBH,9,10,100,19,1.0,True,False,"[22, 12, 18, 36, 46, 54, 54, 22]",[],"[22.745130321185957, 12.739824381530843, 18.508320315725285, 36.19913805567565, 46.39135750334187, 54.33451199531479, 54.1883385598618, 22.34194457371748]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7122747858495199,,,,1338601472,4154532,,,,,,,0.7213800634862505,-0.0001178012123439,0.25,0.125,0,0.0,0.19,0,0,0,100,0,0.0,BEST,False,False,56,True,True,GREEDY,,,GREEDY_GD
