ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BNYHAJ,100,1,1,1,0.01,True,False,"[63, 7, 27, 38, 41, 22, 21, 29]",[],"[63.109056407817555, 7.546739038774102, 27.77113477954712, 38.97047773388556, 41.010917483432344, 22.413564153247325, 21.896672588037127, 29.993393129214066]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6939906304655853,,,,5389407744,5080100,,,,,,,0.678951631185683,0.0,0.375,0.625,0,0.0,0.01,0,17,0,100,0,0.17,BEST,False,False,261,True,True,GREEDY,,,GREEDY_GD
BZACUR,100,1,2,2,0.02,True,False,"[60, 43, 34, 38, 63, 22, 31, 15]",[],"[60.79157819057876, 43.93955800632466, 34.33722288830009, 38.26162717204584, 63.988461266614344, 22.032977335040282, 31.696720987051094, 15.226236795274378]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7050440151383357,,,,3470400000,6673572,,,,,,,0.6838004551119008,0.0041974246585981,0.625,0.375,0,0.75,0.02,0,2,0,100,0,0.02,BEST,False,False,179,True,True,GREEDY,,,GREEDY_GD
BZACUR,100,1,3,2,0.03,True,False,"[60, 43, 34, 38, 63, 22, 31, 15]",[],"[60.79157819057876, 43.93955800632466, 34.33722288830009, 38.26162717204584, 63.988461266614344, 22.032977335040282, 31.696720987051094, 15.226236795274378]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7050440151383357,,,,3470400000,6673572,,,,,,,0.6960276275844697,0.0022557392075652,0.625,0.375,0,0.0,0.02,0,1,0,100,0,0.01,BEST,False,False,179,True,True,GREEDY,,,GREEDY_GD
BLWWWI,100,1,4,4,0.04,True,False,"[60, 43, 34, 38, 46, 37, 31, 15]",[],"[60.426959977184445, 43.78283003369738, 34.80925302648794, 38.749826724104246, 46.03507185186554, 37.851105120701554, 31.45674090941708, 15.119886248314547]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706188583098384,,,,3239356928,4714916,,,,,,,0.6995199076392583,0.0002566927419452,0.75,0.25,0,0.25,0.04,0,0,0,100,0,0.0,BEST,False,False,163,True,True,GREEDY,,,GREEDY_GD
BLNGQS,100,1,5,5,0.05,True,False,"[60, 7, 7, 38, 60, 14, 54, 39]",[],"[60.733590454832196, 7.196792856180546, 7.192560087052465, 38.68809086095633, 60.54618233632921, 14.524916994191246, 54.04050740067431, 39.02267426610379]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7080764178921332,,,,2735672320,6257060,,,,,,,0.6999508237808598,-0.0003134013675289,0.5,0.5,0,0.75,0.05,0,0,0,100,0,0.0,BEST,False,False,139,True,True,GREEDY,,,GREEDY_GD
BLNGQS,100,1,6,5,0.06,True,False,"[60, 7, 7, 38, 60, 14, 54, 39]",[],"[60.733590454832196, 7.196792856180546, 7.192560087052465, 38.68809086095633, 60.54618233632921, 14.524916994191246, 54.04050740067431, 39.02267426610379]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7080764178921332,,,,2735672320,6257060,,,,,,,0.7053945727932668,-0.0004391951785596,0.5,0.5,0,0.0,0.05,0,0,0,100,0,0.0,BEST,False,False,139,True,True,GREEDY,,,GREEDY_GD
BUXUZS,100,1,7,7,0.07,True,False,"[60, 7, 7, 38, 60, 14, 54, 15]",[],"[60.380926274012, 7.193154743251716, 7.260287654132071, 38.33188809448224, 60.54715716444979, 14.541046014736647, 54.41824035258273, 15.640921083597286]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7108301755274752,,,,2713120256,5552164,,,,,,,0.7065183221008277,-0.0031449512925819,0.125,0.375,0,0.125,0.07,0,0,0,100,0,0.0,BEST,False,False,89,True,True,GREEDY,,,GREEDY_GD
BUXUZS,100,1,8,7,0.08,True,False,"[60, 7, 7, 38, 60, 14, 54, 15]",[],"[60.380926274012, 7.193154743251716, 7.260287654132071, 38.33188809448224, 60.54715716444979, 14.541046014736647, 54.41824035258273, 15.640921083597286]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7108301755274752,,,,2713120256,5552164,,,,,,,0.7112975278071071,-0.0015414047199308,0.125,0.375,0,0.0,0.07,0,1,0,100,0,0.01,BEST,False,False,89,True,True,GREEDY,,,GREEDY_GD
BWPFSW,100,1,9,9,0.09,True,False,"[60, 7, 7, 38, 60, 14, 31, 15]",[],"[60.95978008556991, 7.212387932798797, 7.67764481446982, 38.280690603453586, 60.60569343402687, 14.624124382976087, 31.773639757982973, 15.116480047154166]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7120268030464649,,,,2701570560,5190948,,,,,,,0.70995476596091,-0.001320987153673,0.125,0.375,0,0.125,0.09,0,0,0,100,0,0.0,BEST,False,False,71,True,True,GREEDY,,,GREEDY_GD
BWPFSW,100,1,10,9,0.1,True,False,"[60, 7, 7, 38, 60, 14, 31, 15]",[],"[60.95978008556991, 7.212387932798797, 7.67764481446982, 38.280690603453586, 60.60569343402687, 14.624124382976087, 31.773639757982973, 15.116480047154166]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7120268030464649,,,,2701570560,5190948,,,,,,,0.7151589821480433,-0.0018203376686884,0.125,0.375,0,0.0,0.09,0,0,0,100,0,0.0,BEST,False,False,71,True,True,GREEDY,,,GREEDY_GD
BNYRXC,100,1,11,11,0.11,True,False,"[60, 7, 27, 38, 60, 14, 31, 15]",[],"[60.379328593127255, 7.045502051741083, 27.864372440188266, 38.43313391798856, 60.756052441579584, 14.651516555674142, 31.904931017729425, 15.064970735622268]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7129039627321181,,,,2707657216,5202596,,,,,,,0.7182968803986549,-0.0005163596106946,0.125,0.25,0,0.125,0.11,0,0,0,100,0,0.0,BEST,False,False,56,True,True,GREEDY,,,GREEDY_GD
BNYRXC,100,1,12,11,0.12,True,False,"[60, 7, 27, 38, 60, 14, 31, 15]",[],"[60.379328593127255, 7.045502051741083, 27.864372440188266, 38.43313391798856, 60.756052441579584, 14.651516555674142, 31.904931017729425, 15.064970735622268]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7129039627321181,,,,2707657216,5202596,,,,,,,0.7182183854089625,-0.0020439704796919,0.125,0.25,0,0.0,0.11,0,0,0,100,0,0.0,BEST,False,False,56,True,True,GREEDY,,,GREEDY_GD
