counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0,1,8,3,0,9,2,0,6,1,0,10,2,0
NONE_MPOLY,0,7,3,47,1,3,16,0,4,32,0,3,21,1
SBX_MNUF,4,2,20,38,0,8,22,1,8,22,0,10,10,0
SBX_MPOLY,4,42,29,343,13,16,174,3,17,146,2,13,130,1
SBX_NONE,0,2,5,12,4,1,8,0,1,3,0,1,6,0
SPC_MNUF,0,4,12,24,2,5,8,0,8,5,0,7,11,0
SPC_MPOLY,1,31,19,153,5,12,94,3,9,83,1,15,81,0
SPC_NONE,0,1,0,3,0,0,3,0,0,1,1,1,1,0
TPC_MNUF,2,3,8,24,1,7,8,1,5,10,0,8,8,0
TPC_MPOLY,2,26,12,143,9,12,92,1,12,88,2,5,60,3
TPC_NONE,0,0,0,0,0,0,3,0,0,3,1,0,2,0
UC_MNUF,2,3,12,19,2,7,10,1,8,11,0,12,9,0
UC_MPOLY,3,16,16,135,7,5,70,1,4,68,2,9,63,2
UC_NONE,0,1,0,3,0,0,2,0,0,0,0,1,0,0
