GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.000000,0.023810,0.190476,0.071429,0.000000,0.214286,0.047619,0.000000,0.142857,0.023810,0.000000,0.238095,0.047619,0.000000
NONE_MPOLY,0.000000,0.050725,0.021739,0.340580,0.007246,0.021739,0.115942,0.000000,0.028986,0.231884,0.000000,0.021739,0.152174,0.007246
SBX_MNUF,0.027586,0.013793,0.137931,0.262069,0.000000,0.055172,0.151724,0.006897,0.055172,0.151724,0.000000,0.068966,0.068966,0.000000
SBX_MPOLY,0.004287,0.045016,0.031083,0.367631,0.013934,0.017149,0.186495,0.003215,0.018221,0.156484,0.002144,0.013934,0.139335,0.001072
SBX_NONE,0.000000,0.046512,0.116279,0.279070,0.093023,0.023256,0.186047,0.000000,0.023256,0.069767,0.000000,0.023256,0.139535,0.000000
SPC_MNUF,0.000000,0.046512,0.139535,0.279070,0.023256,0.058140,0.093023,0.000000,0.093023,0.058140,0.000000,0.081395,0.127907,0.000000
SPC_MPOLY,0.001972,0.061144,0.037475,0.301775,0.009862,0.023669,0.185404,0.005917,0.017751,0.163708,0.001972,0.029586,0.159763,0.000000
SPC_NONE,0.000000,0.090909,0.000000,0.272727,0.000000,0.000000,0.272727,0.000000,0.000000,0.090909,0.090909,0.090909,0.090909,0.000000
TPC_MNUF,0.023529,0.035294,0.094118,0.282353,0.011765,0.082353,0.094118,0.011765,0.058824,0.117647,0.000000,0.094118,0.094118,0.000000
TPC_MPOLY,0.004283,0.055675,0.025696,0.306210,0.019272,0.025696,0.197002,0.002141,0.025696,0.188437,0.004283,0.010707,0.128480,0.006424
TPC_NONE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.333333,0.111111,0.000000,0.222222,0.000000
UC_MNUF,0.020833,0.031250,0.125000,0.197917,0.020833,0.072917,0.104167,0.010417,0.083333,0.114583,0.000000,0.125000,0.093750,0.000000
UC_MPOLY,0.007481,0.039900,0.039900,0.336658,0.017456,0.012469,0.174564,0.002494,0.009975,0.169576,0.004988,0.022444,0.157107,0.004988
UC_NONE,0.000000,0.142857,0.000000,0.428571,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000
