ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI,0,1,1,1,0.01,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6786809629865507,0.0,0.0,0.0,0.0,0.0,0.01,24,20,100,200,0.24,0.1,BEST,False,False,383,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,2,2,0.02,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.6900203579081234,0.0113393949215727,0.0,0.0,0.75,1.0,0.02,21,6,100,200,0.21,0.03,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,3,2,0.03,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.6981737708126464,0.0081534129045229,0.0,0.0,0.75,0.0,0.02,13,3,100,200,0.13,0.015,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,4,2,0.04,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.6986399832889385,0.000466212476292,0.0,0.0,0.75,0.0,0.02,19,4,100,200,0.19,0.02,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,5,2,0.05,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.70004966009293,0.0014096768039915,0.0,0.0,0.75,0.0,0.02,8,0,100,0,0.08,0.0,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,6,2,0.06,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.7011163013425805,0.0010666412496505,0.0,0.0,0.75,0.0,0.02,14,2,100,200,0.14,0.01,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BIBOYM[M][M],0,1,7,2,0.07,True,True,"[0, 24, 26, 61, 60, 6, 47, 55]",[],"[0.24965434972594563, 24.722692993273117, 26.410028833664914, 61.647717111658174, 60.657249227514576, 6.864340284223408, 47.69972105756069, 55.485078214953305]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6954172117404738,,,,1159982080,6542116,,,,,,"[0, 5, 41, 61, 7, 17, 45, 52]",0.7021180325026007,0.0010017311600202,0.0,0.0,0.75,0.0,0.02,19,0,100,200,0.19,0.0,BEST,False,False,358,True,True,MARKOVDHV,,,MARKOV_DHV
BNFTFN[M],0,1,8,8,0.08,True,True,"[2, 23, 44, 38, 45, 6, 31, 55]",[],"[2.4552685819877027, 23.637185111533004, 44.0571251603064, 38.391820268748376, 45.46707782753622, 6.666645936804012, 31.987632447048302, 55.84924505458814]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045568670775457,,,,1988737024,6316580,,,,,,"[2, 25, 44, 38, 45, 6, 30, 55]",0.7151400337110325,0.0130220012084317,0.75,0.125,0.25,0.75,0.08,14,16,100,200,0.14,0.08,BEST,False,False,271,True,True,MARKOVDHV,,,MARKOV_DHV
BNFTFN[M],0,1,9,8,0.09,True,True,"[2, 23, 44, 38, 45, 6, 31, 55]",[],"[2.4552685819877027, 23.637185111533004, 44.0571251603064, 38.391820268748376, 45.46707782753622, 6.666645936804012, 31.987632447048302, 55.84924505458814]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045568670775457,,,,1988737024,6316580,,,,,,"[2, 25, 44, 38, 45, 6, 30, 55]",0.7155300309454309,0.0003899972343983,0.75,0.125,0.25,0.0,0.08,1,29,100,200,0.01,0.145,BEST,False,False,271,True,True,MARKOVDHV,,,MARKOV_DHV
BNFTFN[M],0,1,10,8,0.1,True,True,"[2, 23, 44, 38, 45, 6, 31, 55]",[],"[2.4552685819877027, 23.637185111533004, 44.0571251603064, 38.391820268748376, 45.46707782753622, 6.666645936804012, 31.987632447048302, 55.84924505458814]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045568670775457,,,,1988737024,6316580,,,,,,"[2, 25, 44, 38, 45, 6, 30, 55]",0.7166244317019204,0.0010944007564894,0.75,0.125,0.25,0.0,0.08,0,6,0,100,0.0,0.06,BEST,False,False,271,True,True,MARKOVDHV,,,MARKOV_DHV
