ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BXOAJZ[M],0,1,100,100,1.0,True,True,"[2, 15, 15, 38, 46, 6, 31, 23]",[],"[2.7408446215751345, 15.763743772501, 15.12083860403086, 38.53998257626624, 46.30491841647896, 6.772236294821854, 31.9499133646362, 23.437937893016322]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.717015536358583,,,,1325415424,3967268,,,,,,"[2, 15, 15, 38, 46, 6, 31, 23]",0.7376473234986788,0.0012537361334309,0.125,0.25,0.0,0.125,1.0,1,0,100,200,0.01,0.0,BEST,False,False,49,True,True,MARKOVDHV,,,MARKOV_DHV
BZNDUT,1,2,100,91,1.0,True,False,"[2, 7, 20, 30, 46, 6, 31, 55]",[],"[2.6517275442134185, 7.335042501760653, 20.96453735211249, 30.372243547412307, 46.903369481384175, 6.1624685534550485, 31.362257291432815, 55.941994315487705]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7173751574394072,,,,1093490688,5179812,,,,,,,0.7377689105457933,-2.833635134980028e-06,0.125,0.375,0.0,0.0,0.91,0,2,100,200,0.0,0.01,BEST,False,False,43,True,True,MARKOVDHV,,,MARKOV_DHV
BZNDIJ,2,3,100,89,1.0,True,False,"[2, 63, 4, 38, 28, 6, 20, 23]",[],"[2.9237092089559855, 63.04254920052631, 4.4390906711747204, 38.56657051125496, 28.566337068483154, 6.882449790767223, 20.599582874584335, 23.598275427424767]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7116432641354635,,,,4660798464,3972516,,,,,,,0.7328696096507359,-4.376581155041137e-06,0.25,0.125,0.0,0.0,0.89,0,1,100,200,0.0,0.005,BEST,False,False,160,True,True,MARKOVDHV,,,MARKOV_DHV
BTFINW,3,4,100,59,1.0,True,False,"[2, 7, 20, 22, 46, 6, 62, 23]",[],"[2.3733949723598275, 7.900105498937105, 20.872820022872066, 22.83171560892468, 46.20076038154881, 6.288061880198534, 62.0062204743152, 23.86613455494036]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7182631132414713,,,,1017993216,4786596,,,,,,,0.7385853676168612,0.0,0.125,0.25,0.0,0.0,0.59,0,0,0,100,0.0,0.0,BEST,False,False,31,True,True,MARKOVDHV,,,MARKOV_DHV
BDNIUY,4,5,100,94,1.0,True,False,"[13, 4, 23, 23, 46, 7, 62, 55]",[],"[13.820907153539427, 4.5767113202464165, 23.712145987246878, 23.370320009380155, 46.879017153991924, 7.144619020738998, 62.180209726826035, 55.39230866094377]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7215553555633749,,,,1326650368,7155108,,,,,,,0.7410719698291605,8.410251275614566e-05,0.25,0.25,0.0,0.0,0.94,1,0,100,0,0.01,0.0,BEST,False,False,6,True,True,MARKOVDHV,,,MARKOV_DHV
BRGQAR[M],5,6,100,100,1.0,True,True,"[2, 7, 2, 23, 28, 7, 13, 55]",[],"[2.3313137015734915, 7.650943848969364, 2.8488752764222838, 23.753307560492544, 28.63833381304582, 7.2989171220205495, 13.902755397982236, 55.37738934707076]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7121103588036907,,,,980964864,3799716,,,,,,"[2, 7, 2, 23, 28, 7, 13, 55]",0.7339411033784253,0.0002460783959675,0.75,0.125,0.0,0.75,1.0,0,0,100,200,0.0,0.0,BEST,False,False,150,True,True,MARKOVDHV,,,MARKOV_DHV
BPPNWD,6,7,100,54,1.0,True,False,"[4, 30, 4, 38, 46, 6, 17, 23]",[],"[4.929650070949487, 30.368390567636602, 4.3570441941244304, 38.17207965595493, 46.87132819289054, 6.626041414024582, 17.434321293839453, 23.62784153505058]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7207899682778155,,,,1308030464,2884900,,,,,,,0.7413688061974387,4.884525225412606e-05,0.625,0.375,0.0,0.0,0.54,0,7,100,200,0.0,0.035,BEST,False,False,10,True,True,MARKOVDHV,,,MARKOV_DHV
BERQIW,7,8,100,97,1.0,True,False,"[50, 36, 63, 30, 46, 6, 62, 55]",[],"[50.54203357978608, 36.95437944496614, 63.410998136900155, 30.44813250752277, 46.96127700010857, 6.320506864322127, 62.79119767823991, 55.66187142340657]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7156042434458195,,,,2913653760,9288868,,,,,,,0.736416127522705,0.0002085097612964,0.125,0.375,0.0,0.0,0.97,2,1,100,200,0.02,0.005,BEST,False,False,76,True,True,MARKOVDHV,,,MARKOV_DHV
BCAWOC[M][M],8,9,100,98,1.0,True,True,"[14, 7, 20, 22, 47, 6, 22, 23]",[],"[14.49557243092633, 7.724740444967546, 20.479229850320056, 22.92785564690729, 47.095438841285485, 6.5644231650354286, 22.825152122528266, 23.0454088996227]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7166553809534185,,,,1317805056,3520932,,,,,,"[14, 7, 20, 22, 46, 6, 22, 23]",0.7370182408674628,1.811402724294364e-05,0.0,0.0,0.125,0.0,0.98,0,3,100,200,0.0,0.015,BEST,False,False,55,True,True,MARKOVDHV,,,MARKOV_DHV
BCNQQL[M],9,10,100,96,1.0,True,True,"[14, 36, 15, 22, 28, 7, 39, 55]",[],"[14.517981710150321, 36.26371465371486, 15.806923200970063, 22.32057128414475, 28.431749011531927, 7.7316471425712665, 39.647532379789176, 55.74423120815547]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7201881810628705,,,,1678433280,5274532,,,,,,"[14, 36, 15, 22, 28, 7, 39, 55]",0.7401964832095733,4.937403396598761e-05,0.125,0.5,0.0,0.0,0.96,2,0,100,200,0.02,0.0,BEST,False,False,14,True,True,MARKOVDHV,,,MARKOV_DHV
