ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BEQMEK[M],0,1,1,1,0.01,True,True,"[58, 60, 42, 36, 13, 6, 44, 55]",[],"[58.82773305392449, 60.63575491404764, 42.5295986493192, 36.54567443392316, 13.140937673796449, 6.049345949192486, 44.94958748247747, 55.962524130282375]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7010789407752492,,,,3086609408,5218596,,,,,,"[57, 60, 42, 36, 13, 5, 45, 56]",0.6846762580235914,0.0,0.875,0.125,0.5,0.0,0.01,22,30,100,200,0.22,0.15,BEST,False,False,265,True,True,MARKOVHV,,,MARKOV_HV
BEQMEK[M],0,1,2,1,0.02,True,True,"[58, 60, 42, 36, 13, 6, 44, 55]",[],"[58.82773305392449, 60.63575491404764, 42.5295986493192, 36.54567443392316, 13.140937673796449, 6.049345949192486, 44.94958748247747, 55.962524130282375]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7010789407752492,,,,3086609408,5218596,,,,,,"[57, 60, 42, 36, 13, 5, 45, 56]",0.6922916226031285,0.007615364579537,0.875,0.125,0.5,0.0,0.01,0,2,0,100,0.0,0.02,BEST,False,False,265,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M],0,1,3,3,0.03,True,True,"[2, 26, 47, 38, 46, 6, 28, 21]",[],"[2.746681213391368, 26.098893690507357, 47.38210573044887, 38.06215833514073, 46.771480415337194, 6.155291388088408, 28.937011476417755, 21.863694711196032]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7044942757226145,,,,1379714560,3836452,,,,,,"[2, 24, 45, 38, 46, 6, 29, 21]",0.6977437758699402,0.0054521532668116,0.0,0.0,0.375,0.875,0.03,22,14,100,200,0.22,0.07,BEST,False,False,224,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M],0,1,4,3,0.04,True,True,"[2, 26, 47, 38, 46, 6, 28, 21]",[],"[2.746681213391368, 26.098893690507357, 47.38210573044887, 38.06215833514073, 46.771480415337194, 6.155291388088408, 28.937011476417755, 21.863694711196032]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7044942757226145,,,,1379714560,3836452,,,,,,"[2, 24, 45, 38, 46, 6, 29, 21]",0.7034019376856563,0.0056581618157161,0.0,0.0,0.375,0.0,0.03,0,1,0,100,0.0,0.01,BEST,False,False,224,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M][M],0,1,5,5,0.05,True,True,"[2, 26, 47, 38, 46, 6, 27, 22]",[],"[2.8405600153032085, 26.010365597464176, 47.48254386649868, 38.19891975882649, 46.9170491523199, 6.0090174361258955, 27.986093292822222, 22.15330693587276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706107740644439,,,,1377656832,3783972,,,,,,"[2, 26, 47, 38, 46, 6, 28, 21]",0.713353655204218,0.0099517175185617,0.0,0.0,0.25,0.25,0.05,13,15,100,200,0.13,0.075,BEST,False,False,202,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M][M],0,1,6,5,0.06,True,True,"[2, 26, 47, 38, 46, 6, 27, 22]",[],"[2.8405600153032085, 26.010365597464176, 47.48254386649868, 38.19891975882649, 46.9170491523199, 6.0090174361258955, 27.986093292822222, 22.15330693587276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706107740644439,,,,1377656832,3783972,,,,,,"[2, 26, 47, 38, 46, 6, 28, 21]",0.7135193139087881,0.00016565870457,0.0,0.0,0.25,0.0,0.05,0,10,100,200,0.0,0.05,BEST,False,False,202,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M][M],0,1,7,5,0.07,True,True,"[2, 26, 47, 38, 46, 6, 27, 22]",[],"[2.8405600153032085, 26.010365597464176, 47.48254386649868, 38.19891975882649, 46.9170491523199, 6.0090174361258955, 27.986093292822222, 22.15330693587276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706107740644439,,,,1377656832,3783972,,,,,,"[2, 26, 47, 38, 46, 6, 28, 21]",0.7135498674436694,3.055353488135015e-05,0.0,0.0,0.25,0.0,0.05,14,1,100,200,0.14,0.005,BEST,False,False,202,True,True,MARKOVHV,,,MARKOV_HV
BLOKUN[M][M][M],0,1,8,5,0.08,True,True,"[2, 26, 47, 38, 46, 6, 27, 22]",[],"[2.8405600153032085, 26.010365597464176, 47.48254386649868, 38.19891975882649, 46.9170491523199, 6.0090174361258955, 27.986093292822222, 22.15330693587276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706107740644439,,,,1377656832,3783972,,,,,,"[2, 26, 47, 38, 46, 6, 28, 21]",0.714621414746568,0.0010715473028986,0.0,0.0,0.25,0.0,0.05,14,1,100,200,0.14,0.005,BEST,False,False,202,True,True,MARKOVHV,,,MARKOV_HV
BUCYYT,0,1,9,9,0.09,True,False,"[28, 24, 44, 39, 46, 6, 31, 14]",[],"[28.49327824754639, 24.441919132973112, 44.637797445627925, 39.51324567538479, 46.93996315754046, 6.9374642976871135, 31.791959417818077, 14.53190120816501]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7069816941537037,,,,1644302848,4011684,,,,,,,0.7178858684504998,0.0032644537039318,0.625,0.25,0.0,0.75,0.09,12,0,100,0,0.12,0.0,BEST,False,False,190,True,True,MARKOVHV,,,MARKOV_HV
BOCDZS,0,1,10,10,0.1,True,False,"[37, 3, 44, 39, 46, 6, 31, 14]",[],"[37.811031522456545, 3.522639659359572, 44.167740035611814, 39.22693367868429, 46.791183063736604, 6.87143142051962, 31.612978993695638, 14.60539611945079]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7117454299046597,,,,2049511936,4286372,,,,,,,0.7223148741567995,0.0044290057062996,0.75,0.25,0.0,0.25,0.1,16,0,100,0,0.16,0.0,BEST,False,False,112,True,True,MARKOVHV,,,MARKOV_HV
