ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BVTDNB,0,1,100,36,1.0,True,False,"[2, 30, 4, 38, 46, 6, 31, 23]",[],"[2.463950716752877, 30.01725995709186, 4.679007821119064, 38.68376575683145, 46.086489932750546, 6.871527029590929, 31.77943942756085, 23.472490127944685]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7182018429877657,,,,1084242944,3514276,,,,,,,0.7377505042484764,-7.726283678732848e-06,0.375,0.25,0.0,0.0,0.36,0,0,0,100,0.0,0.0,BEST,False,False,17,True,True,MARKOVHV,,,MARKOV_HV
BOQBNS[M],1,2,100,93,1.0,True,True,"[2, 5, 20, 38, 62, 30, 62, 6]",[],"[2.4316432247786683, 5.053898838254941, 20.411694187861148, 38.3605858651244, 62.07532128979689, 30.67466042397719, 62.32874099988963, 6.742397251329159]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.713056926694581,,,,1064654336,5946020,,,,,,"[2, 5, 20, 38, 62, 30, 62, 6]",0.7323693940764506,4.117642783929565e-05,0.125,0.875,0.0,0.0,0.93,0,0,100,200,0.0,0.0,BEST,False,False,87,True,True,MARKOVHV,,,MARKOV_HV
BPWLRI[M][M][M],2,3,100,95,1.0,True,True,"[2, 4, 4, 38, 46, 6, 31, 23]",[],"[2.3194142455630344, 4.099752276819984, 4.036000890104051, 38.21923160783781, 46.37549887041686, 6.562488047157448, 31.82725589117024, 23.231179084569405]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7139346482213245,,,,665566208,3282212,,,,,,"[2, 3, 4, 38, 46, 6, 31, 23]",0.7355836998247077,3.686239554878679e-05,0.0,0.0,0.125,0.0,0.95,0,0,100,200,0.0,0.0,BEST,False,False,68,True,True,MARKOVHV,,,MARKOV_HV
BNGQNZ[M],3,4,100,90,1.0,True,True,"[14, 7, 38, 22, 47, 6, 22, 23]",[],"[14.658558014965175, 7.658957698423797, 38.39572316336132, 22.593469970266646, 47.073184762843084, 6.484908857361257, 22.480248913761987, 23.439015389976042]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7174675714524861,,,,1544543232,3964068,,,,,,"[14, 7, 38, 22, 46, 6, 22, 23]",0.7376986519001733,3.160334604002113e-05,0.0,0.0,0.125,0.0,0.9,1,0,100,200,0.01,0.0,BEST,False,False,24,True,True,MARKOVHV,,,MARKOV_HV
BCUAOM[M][M],4,5,100,93,1.0,True,True,"[3, 12, 2, 38, 28, 6, 13, 55]",[],"[3.1836954532577746, 12.940893072407793, 2.375096158219498, 38.27145172107003, 28.60277933620452, 6.120386280766371, 13.8627536682553, 55.61565329300805]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7070640267314213,,,,694654464,3451300,,,,,,"[3, 13, 2, 38, 28, 6, 13, 55]",0.7288531231525647,4.89840322159818e-06,0.0,0.0,0.125,0.0,0.93,0,0,100,200,0.0,0.0,BEST,False,False,188,True,True,MARKOVHV,,,MARKOV_HV
BJLTWQ[M][M],5,6,100,88,1.0,True,True,"[14, 36, 4, 39, 21, 6, 62, 23]",[],"[14.257470948112063, 36.55260720485057, 4.3399257568178005, 39.18308005069372, 21.602882403324738, 6.880091974417107, 62.81457190688739, 23.515217871367344]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7137307943964446,,,,1851361280,4893092,,,,,,"[14, 36, 4, 39, 23, 6, 62, 23]",0.7347772239221848,1.5660620017232674e-05,0.0,0.0,0.125,0.0,0.88,0,0,100,0,0.0,0.0,BEST,False,False,75,True,True,MARKOVHV,,,MARKOV_HV
BDRZSZ,6,7,100,92,1.0,True,False,"[12, 26, 46, 38, 46, 6, 31, 23]",[],"[12.383671809643088, 26.45263829564217, 46.52617741269379, 38.454429108593814, 46.246912360987665, 6.758395638627238, 31.749801079575573, 23.43329228066998]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7165789990717691,,,,1445895168,4094244,,,,,,,0.7359224351521911,3.295098922917461e-05,0.5,0.125,0.0,0.0,0.92,2,0,100,200,0.02,0.0,BEST,False,False,33,True,True,MARKOVHV,,,MARKOV_HV
BUVFLA,7,8,100,93,1.0,True,False,"[48, 7, 20, 30, 28, 6, 38, 55]",[],"[48.77162365188602, 7.177414359072067, 20.27185720907808, 30.782582700852895, 28.457608433976777, 6.0910189229660405, 38.08760724070179, 55.55788420188575]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7156332334481755,,,,1360231424,4458148,,,,,,,0.7359318934352441,-1.712578987944635e-05,0.125,0.25,0.0,0.0,0.93,1,0,100,200,0.01,0.0,BEST,False,False,49,True,True,MARKOVHV,,,MARKOV_HV
BHLIYS[M],8,9,100,96,1.0,True,True,"[14, 20, 15, 22, 22, 6, 31, 23]",[],"[14.072503768242726, 20.48586871198728, 15.761545123772132, 22.89470188089138, 22.22340242903007, 6.053682492872551, 31.905070692473412, 23.15721485270678]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7139156289768083,,,,1126050816,2803876,,,,,,"[14, 20, 15, 22, 22, 6, 31, 23]",0.7343934844060594,5.71765125412238e-06,0.25,0.125,0.0,0.0,0.96,0,9,100,200,0.0,0.045,BEST,False,False,70,True,True,MARKOVHV,,,MARKOV_HV
BGPPXN[M],9,10,100,97,1.0,True,True,"[2, 7, 4, 6, 46, 6, 39, 23]",[],"[2.597739948747372, 7.4555163163470475, 4.194196620824652, 6.16026913444667, 46.83504800133402, 6.657452574833263, 39.143484809033495, 23.15694678771106]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7178616465071228,,,,869003264,3450532,,,,,,"[2, 7, 4, 6, 46, 6, 39, 23]",0.7388330349789097,-5.7463201857954616e-06,0.25,0.375,0.0,0.0,0.97,0,0,0,100,0.0,0.0,BEST,False,False,21,True,True,MARKOVHV,,,MARKOV_HV
