ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6699716476307471,0.0,0.0,0.0,0.5,0.0,0.01,30,26,100,200,0.3,0.13,BEST,False,False,319,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,2,1,0.02,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6884914539843673,0.0185198063536201,0.0,0.0,0.5,0.0,0.01,6,9,100,200,0.06,0.045,BEST,False,False,319,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,3,1,0.03,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6935594926876995,0.0050680387033321,0.0,0.0,0.5,0.0,0.01,0,7,0,100,0.0,0.07,BEST,False,False,319,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,4,1,0.04,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7017945015385543,0.0082350088508548,0.0,0.0,0.5,0.0,0.01,15,27,100,200,0.15,0.135,BEST,False,False,319,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,5,1,0.05,True,True,"[2, 26, 43, 39, 44, 6, 30, 22]",[],"[2.391595721338405, 26.023867806172262, 43.69760332767554, 39.17929805926036, 44.44074205635389, 6.7780117407070115, 30.824870651011345, 22.476096224315533]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6946471897790475,,,,1199389696,3443492,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7020927045388394,0.0002982030002851,0.0,0.0,0.5,0.0,0.01,3,7,100,200,0.03,0.035,BEST,False,False,319,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,6,6,0.06,True,True,"[2, 25, 43, 39, 46, 6, 30, 23]",[],"[2.4831157147000322, 25.419289737389317, 43.51456747956337, 39.48516159673107, 46.31420706237504, 6.340587513026697, 30.11341850608245, 23.03166498986539]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7031027315436049,,,,1208048640,3802276,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7095205452064911,0.0074278406676516,0.0,0.0,0.5,0.375,0.06,1,13,100,200,0.01,0.065,BEST,False,False,240,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,7,6,0.07,True,True,"[2, 25, 43, 39, 46, 6, 30, 23]",[],"[2.4831157147000322, 25.419289737389317, 43.51456747956337, 39.48516159673107, 46.31420706237504, 6.340587513026697, 30.11341850608245, 23.03166498986539]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7031027315436049,,,,1208048640,3802276,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7105801624624428,0.0010596172559517,0.0,0.0,0.5,0.0,0.06,1,4,100,200,0.01,0.02,BEST,False,False,240,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,8,6,0.08,True,True,"[2, 25, 43, 39, 46, 6, 30, 23]",[],"[2.4831157147000322, 25.419289737389317, 43.51456747956337, 39.48516159673107, 46.31420706237504, 6.340587513026697, 30.11341850608245, 23.03166498986539]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7031027315436049,,,,1208048640,3802276,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7180837299762668,0.0075035675138239,0.0,0.0,0.5,0.0,0.06,3,18,100,200,0.03,0.09,BEST,False,False,240,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,9,6,0.09,True,True,"[2, 25, 43, 39, 46, 6, 30, 23]",[],"[2.4831157147000322, 25.419289737389317, 43.51456747956337, 39.48516159673107, 46.31420706237504, 6.340587513026697, 30.11341850608245, 23.03166498986539]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7031027315436049,,,,1208048640,3802276,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7185318120484517,0.0004480820721849,0.0,0.0,0.5,0.0,0.06,2,24,100,200,0.02,0.12,BEST,False,False,240,True,True,MARKOVMUT,,,MARKOV_MUT
BLOKUN[M],0,1,10,6,0.1,True,True,"[2, 25, 43, 39, 46, 6, 30, 23]",[],"[2.4831157147000322, 25.419289737389317, 43.51456747956337, 39.48516159673107, 46.31420706237504, 6.340587513026697, 30.11341850608245, 23.03166498986539]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7031027315436049,,,,1208048640,3802276,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.7196580597972368,0.0011262477487851,0.0,0.0,0.5,0.0,0.06,0,4,0,100,0.0,0.04,BEST,False,False,240,True,True,MARKOVMUT,,,MARKOV_MUT
