ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BAXIBR[M][M][M][M][M],0,1,100,52,1.0,True,True,"[3, 27, 38, 38, 46, 6, 31, 23]",[],"[3.818846136754539, 27.187889709719265, 38.68502145870323, 38.87255988058564, 46.46810294121462, 6.603585079330568, 31.161455980939916, 23.701901078969808]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7153020635247862,,,,1265212416,3907620,,,,,,"[4, 27, 38, 39, 46, 6, 31, 23]",0.7363845551494501,-1.4619999553877603e-05,0.0,0.0,0.25,0.0,0.52,0,3,100,200,0.0,0.015,BEST,False,False,16,True,True,MARKOVMUT,,,MARKOV_MUT
BKWVRT[M][M],1,2,100,93,1.0,True,True,"[14, 28, 20, 3, 14, 6, 23, 55]",[],"[14.739101723950606, 28.360773676797688, 20.32465924550908, 3.431787407673802, 14.353454333471714, 6.956997715712895, 23.332203630726937, 55.00331900598898]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7150881848028325,,,,1497956352,3937828,,,,,,"[14, 28, 19, 3, 14, 6, 23, 55]",0.7357359987142047,-7.056279122785725e-06,0.0,0.0,0.125,0.0,0.93,0,0,0,100,0.0,0.0,BEST,False,False,19,True,True,MARKOVMUT,,,MARKOV_MUT
BZWFKK[M][M][M][M],2,3,100,75,1.0,True,True,"[3, 7, 4, 38, 46, 39, 55, 39]",[],"[3.643288702936217, 7.130603252630491, 4.726256024202654, 38.957054222285315, 46.03105086179983, 39.89490487475885, 55.53770536052488, 39.469141090578276]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7164906133964026,,,,1283359744,6454436,,,,,,"[3, 5, 4, 38, 46, 39, 55, 39]",0.7372531977567325,-5.308174514051522e-06,0.0,0.0,0.125,0.0,0.75,0,1,100,200,0.0,0.005,BEST,False,False,7,True,True,MARKOVMUT,,,MARKOV_MUT
BBPSDQ[M],3,4,100,93,1.0,True,True,"[14, 12, 20, 39, 14, 6, 13, 23]",[],"[14.64842295970108, 12.237305715987265, 20.29007538078846, 39.18540293068957, 14.736657103280093, 6.279515471780814, 13.243483129105767, 23.178012212782576]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7108336662806758,,,,1409069568,2733220,,,,,,"[14, 12, 20, 38, 14, 6, 13, 23]",0.7324663571766158,-2.207691523736788e-05,0.25,0.125,0.125,0.0,0.93,0,0,0,100,0.0,0.0,BEST,False,False,101,True,True,MARKOVMUT,,,MARKOV_MUT
BUTKMY[M],4,5,100,97,1.0,True,True,"[2, 6, 4, 4, 46, 6, 54, 23]",[],"[2.7729541729683165, 6.4015066113863694, 4.2571375660618775, 4.667775451810654, 46.14111752320193, 6.617228481579135, 54.85194996228078, 23.718208284000816]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.710569695078182,,,,531077120,2938532,,,,,,"[2, 6, 4, 4, 46, 6, 54, 23]",0.7324067970314816,-8.36563462058848e-07,0.25,0.375,0.0,0.0,0.97,0,1,0,100,0.0,0.01,BEST,False,False,107,True,True,MARKOVMUT,,,MARKOV_MUT
BFKRGC[M],5,6,100,55,1.0,True,True,"[14, 7, 20, 39, 14, 6, 39, 23]",[],"[14.128223705155277, 7.703952453495282, 20.36548003466596, 39.417558996919034, 14.68805116637311, 6.772775639748215, 39.414301521719686, 23.84131116607081]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7164989568032116,,,,1551693824,3725860,,,,,,"[14, 7, 20, 37, 14, 6, 38, 23]",0.7373686729132177,-4.269484835717208e-05,0.5,0.125,0.25,0.0,0.55,2,0,100,200,0.02,0.0,BEST,False,False,6,True,True,MARKOVMUT,,,MARKOV_MUT
BVAPYW[M],6,7,100,78,1.0,True,True,"[20, 30, 20, 38, 15, 6, 22, 23]",[],"[20.923873948885355, 30.217381465111988, 20.586788948536963, 38.711390041919195, 15.191516700803527, 6.3324038713640896, 22.998026689541287, 23.11532300529603]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7141212861365367,,,,1395123200,2572324,,,,,,"[20, 30, 20, 38, 14, 6, 22, 23]",0.7340379940325588,2.841418349830427e-06,0.5,0.25,0.125,0.0,0.78,3,0,100,200,0.03,0.0,BEST,False,False,31,True,True,MARKOVMUT,,,MARKOV_MUT
BHASF[M][M][M][M][M],7,8,100,89,1.0,True,True,"[3, 7, 38, 15, 14, 6, 28, 55]",[],"[3.836622612883734, 7.080938508339164, 38.73347224743447, 15.008715916815715, 14.482364194999507, 6.359100870230895, 28.703594553236524, 55.418862041758445]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7092698068730986,,,,1251727360,4171940,,,,,,"[3, 7, 38, 14, 14, 6, 28, 55]",0.7304913707732259,2.604356310831335e-06,0.0,0.0,0.125,0.0,0.89,0,4,100,200,0.0,0.02,BEST,False,False,136,True,True,MARKOVMUT,,,MARKOV_MUT
BHVTBA[M][M][M][M][M][M][M],8,9,100,98,1.0,True,True,"[20, 30, 14, 22, 46, 6, 7, 23]",[],"[20.304483493142364, 30.783488219618626, 14.154214346713841, 22.526962642332254, 46.16761959070458, 6.754381629341006, 7.513108162692874, 23.257452618348797]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7135141997204278,,,,1438708224,3170724,,,,,,"[20, 31, 14, 22, 46, 6, 7, 23]",0.7347699472467365,-5.415111375861592e-06,0.0,0.0,0.125,0.0,0.98,0,0,0,100,0.0,0.0,BEST,False,False,47,True,True,MARKOVMUT,,,MARKOV_MUT
BSTTBW[M][M][M][M][M],9,10,100,75,1.0,True,True,"[22, 33, 20, 38, 46, 6, 22, 23]",[],"[22.698649645863494, 33.946464888622764, 20.59118528496447, 38.70782625429954, 46.00914780928834, 6.655948549131093, 22.94811353806659, 23.598433976982395]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7134781516091163,,,,1661459456,3266852,,,,,,"[22, 34, 20, 39, 46, 6, 22, 23]",0.7347002666816974,6.882324522949901e-06,0.0,0.0,0.25,0.0,0.75,2,3,100,200,0.02,0.015,BEST,False,False,48,True,True,MARKOVMUT,,,MARKOV_MUT
