ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BXNMEW[M],109,10,86,86,0.86,True,True,"[3, 7, 32, 23, 46, 7, 39, 55]",[],"[3.5937323696335954, 7.081378102086687, 32.80374147884536, 23.119758242333624, 46.29789833165972, 7.15856940138094, 39.05089819620936, 55.09170112340351]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7209559932684042,,,,1282198528,5825060,,,,,,"[3, 7, 32, 23, 46, 6, 39, 55]",0.7369393058891218,0.0003014821311997,0.25,0.0,0.125,0.125,0.86,0,4,100,200,0.0,0.02,BEST,False,False,1,True,False,,,,SPC_MPOLY
BNIXSQ[M],127,28,98,98,0.98,True,True,"[12, 30, 46, 38, 47, 14, 38, 39]",[],"[12.094015199837674, 30.65510385125684, 46.83906764357752, 38.85260271164379, 47.89924492181088, 14.015511797108113, 38.54767197795391, 39.24805846056249]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MNUF,,,,,0.719987578074796,,,,2083111936,5803556,,,,,,"[12, 30, 46, 38, 47, 14, 38, 39]",0.7377801292245922,0.0029938821216179,0.5,0.375,0.0,0.25,0.98,1,0,100,200,0.01,0.0,BEST,False,False,1,True,False,,,,SPC_MNUF
BNFBQZ,107,8,19,19,0.19,True,False,"[20, 12, 20, 39, 46, 6, 13, 55]",[],"[20.017658632578538, 12.073725861451909, 20.10659700172307, 39.63764642387399, 46.72952020898809, 6.574644146607954, 13.896981594959659, 55.873013116382374]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,NONE,,,,,0.7191390445538463,,,,1322903040,4902820,,,,,,,0.7283220967397324,0.0005643373714203,0.125,0.25,0.0,0.125,0.19,0,0,100,0,0.0,0.0,BEST,False,False,1,True,False,,,,SPC_NONE
BSUMFJ[M],109,10,98,98,0.98,True,True,"[3, 7, 15, 22, 46, 6, 39, 23]",[],"[3.521210340908907, 7.466434795469072, 15.38808277502419, 22.203179815295226, 46.1014457803787, 6.553261093212178, 39.34672742562846, 23.573104964982395]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MPOLY,,,,,0.7217200171921974,,,,1183780864,3967268,,,,,,"[3, 7, 15, 22, 46, 6, 39, 23]",0.7400706409870852,0.0027262808248105,0.125,0.375,0.0,0.25,0.98,1,0,100,200,0.01,0.0,BEST,False,False,1,True,False,,,,TPC_MPOLY
BMEWCZ[M],104,5,100,100,1.0,True,True,"[28, 7, 20, 38, 46, 30, 39, 4]",[],"[28.102470951320527, 7.430227315586031, 20.80095394146904, 38.447343689188585, 46.961439895863585, 30.27956406453086, 39.74282843253179, 4.815123058074885]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,MNUF,,,,,0.7186909711152638,,,,1457217536,4001316,,,,,,"[28, 7, 20, 38, 46, 30, 39, 4]",0.7384494153688359,0.0003370451871249,0.75,0.125,0.0,0.125,1.0,1,0,100,200,0.01,0.0,BEST,False,False,1,True,False,,,,TPC_MNUF
BIFLKH,105,6,15,15,0.15,True,False,"[14, 36, 20, 18, 14, 63, 14, 55]",[],"[14.06574167895666, 36.01683635194076, 20.604695265894, 18.274374416758697, 14.226693468129954, 63.6228918246236, 14.526762104449341, 55.2056867542515]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",TPC,NONE,,,,,0.7180461976135956,,,,1817685504,6771364,,,,,,,0.7273436416290076,0.0033499763257163,0.125,0.375,0.0,0.125,0.15,1,0,100,0,0.01,0.0,BEST,False,False,1,True,False,,,,TPC_NONE
BXQKYD[M],113,14,63,63,0.63,True,True,"[14, 21, 20, 23, 55, 7, 47, 55]",[],"[14.356487607645064, 21.001606514143926, 20.206958535780945, 23.0138687564911, 55.990988108202544, 7.1976729756204, 47.521971613081014, 55.453995169984466]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,MPOLY,,,,,0.7239559055019159,,,,1753058304,7519780,,,,,,"[14, 21, 20, 23, 55, 7, 47, 55]",0.7390576107511599,0.0020727303642731,0.125,0.375,0.0,0.25,0.63,3,3,100,200,0.03,0.015,BEST,False,False,1,True,False,,,,UC_MPOLY
BZRLLX[M],114,15,98,98,0.98,True,True,"[14, 39, 4, 23, 46, 6, 55, 23]",[],"[14.714693856401144, 39.6742860888337, 4.405737243598853, 23.978638958421914, 46.267683787717445, 6.707080977983706, 55.98830529961364, 23.87186089715423]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,MNUF,,,,,0.7205007311333015,,,,3101898752,5918116,,,,,,"[14, 39, 4, 23, 46, 6, 55, 23]",0.7364560447133794,0.0027991202257726,0.25,0.125,0.0,0.375,0.98,3,0,100,200,0.03,0.0,BEST,False,False,1,True,False,,,,UC_MNUF
BKVJJB,102,3,14,14,0.14,True,False,"[14, 7, 15, 22, 46, 7, 39, 55]",[],"[14.989685255769684, 7.562816203244232, 15.26558634839715, 22.99128654068175, 46.37797949300024, 7.835703326240055, 39.39590524953584, 55.062695282790884]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",UC,NONE,,,,,0.7217259446822766,,,,1481526272,5881636,,,,,,,0.7264439287792726,0.0008103050696632,0.125,0.125,0.0,0.125,0.14,2,0,100,0,0.02,0.0,BEST,False,False,1,True,False,,,,UC_NONE
BYVNWP[M][M],120,21,92,92,0.92,True,True,"[27, 7, 15, 38, 47, 38, 55, 39]",[],"[27.90676599294753, 7.01147154906862, 15.66732599990537, 38.621475753713725, 47.19077643690246, 38.84213825983957, 55.46359893100293, 39.84288862755624]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SBX,MPOLY,,,,,0.7205097026820473,,,,1789101056,7036708,,,,,,"[28, 7, 15, 38, 46, 38, 55, 39]",0.7386266843536192,7.442279535285756e-05,0.0,0.0,0.25,0.25,0.92,0,9,100,200,0.0,0.045,BEST,False,False,1,True,False,,,,SBX_MPOLY
