ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BKTXVC[M],100,1,100,93,1.0,True,True,"[14, 7, 4, 38, 61, 14, 55, 39]",[],"[14.386485868703984, 7.303800432729658, 4.699776023880882, 38.55418672164324, 61.828629628478154, 14.848406235985296, 55.59868406340133, 39.49247638830082]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7159755747874464,,,,1562708992,6970916,,,,,,"[14, 7, 4, 38, 62, 14, 55, 39]",0.7353119907283404,1.4359952667630791e-05,0.625,0.125,0.125,0.0,0.93,2,1,100,200,0.02,0.005,BEST,False,False,21,True,False,,,,SPC_MPOLY
BBCTF[M],101,2,100,80,1.0,True,True,"[14, 7, 20, 38, 60, 62, 38, 23]",[],"[14.558025827530443, 7.358730175882952, 20.70254544492588, 38.653773172425524, 60.777938920913336, 62.47559573739111, 38.323971967607605, 23.044800210458575]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7204176546416956,,,,1639876608,5594916,,,,,,"[14, 6, 20, 38, 60, 62, 38, 23]",0.7364190985551025,-3.6427837388774975e-06,0.25,0.125,0.125,0.0,0.8,1,0,100,200,0.01,0.0,BEST,False,False,4,True,False,,,,SPC_MPOLY
BLIKCN[M],102,3,100,93,1.0,True,True,"[14, 36, 33, 38, 14, 30, 55, 6]",[],"[14.209545646411918, 36.59397450721385, 33.66748771359953, 38.44565892788414, 14.534875341920348, 30.757834789893582, 55.36575827212936, 6.493466840709842]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7136814939474795,,,,1651121664,4397860,,,,,,"[14, 36, 33, 38, 14, 30, 55, 6]",0.7343570414428424,-1.445587690440675e-06,0.375,0.375,0.0,0.0,0.93,0,2,100,200,0.0,0.01,BEST,False,False,64,True,False,,,,SPC_MPOLY
BXOWNP[M][M][M],103,4,100,99,1.0,True,True,"[2, 10, 15, 38, 47, 7, 15, 23]",[],"[2.825232827814593, 10.729552985746311, 15.412660074368809, 38.61811130317682, 47.142716007300976, 7.267176526287011, 15.56334110182468, 23.891712082617044]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7149815993600815,,,,934097408,3872164,,,,,,"[3, 10, 15, 38, 47, 7, 15, 23]",0.7331862215876219,7.854275499430408e-06,0.0,0.0,0.125,0.0,0.99,1,1,100,200,0.01,0.005,BEST,False,False,36,True,False,,,,SPC_MPOLY
BCIWLK[M][M],104,5,100,39,1.0,True,True,"[26, 7, 4, 22, 14, 6, 39, 23]",[],"[26.411174962579413, 7.039805619273174, 4.943961601255848, 22.39327272771275, 14.93526913322856, 6.180201831520721, 39.494671527281724, 23.360475364485982]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.713701693758146,,,,1028560896,2827812,,,,,,"[26, 6, 4, 22, 14, 6, 39, 22]",0.7344203024070384,1.990658197281725e-05,0.0,0.0,0.25,0.0,0.39,1,1,100,200,0.01,0.005,BEST,False,False,63,True,False,,,,SPC_MPOLY
BCFWRE[M],105,6,100,60,1.0,True,True,"[14, 7, 20, 38, 15, 38, 22, 23]",[],"[14.39184116830469, 7.070430030982728, 20.146014330397993, 38.169168306658065, 15.365666039044577, 38.87742417816029, 22.00023140182147, 23.497027011006825]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7141476944849809,,,,1330469888,2955940,,,,,,"[14, 6, 20, 38, 14, 38, 22, 23]",0.7340045949279714,-9.362903875431703e-06,0.125,0.375,0.25,0.0,0.6,3,3,100,200,0.03,0.015,BEST,False,False,56,True,False,,,,SPC_MPOLY
BYTNFT[M],106,7,100,97,1.0,True,True,"[0, 14, 4, 38, 46, 6, 17, 23]",[],"[0.8708178568542498, 14.84762981540693, 4.223183080486144, 38.39103869760225, 46.64113729335944, 6.285450340021109, 17.085223953226247, 23.76445122086407]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7162173411513053,,,,732755456,2603812,,,,,,"[0, 14, 4, 38, 46, 6, 17, 22]",0.7370753122111207,6.198288388548079e-06,0.0,0.875,0.125,0.0,0.97,1,3,100,200,0.01,0.015,BEST,False,False,19,True,False,,,,SPC_MPOLY
BDXLIK[M],107,8,100,100,1.0,True,True,"[5, 7, 4, 38, 46, 38, 22, 23]",[],"[5.383440434117142, 7.566454805821077, 4.354291725038917, 38.540319637925634, 46.6990246767685, 38.21841557445397, 22.274977831801053, 23.492880759376526]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7149608150762377,,,,1279472640,3508644,,,,,,"[5, 7, 4, 38, 46, 38, 22, 23]",0.7362611053092207,0.0002575287682181,0.125,0.125,0.0,0.125,1.0,3,3,100,200,0.03,0.015,BEST,False,False,37,True,False,,,,SPC_MPOLY
BPTBNM[M][M],108,9,100,71,1.0,True,True,"[14, 7, 15, 39, 28, 6, 39, 55]",[],"[14.018650564865032, 7.763316661469371, 15.043931857256199, 39.214459728514, 28.815996752024077, 6.269728022202409, 39.4276515645268, 55.394939443628445]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7197116885517278,,,,1798740992,5901604,,,,,,"[14, 7, 15, 39, 28, 6, 38, 55]",0.7361389496534495,1.1563572995143543e-05,0.0,0.0,0.125,0.0,0.71,2,0,100,200,0.02,0.0,BEST,False,False,5,True,False,,,,SPC_MPOLY
BXNMEW[M],109,10,100,86,1.0,True,True,"[3, 7, 32, 23, 46, 7, 39, 55]",[],"[3.5937323696335954, 7.081378102086687, 32.80374147884536, 23.119758242333624, 46.29789833165972, 7.15856940138094, 39.05089819620936, 55.09170112340351]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",SPC,MPOLY,,,,,0.7209559932684042,,,,1282198528,5825060,,,,,,"[3, 7, 32, 23, 46, 6, 39, 55]",0.737455476450229,5.663894024898752e-06,0.25,0.0,0.125,0.0,0.86,0,2,100,200,0.0,0.01,BEST,False,False,1,True,False,,,,SPC_MPOLY
