ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BRFZNZ[M],100,1,100,97,1.0,True,True,"[37, 30, 4, 38, 46, 6, 17, 23]",[],"[37.56273338011076, 30.225157117964017, 4.162268027840605, 38.956159670412255, 46.481344119769005, 6.630439981375511, 17.219452755163132, 23.321779330466192]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7252568524634685,,,,2185131520,3313316,,,,,,"[37, 30, 4, 38, 46, 6, 17, 23]",0.7441994064238386,6.591944742972977e-05,0.375,0.25,0.0,0.0,0.97,1,0,100,200,0.01,0.0,BEST,False,False,1,True,True,MARKOVCROSS,,,MARKOV_CROSS
BYUMWS,101,2,100,78,1.0,True,False,"[20, 7, 4, 38, 14, 15, 38, 39]",[],"[20.379627975061283, 7.6762026369453, 4.102913291401886, 38.90369566473623, 14.80178227954881, 15.756151806223112, 38.6389480892831, 39.28584957645577]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.714953019482888,,,,1155853312,3334436,,,,,,,0.73656599014911,0.0001163734006991,0.25,0.25,0.0,0.0,0.78,2,0,100,0,0.02,0.0,BEST,False,False,276,True,True,MARKOVCROSS,,,MARKOV_CROSS
BVDYFU,102,3,100,84,1.0,True,False,"[14, 12, 4, 22, 28, 6, 38, 23]",[],"[14.274937225538622, 12.767437887532655, 4.012524245715785, 22.05639694194965, 28.001740319359428, 6.860411912662472, 38.766018397362885, 23.56456326415821]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7138428840168681,,,,1022402560,2438436,,,,,,,0.7356334647209004,2.561176522819508e-05,0.125,0.125,0.0,0.0,0.84,2,0,100,0,0.02,0.0,BEST,False,False,361,True,True,MARKOVCROSS,,,MARKOV_CROSS
BZNZUZ[M],103,4,100,73,1.0,True,True,"[2, 30, 2, 38, 15, 22, 22, 39]",[],"[2.5794735130183213, 30.583187094466588, 2.911296921048544, 38.193612065070624, 15.70285305746008, 22.19474581457811, 22.28717323728939, 39.459584710774806]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.713241888558618,,,,966705152,2897572,,,,,,"[2, 30, 2, 38, 15, 22, 22, 39]",0.7344988384790622,-1.3555611029336667e-05,0.375,0.125,0.0,0.0,0.73,0,1,100,200,0.0,0.005,BEST,False,False,403,True,True,MARKOVCROSS,,,MARKOV_CROSS
BKQMAZ[M][M][M],104,5,100,98,1.0,True,True,"[14, 30, 23, 23, 28, 7, 28, 55]",[],"[14.677650146596024, 30.610845814624263, 23.24686742899733, 23.077782830289536, 28.29788113052066, 7.307560808852313, 28.80365431709377, 55.51906503570689]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7198934645215039,,,,2146713600,4975140,,,,,,"[14, 30, 23, 22, 28, 7, 28, 55]",0.7402222532949024,-8.98186687948721e-05,0.0,0.0,0.125,0.0,0.98,0,0,100,0,0.0,0.0,BEST,False,False,33,True,True,MARKOVCROSS,,,MARKOV_CROSS
BZUESM,105,6,100,64,1.0,True,False,"[2, 7, 4, 38, 46, 6, 38, 23]",[],"[2.747572728861922, 7.199623505339019, 4.286933537318333, 38.76555701444063, 46.710981129611596, 6.159596477611736, 38.13559177822954, 23.523762311156915]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7167975412769455,,,,1022218240,3258404,,,,,,,0.7379044109138407,-5.481676674690128e-06,0.5,0.125,0.0,0.0,0.64,0,0,100,200,0.0,0.0,BEST,False,False,163,True,True,MARKOVCROSS,,,MARKOV_CROSS
BDPULG,106,7,100,56,1.0,True,False,"[20, 46, 47, 38, 46, 30, 44, 23]",[],"[20.622667825416038, 46.84383734118861, 47.70206946897562, 38.19590530767111, 46.433223757335305, 30.4848711280011, 44.96896235394646, 23.594502331886407]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7191437771247151,,,,3080007680,6202660,,,,,,,0.7387624171329055,-6.764059737629502e-05,0.125,0.375,0.0,0.0,0.56,0,2,100,200,0.0,0.01,BEST,False,False,64,True,True,MARKOVCROSS,,,MARKOV_CROSS
BYLFNA,107,8,100,75,1.0,True,False,"[2, 7, 4, 38, 28, 38, 27, 39]",[],"[2.0485294593414887, 7.146142404440279, 4.934128905351061, 38.371186459075226, 28.45081877659749, 38.09365539422912, 27.114501951278648, 39.385579106044304]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7132322957282511,,,,987438080,3179428,,,,,,,0.7343632029663755,1.8858838238378084e-05,0.125,0.375,0.0,0.0,0.75,2,0,100,200,0.02,0.0,BEST,False,False,404,True,True,MARKOVCROSS,,,MARKOV_CROSS
BVEMZJ,108,9,100,67,1.0,True,False,"[14, 39, 15, 18, 46, 6, 55, 55]",[],"[14.553281070646305, 39.105781313033575, 15.826271225344138, 18.666732670602197, 46.194879691468294, 6.087627076399403, 55.62726527828685, 55.99464066865193]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7177422566895261,,,,3076469760,6975396,,,,,,,0.7374352699446372,0.0001128422715517,0.25,0.375,0.0,0.0,0.67,0,0,100,0,0.0,0.0,BEST,False,False,104,True,True,MARKOVCROSS,,,MARKOV_CROSS
BGCPS,109,10,100,88,1.0,True,False,"[2, 30, 38, 38, 47, 7, 27, 23]",[],"[2.6741595846921866, 30.083139148989684, 38.21049045254454, 38.6820914890131, 47.80739266989875, 7.602148185354384, 27.108258167065983, 23.991585846551196]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.715743861854229,,,,1475895296,4378660,,,,,,,0.7367076814769726,-2.982669418349904e-05,0.375,0.125,0.0,0.0,0.88,1,0,100,200,0.01,0.0,BEST,False,False,238,True,True,MARKOVCROSS,,,MARKOV_CROSS
