ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BSLWIW,0,1,100,12,1.0,True,False,"[20, 39, 4, 38, 45, 38, 55, 39]",[],"[20.394442361578598, 39.111162299296254, 4.245705542438855, 38.45098752460853, 45.215723354579964, 38.08106244053542, 55.05903572482176, 39.67180943479894]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7170928177315772,,,,2819417088,6682020,,,,,,,0.7263203471677555,1.9439449427949285e-05,0.25,0.125,0,0.0,0.12,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BBBHUA,1,2,100,7,1.0,True,False,"[2, 26, 26, 22, 46, 6, 55, 55]",[],"[2.1334053435493496, 26.322975344072866, 26.253281102077942, 22.585991246232073, 46.106419146144496, 6.813382155049508, 55.6903653123761, 55.8670741881737]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7125397217635261,,,,837014528,6254884,,,,,,,0.7209676680828913,4.936736495819716e-06,0.125,0.625,0,0.0,0.07,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BLHCSB,2,3,100,11,1.0,True,False,"[14, 32, 20, 22, 55, 38, 22, 55]",[],"[14.31944870739672, 32.97514590742633, 20.419622284787764, 22.913844048803803, 55.510942092271236, 38.20127067315914, 22.578533593607965, 55.718213966629435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7148221009864321,,,,1544908800,6149668,,,,,,,0.7239017618150057,2.017504822782179e-05,0.125,0.25,0,0.0,0.11,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BFZGWO,3,4,100,9,1.0,True,False,"[48, 18, 4, 38, 45, 22, 15, 4]",[],"[48.211215644471004, 18.438098791393486, 4.1787314587358395, 38.071632638820795, 45.598787157883365, 22.918715377457215, 15.846486837367538, 4.140322484917896]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7042022207473716,,,,1030816256,2767140,,,,,,,0.7153413328890224,-7.966861749197918e-06,0.125,0.125,0,0.0,0.09,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BFGTZP,4,5,100,25,1.0,True,False,"[28, 22, 4, 22, 46, 6, 39, 55]",[],"[28.911796266270645, 22.322990430892194, 4.436845067600523, 22.31968966354008, 46.39504749261598, 6.3033430557449535, 39.266378762564834, 55.5338394079647]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7189325389599498,,,,1260833792,5370916,,,,,,,0.732680141309724,-0.0001044608658119,0.625,0.125,0,0.0,0.25,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BRZLKG,5,6,100,11,1.0,True,False,"[20, 4, 4, 38, 52, 22, 13, 4]",[],"[20.642968591874254, 4.073904172458786, 4.930977221386907, 38.973368005292855, 52.03874557515988, 22.92503753789647, 13.505760822104024, 4.398719419222841]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7073327041553764,,,,802978304,2209828,,,,,,,0.7248707316207088,-3.854762983479532e-06,0.125,0.375,0,0.0,0.11,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BJQSRO,6,7,100,17,1.0,True,False,"[20, 7, 27, 38, 14, 22, 38, 55]",[],"[20.302075341989063, 7.899888724349466, 27.33411838779804, 38.10717319360033, 14.070578508137965, 22.737522820016974, 38.80009391557347, 55.44717722451405]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7120243580141883,,,,1344576512,4662052,,,,,,,0.7233085862790622,-9.233216041737436e-07,0.75,0.125,0,0.0,0.17,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BWCULE,7,8,100,10,1.0,True,False,"[37, 33, 4, 38, 14, 39, 44, 36]",[],"[37.64843980674758, 33.46978389185336, 4.281832455356611, 38.09173188107015, 14.190588999774041, 39.92793556235934, 44.34389043274288, 36.021227275264685]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7091714535934659,,,,1977716224,3899300,,,,,,,0.7204158100046582,-2.321614470668365e-06,0.125,0.125,0,0.0,0.1,1,0,100,0,0.01,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BYAXMV,8,9,100,14,1.0,True,False,"[14, 28, 20, 20, 28, 38, 54, 22]",[],"[14.751749972344752, 28.23725024413407, 20.851417814308807, 20.559281695607364, 28.73822673938588, 38.07449965992227, 54.860068518748534, 22.058243499782137]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.71297646244162,,,,1544019968,3135396,,,,,,,0.7231021960222919,6.870603071196246e-05,0.125,0.125,0,0.0,0.14,1,0,100,0,0.01,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
BPHFLL,9,10,100,11,1.0,True,False,"[14, 36, 18, 23, 22, 7, 13, 55]",[],"[14.978185824242557, 36.1945017078708, 18.294267054456814, 23.20793402957509, 22.428928059807873, 7.265093559934877, 13.936479484319102, 55.74283338801895]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7137987278524581,,,,1600525824,3975076,,,,,,,0.727344768977763,-1.805609527405494e-05,0.25,0.125,0,0.0,0.11,0,0,100,0,0.0,0,BEST,False,False,,True,True,GREEDY,,,GREEDY_HV_SELECTED
