Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,search_name,GOs_history,GOs_count
1,1,SBX,MPOLY,0.6555975556798929,0.020665977280660004,1292623886.08,840640976.4072666,2617175.2,1244233.9404530644,0.6772241678674429,0,0.18,0.22,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY']",{'SBX_MPOLY': 1}
1,2,SBX,MPOLY,0.6597863500185147,0.02106199100370577,984158749.44,611656579.2684265,2466919.84,1030182.6309186026,0.6905813098591699,0.013357141991726995,0.03,0.115,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 2}
1,3,SBX,MPOLY,0.6609538840507097,0.02602369733289797,925265022.72,624150015.1116635,2428268.96,1173375.0607355682,0.6945649544965471,0.003983644637377215,0.03,0.11,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 3}
1,4,SBX,MPOLY,0.6609989964502158,0.02824946321945995,693151319.04,464463292.6532782,2105102.24,1108859.5240623504,0.7007047258179431,0.0061397713213959815,0.03,0.14,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 4}
1,5,SBX,MPOLY,0.6630097489841056,0.026829688386592818,619537135.36,357107336.7820177,1882278.56,958845.3774539494,0.7107427127614728,0.010037986943529753,0.01,0.115,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 5}
1,6,SBX,MPOLY,0.6645613343077987,0.023255932602135404,543224602.88,288785656.1232297,1768350.88,912531.9299910256,0.7115364414306101,0.0007937286691372947,0.01,0.115,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 6}
1,7,SBX,MPOLY,0.6633846347269169,0.027466015562684153,535448398.08,289121702.4528807,1810373.28,1004120.4663312274,0.7143416702155849,0.0028052287849748003,0.04,0.115,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 7}
1,8,SBX,MPOLY,0.6622747118431417,0.02664597214593391,497629073.92,331935647.25225157,1676169.12,985211.3905748475,0.7157932989626554,0.0014516287470704992,0.0,0.12,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 8}
1,9,SBX,MPOLY,0.6582660166817519,0.02982023001752214,460589306.88,323787508.227474,1584372.64,964019.206569615,0.7173936517240146,0.0016003527613591695,0.0,0.135,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 9}
1,10,SBX,MPOLY,0.6574847775438643,0.027668621791750808,402854210.56,228754589.6006988,1483072.16,884047.6753120358,0.7179310598385122,0.0005374081144976506,0.0,0.115,GREEDY_MUT_SELECTED,"['SPC_MBFLIP', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 10}
