ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI,0,1,1,1,0.01,False,False,"[42, 39, 52, 23, 39, 5, 55, 26]",[],"[42.85687160505226, 39.484920257947685, 52.14397696045935, 23.84458507324274, 39.37015795513398, 5.677166045796787, 55.11575518181828, 26.32146801293041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6906463633910634,,,,3350196992,6227876,,,,,,,0.6769104808372503,0.0,0.0,0.0,0.0,0.0,0.01,0,10,0,100,0,0.1,BEST,False,False,276,True,True,GREEDY,,,GREEDY_ACC
BUEMRY,0,1,2,2,0.02,True,False,"[42, 39, 52, 23, 12, 43, 54, 21]",[],"[42.91719177398462, 39.485689178712015, 52.46657816224599, 23.09024445795116, 12.99409227022615, 43.705507828985915, 54.798356432247765, 21.82609036237024]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6959935264144309,,,,3253279232,4509348,,,,,,,0.6889319070238236,0.0021683909572014,0.5,0.5,0.0,0.5,0.02,0,4,0,100,0,0.04,BEST,False,False,250,True,True,GREEDY,,,GREEDY_ACC
BXRTBT[M],0,1,3,3,0.03,True,True,"[42, 39, 52, 23, 39, 62, 62, 14]",[],"[42.41005064206933, 39.62877587576879, 52.397378764847545, 23.9434016390655, 39.38295531808025, 62.88958384877258, 62.738993040070724, 14.349936471401358]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6983812121078493,,,,3617138176,8428196,,,,,,"[42, 39, 52, 23, 39, 62, 62, 13]",0.6851653072658613,-0.010098570943009,0.0,0.0,0.125,0.5,0.03,0,0,0,100,0,0.0,BEST,False,False,244,True,True,GREEDY,,,GREEDY_ACC
BBPFPQ,0,1,4,4,0.04,True,False,"[24, 13, 44, 38, 46, 6, 30, 22]",[],"[24.63681657123751, 13.671835666931138, 44.12414938430321, 38.74905711741142, 46.544977226838334, 6.501138338342317, 30.438999978577584, 22.375041522705164]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6996828688062567,,,,1217240064,3398308,,,,,,,0.6976350359956025,0.0001784723633143,0.75,0.25,0.0,1.0,0.04,0,0,0,100,0,0.0,BEST,False,False,233,True,True,GREEDY,,,GREEDY_ACC
BMQVZX,0,1,5,5,0.05,True,False,"[14, 4, 4, 22, 46, 5, 31, 22]",[],"[14.661209972242952, 4.371803057535637, 4.094785511835898, 22.792600442249213, 46.03369166815666, 5.491974529932217, 31.290992799631475, 22.635846185408294]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7014498740073041,,,,835476480,2766116,,,,,,,0.707947375161427,0.0023345202756097,0.5,0.5,0.0,0.75,0.05,0,0,0,100,0,0.0,BEST,False,False,214,True,True,GREEDY,,,GREEDY_ACC
BYIAOS[M],0,1,6,6,0.06,True,True,"[21, 11, 46, 38, 46, 5, 30, 22]",[],"[21.86016712918084, 11.372660280980382, 46.49024711672687, 38.78435666154971, 46.67394828473679, 5.751920362145567, 30.61966936606295, 22.48757478251836]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7053000850224171,,,,1560378368,3458852,,,,,,"[22, 10, 46, 38, 45, 6, 30, 22]",0.7082944302873471,-0.0031673645100592,0.0,0.0,0.5,0.625,0.06,0,0,0,100,0,0.0,BEST,False,False,184,True,True,GREEDY,,,GREEDY_ACC
BLCWAN,0,1,7,7,0.07,True,False,"[3, 28, 46, 38, 46, 5, 54, 22]",[],"[3.929107856232413, 28.725381465164922, 46.81176420850831, 38.997524180471785, 46.51893663989125, 5.32533473551773, 54.700218463076496, 22.189038919157742]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7097581261204704,,,,1376368640,4047396,,,,,,,0.7126908291799884,-0.000427205141988,0.375,0.625,0.0,0.375,0.07,0,0,0,100,0,0.0,BEST,False,False,134,True,True,GREEDY,,,GREEDY_ACC
BVMZWJ,0,1,8,8,0.08,True,False,"[21, 11, 46, 38, 46, 6, 31, 22]",[],"[21.450246734057455, 11.429572770745336, 46.52670365281214, 38.73249715546251, 46.22876803221684, 6.586963490850664, 31.75642157693023, 22.73867111924172]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7100662858755559,,,,1571724288,3897636,,,,,,,0.719644913003153,-0.0007573249507432,0.5,0.25,0.0,0.5,0.08,0,0,0,100,0,0.0,BEST,False,False,129,True,True,GREEDY,,,GREEDY_ACC
BOUTAQ,0,1,9,9,0.09,True,False,"[14, 27, 46, 22, 46, 6, 31, 22]",[],"[14.071963936027256, 27.558537957496743, 46.92290563827679, 22.65163066642814, 46.72593742304471, 6.9098184706913175, 31.294744901513244, 22.812822333825963]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7102177056074794,,,,1916230656,3844644,,,,,,,0.7204208707010784,-0.0002141935588293,0.25,0.375,0.0,0.375,0.09,0,0,0,100,0,0.0,BEST,False,False,127,True,True,GREEDY,,,GREEDY_ACC
BOUTAQ,0,1,10,9,0.1,True,False,"[14, 27, 46, 22, 46, 6, 31, 22]",[],"[14.071963936027256, 27.558537957496743, 46.92290563827679, 22.65163066642814, 46.72593742304471, 6.9098184706913175, 31.294744901513244, 22.812822333825963]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7102177056074794,,,,1916230656,3844644,,,,,,,0.7218679574439993,-0.0030585104853405,0.25,0.375,0.0,0.0,0.09,0,0,0,100,0,0.0,BEST,False,False,127,True,True,GREEDY,,,GREEDY_ACC
