ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BDZFVT,0,1,100,96,1.0,True,False,"[26, 28, 4, 23, 46, 6, 55, 22]",[],"[26.79934138588742, 28.17532277670366, 4.385604586242939, 23.880962286317473, 46.543696352148, 6.095190060765169, 55.09452483154575, 22.542407811282537]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7197021463743193,,,,1180678144,4694052,,,,,,,0.7366888532675844,-5.446706660072742e-05,0.25,0.125,0.0,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,8,True,True,GREEDY,,,GREEDY_ACC
BGOSEX[M][M],1,2,100,93,1.0,True,True,"[37, 6, 46, 23, 46, 6, 31, 31]",[],"[37.64966817540671, 6.219634260549304, 46.91485056223358, 23.52966009109705, 46.908675324370684, 6.277940557232693, 31.543973878563968, 31.645305128442764]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7173658597323558,,,,2295159808,5202980,,,,,,"[37, 5, 47, 23, 46, 6, 31, 31]",0.7310509075727605,-6.306881707118794e-05,0.0,0.0,0.25,0.0,0.93,0,0,0,100,0,0.0,BEST,False,False,29,True,True,GREEDY,,,GREEDY_ACC
BBTWGX,2,3,100,73,1.0,True,False,"[28, 36, 15, 38, 62, 54, 60, 31]",[],"[28.283324334373457, 36.32023465966499, 15.768784809325776, 38.900781942006056, 62.956383298058455, 54.74606585844063, 60.41387291996585, 31.765279088642465]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7137568905620382,,,,1950025728,7362724,,,,,,,0.7314093578253087,-8.143115955772107e-05,0.75,0.125,0.0,0.0,0.73,0,0,0,100,0,0.0,BEST,False,False,78,True,True,GREEDY,,,GREEDY_ACC
BIJJMR[M][M][M][M],3,4,100,94,1.0,True,True,"[3, 20, 60, 23, 46, 22, 38, 55]",[],"[3.6579135448355418, 20.566205236578096, 60.05959347529138, 23.443961644466487, 46.81416235815112, 22.70808178995256, 38.6657878436987, 55.25949600154666]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7167412887051676,,,,1464980480,6042788,,,,,,"[3, 20, 60, 23, 46, 22, 39, 55]",0.7333257214616478,-3.021150713711229e-05,0.0,0.0,0.125,0.0,0.94,0,0,0,100,0,0.0,BEST,False,False,40,True,True,GREEDY,,,GREEDY_ACC
BSJWMH,4,5,100,93,1.0,True,False,"[14, 7, 15, 38, 47, 7, 7, 39]",[],"[14.914463733287777, 7.262449582377442, 15.308026828304293, 38.02438622186834, 47.3968083609455, 7.364767818636804, 7.494707673103245, 39.94924824963272]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7179119128843305,,,,1637303808,4750500,,,,,,,0.7329141035591941,-0.0001163199881869,0.25,0.625,0.0,0.0,0.93,0,0,0,100,0,0.0,BEST,False,False,22,True,True,GREEDY,,,GREEDY_ACC
BXBLKE,5,6,100,54,1.0,True,False,"[14, 33, 20, 38, 14, 39, 63, 23]",[],"[14.071828280657295, 33.208407143790716, 20.689199207314733, 38.29318415724389, 14.087551616247087, 39.85468375842514, 63.64796776405725, 23.952761381920283]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7110356157301275,,,,1651873792,6321060,,,,,,,0.7296065385260296,-1.779233076648623e-05,0.125,0.125,0.0,0.0,0.54,0,0,0,100,0,0.0,BEST,False,False,114,True,True,GREEDY,,,GREEDY_ACC
BPBPYL,6,7,100,99,1.0,True,False,"[22, 7, 46, 39, 46, 6, 39, 62]",[],"[22.480370102092827, 7.0573245252157015, 46.315408166021655, 39.704393803577354, 46.36413677099843, 6.195374085890177, 39.116706045688304, 62.2692433005339]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7186405244117158,,,,2366893056,7334436,,,,,,,0.7308540475220093,-0.001951086150791,0.125,0.875,0.0,0.0,0.99,0,0,0,100,0,0.0,BEST,False,False,17,True,True,GREEDY,,,GREEDY_ACC
BBOQBK,7,8,100,97,1.0,True,False,"[14, 12, 15, 23, 46, 6, 11, 55]",[],"[14.042223998725099, 12.16304082769775, 15.485448912112767, 23.136486374111364, 46.46598101127675, 6.491191586363909, 11.21242559054835, 55.58498540204198]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7150116062352787,,,,1428222464,4571300,,,,,,,0.7195450136621051,-5.401584773578882e-06,0.25,0.5,0.0,0.0,0.97,0,0,0,100,0,0.0,BEST,False,False,55,True,True,GREEDY,,,GREEDY_ACC
BECMAC,8,9,100,96,1.0,True,False,"[14, 6, 15, 23, 55, 7, 47, 55]",[],"[14.336077916205724, 6.160261625985669, 15.254082407402725, 23.132085987733436, 55.983212998101564, 7.835233842287252, 47.998919973104364, 55.27497175314173]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7267907922385634,,,,1506733056,7651620,,,,,,,0.7420658820210835,-1.2081914560924112e-05,0.125,0.125,0.0,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_ACC
BLWVAU,9,10,100,50,1.0,True,False,"[37, 30, 15, 38, 28, 14, 55, 23]",[],"[37.52633921544455, 30.385259286432156, 15.587511142869902, 38.427640652330645, 28.6103383630982, 14.027943631664414, 55.44413399400298, 23.722857396614344]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7188430681101909,,,,2405861376,5317668,,,,,,,0.7347165644758381,-6.0393129490021735e-05,0.375,0.125,0.0,0.0,0.5,0,0,0,100,0,0.0,BEST,False,False,16,True,True,GREEDY,,,GREEDY_ACC
