counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,64,17,46,8,11,55,11,2,44,12,3,32,6,4
NONE_MPOLY,15,16,18,8,13,36,10,4,14,16,3,6,8,4
SBX_MNUF,46,18,43,9,9,60,6,4,42,4,1,26,4,3
SBX_MPOLY,8,9,12,6,3,10,2,5,5,1,0,5,6,2
SBX_NONE,18,15,13,5,49,24,9,3,17,9,11,10,6,8
SPC_MNUF,61,35,49,18,14,336,16,5,141,18,3,75,15,4
SPC_MPOLY,4,7,4,4,14,20,3,3,5,2,2,6,3,1
SPC_NONE,4,8,3,2,17,3,4,13,3,2,22,0,2,6
TPC_MNUF,51,17,45,9,16,136,4,6,69,4,1,38,5,2
TPC_MPOLY,3,11,5,1,8,20,2,5,8,4,5,5,8,5
TPC_NONE,2,5,2,0,21,4,4,19,1,7,14,1,4,10
UC_MNUF,37,9,28,3,9,65,2,0,48,3,4,35,2,2
UC_MPOLY,6,8,5,2,4,18,3,3,4,5,3,7,4,3
UC_NONE,1,2,2,0,10,4,1,12,2,0,15,2,4,17
