ACC,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.203175,0.053968,0.146032,0.025397,0.034921,0.174603,0.034921,0.006349,0.139683,0.038095,0.009524,0.101587,0.019048,0.012698
NONE_MPOLY,0.087719,0.093567,0.105263,0.046784,0.076023,0.210526,0.058480,0.023392,0.081871,0.093567,0.017544,0.035088,0.046784,0.023392
SBX_MNUF,0.167273,0.065455,0.156364,0.032727,0.032727,0.218182,0.021818,0.014545,0.152727,0.014545,0.003636,0.094545,0.014545,0.010909
SBX_MPOLY,0.108108,0.121622,0.162162,0.081081,0.040541,0.135135,0.027027,0.067568,0.067568,0.013514,0.000000,0.067568,0.081081,0.027027
SBX_NONE,0.091371,0.076142,0.065990,0.025381,0.248731,0.121827,0.045685,0.015228,0.086294,0.045685,0.055838,0.050761,0.030457,0.040609
SPC_MNUF,0.077215,0.044304,0.062025,0.022785,0.017722,0.425316,0.020253,0.006329,0.178481,0.022785,0.003797,0.094937,0.018987,0.005063
SPC_MPOLY,0.051282,0.089744,0.051282,0.051282,0.179487,0.256410,0.038462,0.038462,0.064103,0.025641,0.025641,0.076923,0.038462,0.012821
SPC_NONE,0.044944,0.089888,0.033708,0.022472,0.191011,0.033708,0.044944,0.146067,0.033708,0.022472,0.247191,0.000000,0.022472,0.067416
TPC_MNUF,0.126551,0.042184,0.111663,0.022333,0.039702,0.337469,0.009926,0.014888,0.171216,0.009926,0.002481,0.094293,0.012407,0.004963
TPC_MPOLY,0.033333,0.122222,0.055556,0.011111,0.088889,0.222222,0.022222,0.055556,0.088889,0.044444,0.055556,0.055556,0.088889,0.055556
TPC_NONE,0.021277,0.053191,0.021277,0.000000,0.223404,0.042553,0.042553,0.202128,0.010638,0.074468,0.148936,0.010638,0.042553,0.106383
UC_MNUF,0.149798,0.036437,0.113360,0.012146,0.036437,0.263158,0.008097,0.000000,0.194332,0.012146,0.016194,0.141700,0.008097,0.008097
UC_MPOLY,0.080000,0.106667,0.066667,0.026667,0.053333,0.240000,0.040000,0.040000,0.053333,0.066667,0.040000,0.093333,0.053333,0.040000
UC_NONE,0.013889,0.027778,0.027778,0.000000,0.138889,0.055556,0.013889,0.166667,0.027778,0.000000,0.208333,0.027778,0.055556,0.236111
