ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[3, 26, 42, 38, 45, 5, 30, 21]",[],"[3.207388611076173, 26.04679301295525, 42.98262933852949, 38.0523674235775, 45.94306151861965, 5.984493274780351, 30.05006489978397, 21.7903478278394]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6922287856289087,,,,963341824,2950436,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6737856223900255,0.0,0.0,0.0,0.625,0.0,0.01,14,0,100,0,0.14,0,BEST,False,False,355,True,True,GREEDY,,,GREEDY_CROSS
BLOKUN[M][M],0,1,2,2,0.02,True,True,"[2, 26, 43, 37, 45, 6, 31, 22]",[],"[2.2431665962268488, 26.836961235728673, 43.28253779688031, 37.5866457238246, 45.56490879660621, 6.882344650376894, 31.4787144813965, 22.03297897581049]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.6953850219979263,,,,978893824,3148068,,,,,,"[3, 26, 42, 38, 45, 5, 30, 21]",0.704156199279951,0.0094561752606218,0.0,0.0,0.75,0.75,0.02,5,0,100,0,0.05,0,BEST,False,False,342,True,True,GREEDY,,,GREEDY_CROSS
BHJQH[M],0,1,3,3,0.03,True,True,"[21, 24, 46, 38, 52, 6, 45, 23]",[],"[21.09832374194393, 24.555895781944265, 46.62175800332715, 38.287734183828334, 52.06995491426822, 6.621063726691438, 45.003448854193714, 23.12760355218836]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7034212369743926,,,,1646823424,4196388,,,,,,"[21, 25, 45, 38, 53, 6, 44, 23]",0.6973066823404568,-0.002055402900404,0.25,0.75,0.5,0.875,0.03,0,0,100,0,0.0,0,BEST,False,False,269,True,True,GREEDY,,,GREEDY_CROSS
BHJQH[M],0,1,4,3,0.04,True,True,"[21, 24, 46, 38, 52, 6, 45, 23]",[],"[21.09832374194393, 24.555895781944265, 46.62175800332715, 38.287734183828334, 52.06995491426822, 6.621063726691438, 45.003448854193714, 23.12760355218836]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7034212369743926,,,,1646823424,4196388,,,,,,"[21, 25, 45, 38, 53, 6, 44, 23]",0.7075048719432049,8.135803446884804e-05,0.25,0.75,0.5,0.0,0.03,4,0,100,0,0.04,0,BEST,False,False,269,True,True,GREEDY,,,GREEDY_CROSS
BHJQH[M],0,1,5,3,0.05,True,True,"[21, 24, 46, 38, 52, 6, 45, 23]",[],"[21.09832374194393, 24.555895781944265, 46.62175800332715, 38.287734183828334, 52.06995491426822, 6.621063726691438, 45.003448854193714, 23.12760355218836]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7034212369743926,,,,1646823424,4196388,,,,,,"[21, 25, 45, 38, 53, 6, 44, 23]",0.7106410580114823,-0.0007962922593995,0.25,0.75,0.5,0.0,0.03,1,0,100,0,0.01,0,BEST,False,False,269,True,True,GREEDY,,,GREEDY_CROSS
BLOKUN[M][M][M],0,1,6,6,0.06,True,True,"[2, 23, 44, 38, 44, 6, 31, 23]",[],"[2.8438827630676413, 23.531544674779276, 44.892448082753184, 38.15371767358755, 44.16219628994821, 6.171576922916422, 31.586333817935113, 23.227714569299135]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7040626808932302,,,,1901689856,4382500,,,,,,"[2, 24, 44, 37, 45, 6, 31, 22]",0.7125596832418233,-0.0015262602689507,0.0,0.0,0.5,0.625,0.06,3,0,100,0,0.03,0,BEST,False,False,258,True,True,GREEDY,,,GREEDY_CROSS
BFRCYB[M],0,1,7,7,0.07,True,True,"[22, 24, 46, 38, 46, 6, 54, 37]",[],"[22.74210925269153, 24.090683263140626, 46.60329967103186, 38.004993063897906, 46.29474175682913, 6.591185820213238, 54.89938595157403, 37.50015906685263]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7060885289614018,,,,1989033472,4770596,,,,,,"[21, 24, 46, 38, 46, 6, 54, 37]",0.7176139199760999,0.0041378819860795,0.375,0.5,0.125,0.75,0.07,3,0,100,0,0.03,0,BEST,False,False,232,True,True,GREEDY,,,GREEDY_CROSS
BFRCYB[M][M],0,1,8,8,0.08,True,True,"[22, 23, 47, 38, 47, 7, 54, 36]",[],"[22.866996146554083, 23.40499292022829, 47.11963069305549, 38.55424140996165, 47.81826218843887, 7.537027960049954, 54.882902296794384, 36.89725552517416]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7102060764633077,,,,2966273536,6534820,,,,,,"[22, 24, 46, 38, 46, 6, 54, 37]",0.7183771104317642,4.575653592353568e-05,0.0,0.0,0.625,0.625,0.08,0,0,100,0,0.0,0,BEST,False,False,164,True,True,GREEDY,,,GREEDY_CROSS
BFRCYB[M][M],0,1,9,8,0.09,True,True,"[22, 23, 47, 38, 47, 7, 54, 36]",[],"[22.866996146554083, 23.40499292022829, 47.11963069305549, 38.55424140996165, 47.81826218843887, 7.537027960049954, 54.882902296794384, 36.89725552517416]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7102060764633077,,,,2966273536,6534820,,,,,,"[22, 24, 46, 38, 46, 6, 54, 37]",0.7220120557343919,-0.000664344117319,0.0,0.0,0.625,0.0,0.08,0,0,100,0,0.0,0,BEST,False,False,164,True,True,GREEDY,,,GREEDY_CROSS
BFRCYB[M][M],0,1,10,8,0.1,True,True,"[22, 23, 47, 38, 47, 7, 54, 36]",[],"[22.866996146554083, 23.40499292022829, 47.11963069305549, 38.55424140996165, 47.81826218843887, 7.537027960049954, 54.882902296794384, 36.89725552517416]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7102060764633077,,,,2966273536,6534820,,,,,,"[22, 24, 46, 38, 46, 6, 54, 37]",0.7237807842667887,0.0013274632016627,0.0,0.0,0.625,0.0,0.08,2,0,100,0,0.02,0,BEST,False,False,164,True,True,GREEDY,,,GREEDY_CROSS
