ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BUMTT[M][M][M],0,1,100,30,1.0,True,True,"[3, 26, 4, 38, 46, 6, 17, 23]",[],"[3.447699922557712, 26.356743941286823, 4.566564808790493, 38.19257383364702, 46.19673262040708, 6.1459584933415075, 17.14707742159416, 23.619417812117465]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7175272836776637,,,,870774272,2629924,,,,,,"[4, 26, 4, 38, 46, 5, 17, 23]",0.7373160365919974,-6.468637970824531e-06,0.0,0.0,0.25,0.0,0.3,0,0,100,0,0.0,0,BEST,False,False,18,True,True,GREEDY,,,GREEDY_CROSS
BAOPVN[M],1,2,100,43,1.0,True,True,"[2, 10, 15, 38, 46, 6, 47, 23]",[],"[2.6752031262416884, 10.927757303138565, 15.051972749513407, 38.06825644195114, 46.704066295511986, 6.530954247687777, 47.980812400338834, 23.011525168843608]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7139028526929763,,,,889540608,4445988,,,,,,"[2, 10, 15, 38, 46, 6, 47, 23]",0.7351476752121537,2.6815390091750047e-06,0.25,0.375,0.0,0.0,0.43,0,0,100,0,0.0,0,BEST,False,False,81,True,True,GREEDY,,,GREEDY_CROSS
BATJBD[M],2,3,100,60,1.0,True,True,"[2, 7, 0, 6, 46, 6, 39, 23]",[],"[2.9652841526391316, 7.808525511413736, 0.11674778550807063, 6.121879827028292, 46.776482914208756, 6.816705240403137, 39.02415579605615, 23.928746629248895]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7159200108770607,,,,840568832,3394852,,,,,,"[3, 8, 0, 6, 46, 6, 39, 23]",0.7364153095938916,-8.225677536333187e-06,0.125,0.25,0.25,0.0,0.6,0,0,100,0,0.0,0,BEST,False,False,47,True,True,GREEDY,,,GREEDY_CROSS
BNRWLC[M],3,4,100,94,1.0,True,True,"[2, 11, 4, 38, 60, 6, 17, 15]",[],"[2.7478948809001844, 11.390775762712478, 4.9570661562055855, 38.36899062380519, 60.92013505939798, 6.768012326795184, 17.345481133151843, 15.024616238211243]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7103558106037505,,,,821816320,3144740,,,,,,"[2, 11, 4, 38, 60, 6, 17, 15]",0.7323479378786991,1.9594453287696822e-06,0.25,0.125,0.0,0.0,0.94,0,0,100,0,0.0,0,BEST,False,False,158,True,True,GREEDY,,,GREEDY_CROSS
BZPSI[M][M],4,5,100,95,1.0,True,True,"[14, 7, 4, 22, 28, 6, 39, 55]",[],"[14.509778045964017, 7.346167937386602, 4.016275385426201, 22.631767002015753, 28.897302360482996, 6.553711571606408, 39.15676531293292, 55.441047269091875]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7162855854922259,,,,1188224000,4708900,,,,,,"[14, 7, 4, 23, 28, 6, 39, 55]",0.7364738240528194,-6.16340514658642e-06,0.0,0.0,0.125,0.0,0.95,0,0,100,0,0.0,0,BEST,False,False,43,True,True,GREEDY,,,GREEDY_CROSS
BOLMIQ[M][M][M][M],5,6,100,59,1.0,True,True,"[26, 12, 4, 38, 22, 6, 17, 23]",[],"[26.891550112482392, 12.61469631873675, 4.47095104728796, 38.172535468467444, 22.131435341419266, 6.4499354607425525, 17.409546271348994, 23.446339943586054]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7129408065605362,,,,813671936,1847588,,,,,,"[26, 12, 4, 38, 21, 6, 17, 23]",0.7346605687066395,-4.01808089611766e-06,0.0,0.0,0.125,0.0,0.59,0,0,100,0,0.0,0,BEST,False,False,103,True,True,GREEDY,,,GREEDY_CROSS
BHOKZP[M],6,7,100,86,1.0,True,True,"[12, 5, 4, 38, 46, 6, 17, 23]",[],"[12.472418439141222, 5.5773757752308954, 4.020933371857852, 38.802440233311074, 46.885417113661966, 6.344765122817871, 17.47527821855365, 23.60164230958823]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7172907814324069,,,,918713856,2667172,,,,,,"[12, 4, 4, 38, 46, 6, 17, 23]",0.7377535811543539,-6.094263315392645e-05,0.5,0.25,0.125,0.0,0.86,0,0,100,0,0.0,0,BEST,False,False,23,True,True,GREEDY,,,GREEDY_CROSS
BTTCBW[M][M],7,8,100,88,1.0,True,True,"[14, 7, 4, 38, 28, 22, 22, 23]",[],"[14.398379089124425, 7.035294062290804, 4.118056568960306, 38.16474685450351, 28.61223625856482, 22.753637549130996, 22.209501743723468, 23.901553523488257]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7139401437913614,,,,1236005888,2549668,,,,,,"[14, 6, 4, 38, 28, 22, 22, 23]",0.7344064480877801,-3.2524155479940475e-08,0.0,0.0,0.125,0.0,0.88,0,0,100,0,0.0,0,BEST,False,False,80,True,True,GREEDY,,,GREEDY_CROSS
BYLFAB[M],8,9,100,83,1.0,True,True,"[22, 6, 27, 38, 46, 38, 55, 31]",[],"[22.344761170097573, 6.117541238490947, 27.801777529409183, 38.655961786061745, 46.541994645656686, 38.56542892254179, 55.62843207514971, 31.33250171348699]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7200943093943865,,,,1455378432,6002340,,,,,,"[22, 6, 27, 38, 46, 38, 55, 31]",0.7386962571307781,0.0010532354675315,0.5,0.125,0.0,0.0,0.83,0,0,100,0,0.0,0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_CROSS
BGZBRT[M][M][M],9,10,100,93,1.0,True,True,"[20, 28, 20, 3, 46, 6, 13, 55]",[],"[20.19241715788113, 28.254399910804064, 20.708675597869696, 3.4702515235576015, 46.669740159382776, 6.892245571353965, 13.584645269724282, 55.28028606072514]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7189838252581101,,,,1079232000,3548068,,,,,,"[20, 28, 20, 3, 46, 7, 13, 55]",0.737966807995951,-2.799899928573879e-06,0.0,0.0,0.125,0.0,0.93,0,0,100,0,0.0,0,BEST,False,False,11,True,True,GREEDY,,,GREEDY_CROSS
