ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BHUDDI[M],0,1,1,1,0.01,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6737856223900255,0.0,0.0,0.0,0.875,0.0,0.01,14,0,100,0,0.14,0,BEST,False,False,235,True,True,GREEDY,,,GREEDY_CROSS
BHUDDI[M],0,1,2,1,0.02,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.6843941539721631,-0.013139306193186,0.0,0.0,0.875,0.0,0.01,6,0,100,0,0.06,0,BEST,False,False,235,True,True,GREEDY,,,GREEDY_CROSS
BHUDDI[M],0,1,3,1,0.03,True,True,"[7, 50, 52, 38, 13, 6, 37, 39]",[],"[7.465839277013956, 50.22656382036588, 52.74801822753073, 38.81645379877505, 13.298655410338853, 6.0479121283298065, 37.648569028432725, 39.383327795920835]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.699201267448079,,,,2535883776,3971748,,,,,,"[42, 39, 52, 23, 39, 5, 55, 26]",0.7035586616138421,0.0063099343226469,0.0,0.0,0.875,0.0,0.01,5,0,100,0,0.05,0,BEST,False,False,235,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,4,4,0.04,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7031312767721124,-1.020103215243484e-05,0.0,0.0,1.0,0.875,0.04,2,0,100,0,0.02,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,5,4,0.05,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7047095361676994,-0.0051140992461778,0.0,0.0,1.0,0.0,0.04,1,0,100,0,0.01,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,6,4,0.06,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7052638321213355,-0.0011415165529351,0.0,0.0,1.0,0.0,0.04,3,0,100,0,0.03,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,7,4,0.07,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7072149831062229,0.0019813743809303,0.0,0.0,1.0,0.0,0.04,2,0,100,0,0.02,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,8,4,0.08,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7132388471445207,0.0001554616069836,0.0,0.0,1.0,0.0,0.04,2,0,100,0,0.02,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,9,4,0.09,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.7141977830224697,0.0009877835396763,0.0,0.0,1.0,0.0,0.04,0,0,100,0,0.0,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
BXLDUX[M][M],0,1,10,4,0.1,True,True,"[37, 8, 46, 8, 14, 6, 53, 55]",[],"[37.993375839306374, 8.70975018919076, 46.75609961497357, 8.300714281692361, 14.187633321094708, 6.196377369952048, 53.50146419662347, 55.34514519738157]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7018517539794431,,,,1676620800,4832036,,,,,,"[45, 15, 3, 19, 45, 7, 11, 54]",0.713280079303994,6.764735668740585e-05,0.0,0.0,1.0,0.0,0.04,1,0,100,0,0.01,0,BEST,False,False,203,True,True,GREEDY,,,GREEDY_CROSS
