ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BUKNXZ[M],0,1,100,98,1.0,True,True,"[0, 36, 4, 38, 28, 6, 38, 23]",[],"[0.5643362084784472, 36.80275686294734, 4.700879018293452, 38.45915377054616, 28.592297386828186, 6.53232613858957, 38.27760947464971, 23.913976960473306]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7128647352822485,,,,818405376,2504740,,,,,,"[0, 36, 4, 38, 28, 6, 38, 23]",0.7329120041631493,5.025146809667369e-06,0.375,0.125,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,53,True,True,GREEDY,,,GREEDY_CROSS
BMANOW[M],1,2,100,98,1.0,True,True,"[13, 7, 4, 38, 46, 6, 22, 23]",[],"[13.387907108214874, 7.422000282634103, 4.794638747869001, 38.58420627613417, 46.89261226633506, 6.3564928311372375, 22.868160679697734, 23.54547182441465]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7143302150666945,,,,1289927680,3098660,,,,,,"[13, 7, 4, 38, 46, 6, 22, 23]",0.7334686604508736,-1.4276055171347224e-07,0.125,0.25,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,37,True,True,GREEDY,,,GREEDY_CROSS
BVPUWF[M][M],2,3,100,97,1.0,True,True,"[3, 4, 4, 38, 28, 6, 17, 23]",[],"[3.6006238662087826, 4.401275613473804, 4.084790226767526, 38.73427222712324, 28.8101936906019, 6.456545741987786, 17.996878718739787, 23.766135135537617]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7117908674807122,,,,623150592,1896100,,,,,,"[3, 4, 4, 38, 28, 6, 18, 23]",0.7318155350885006,-0.0004040330094429,0.0,0.0,0.125,0.0,0.97,0,0,100,0,0.0,0,BEST,False,False,67,True,True,GREEDY,,,GREEDY_CROSS
BNWYLT[M],3,4,100,100,1.0,True,True,"[14, 7, 2, 38, 47, 7, 38, 39]",[],"[14.29033055150464, 7.056153992771404, 2.046862316448901, 38.69449452633536, 47.16525071199205, 7.045848634597679, 38.07562095882422, 39.70471277511328]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7185017611332796,,,,1371251712,4522788,,,,,,"[14, 7, 2, 38, 47, 7, 38, 39]",0.7366162231506166,-0.0003243309148345,0.375,0.625,0.0,0.625,1.0,0,0,100,0,0.0,0,BEST,False,False,5,True,True,GREEDY,,,GREEDY_CROSS
BSLLBM[M][M][M][M][M][M],4,5,100,88,1.0,True,True,"[20, 23, 33, 23, 46, 7, 22, 55]",[],"[20.58468375522947, 23.259591282619787, 33.929621880379365, 23.24087111237589, 46.78457360216823, 7.220552683154535, 22.5634404741255, 55.20573008709324]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7168059735091141,,,,1906751488,5372708,,,,,,"[21, 22, 34, 23, 47, 7, 23, 55]",0.7360128995948874,-0.0004150613422468,0.0,0.0,0.625,0.0,0.88,0,0,100,0,0.0,0,BEST,False,False,14,True,True,GREEDY,,,GREEDY_CROSS
BFSPJQ[M],5,6,100,100,1.0,True,True,"[5, 0, 38, 23, 46, 7, 31, 55]",[],"[5.296956207705721, 0.07421733222359539, 38.34560054803385, 23.484968900154847, 46.32480476245001, 7.3697889673792245, 31.07227506844083, 55.013398637320876]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7171735776619421,,,,1079416832,5533220,,,,,,"[5, 0, 38, 23, 46, 7, 31, 55]",0.7354697237114117,-0.0003665893889474,0.125,0.25,0.0,0.5,1.0,0,0,100,0,0.0,0,BEST,False,False,12,True,True,GREEDY,,,GREEDY_CROSS
BQAODX[M][M],6,7,100,92,1.0,True,True,"[2, 7, 4, 38, 28, 6, 17, 55]",[],"[2.9210614471990697, 7.889498128347033, 4.701128165436863, 38.96346428628438, 28.83054779394363, 6.9154134230367275, 17.958921404532056, 55.216660212009984]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7134307443783409,,,,961135104,3353508,,,,,,"[2, 6, 4, 38, 28, 6, 17, 55]",0.7334298138795218,0.0004045170495858,0.0,0.0,0.125,0.0,0.92,1,0,100,0,0.01,0,BEST,False,False,46,True,True,GREEDY,,,GREEDY_CROSS
BKZCP[M],7,8,100,94,1.0,True,True,"[21, 7, 4, 23, 46, 7, 22, 55]",[],"[21.728846424805532, 7.940286792049204, 4.38671485598677, 23.19927479035927, 46.61141984059305, 7.013408950526698, 22.429744700919816, 55.21955505903041]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7154420166424467,,,,1561606144,5030564,,,,,,"[21, 7, 4, 22, 46, 6, 22, 55]",0.7337532929599586,-1.819481509235388e-06,0.125,0.125,0.25,0.0,0.94,0,0,100,0,0.0,0,BEST,False,False,30,True,True,GREEDY,,,GREEDY_CROSS
BNHXRB[M],8,9,100,98,1.0,True,True,"[0, 7, 15, 38, 46, 6, 22, 23]",[],"[0.3824878035720344, 7.737625074705752, 15.609862957431652, 38.05128119952107, 46.653328222922916, 6.697973020464723, 22.441858091806896, 23.714283847144134]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7146338658212419,,,,1203616768,3391652,,,,,,"[0, 7, 15, 38, 46, 6, 22, 23]",0.7347386182420593,-2.799733086700229e-06,0.125,0.375,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,35,True,True,GREEDY,,,GREEDY_CROSS
BLSJSI[M],9,10,100,99,1.0,True,True,"[2, 39, 15, 23, 46, 7, 28, 55]",[],"[2.8313588289894276, 39.824211828464314, 15.486215488852979, 23.549038049266066, 46.96656239200184, 7.5532301180523955, 28.094470232184836, 55.9280751162078]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7200789737767093,,,,2663550976,5743268,,,,,,"[2, 39, 15, 23, 46, 7, 28, 55]",0.7368824066268375,-0.0002881602575396,0.375,0.5,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,2,True,True,GREEDY,,,GREEDY_CROSS
