Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,UC,NONE,0.6625973888362678,0.01610853949256359,1799499907.84,1384110420.836707,3103980.96,1655466.153878079,0.6801071036458163,0,0.29,0,7.702828282828283,GREEDY_CROSS,['UC_NONE'],{'UC_NONE': 1}
1,2,UC,NONE,0.6648461114373986,0.017636058440358874,1028806798.08,616251747.165275,2511298.72,1210123.042301386,0.6891640898255543,0.009056986179738047,0.11,0,7.44989898989899,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF']","{'UC_NONE': 1, 'TPC_MNUF': 1}"
1,3,UC,NONE,0.6656491812926327,0.020831335815252056,795492229.12,389420925.89240515,2033698.72,1120967.5691841054,0.7046400814356242,0.01547599161006985,0.14,0,7.091717171717172,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 1}"
1,4,UC,NONE,0.6763922826336594,0.018694666242510566,787186583.04,463286003.8970323,2249916.32,1299824.4167662251,0.7066710504961982,0.002030969060573984,0.13,0,6.654747474747475,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 1, 'SPC_MPOLY': 1}"
1,5,UC,NONE,0.6704747174815553,0.024107933585349968,569586081.28,278909836.03469974,1786082.72,1031790.5647148177,0.7095859746929859,0.002914924196787738,0.08,0,6.348888888888889,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 1, 'SPC_MPOLY': 2}"
1,6,UC,NONE,0.6753816709301868,0.02422016366855669,588513914.88,254275055.3296625,1879206.56,1107385.9321309105,0.7126596784530598,0.003073703760073876,0.05,0,6.1878787878787875,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 1, 'SPC_MPOLY': 3}"
1,7,UC,NONE,0.6777925065994137,0.02087324620454974,545797770.24,235922593.43795627,1667086.24,1019019.4231529558,0.7130734642507313,0.00041378579767148427,0.03,0,6.082626262626262,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 1, 'SPC_MPOLY': 4}"
1,8,UC,NONE,0.6789444138829548,0.022171924509851792,566230243.84,253437474.21472487,1621280.16,1067978.9566816636,0.7147207594571152,0.0016472952063839585,0.07,0,5.857171717171717,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 4}"
1,9,UC,NONE,0.6810211294637282,0.020434362934676365,558127447.04,260743305.47111076,1604175.52,1042928.2097922986,0.7169221622816006,0.0022014028244853323,0.02,0,5.589090909090909,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF', 'SPC_MPOLY']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 5}"
1,10,UC,NONE,0.6810232937359955,0.02225352954774789,544667776.0,242782520.72058952,1640573.6,1094657.409241375,0.7185910088884402,0.0016688466068396357,0.04,0,5.52989898989899,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MNUF']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 5, 'SPC_MNUF': 1}"
1,11,UC,NONE,0.6812896056613996,0.021030931029253092,511542712.32,246560956.57027635,1485728.16,874894.5606897175,0.7201571172518723,0.0015661083634320727,0.05,0,5.276565656565657,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MNUF', 'SPC_MNUF']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 5, 'SPC_MNUF': 2}"
1,12,UC,NONE,0.6821234634100338,0.02213480525802129,524568087.04,260671674.38773888,1528910.24,960088.3654358187,0.720279674330238,0.00012255707836572594,0.01,0,5.217171717171717,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 5, 'SPC_MNUF': 2, 'TPC_NONE': 1}"
1,13,UC,NONE,0.6825802246997865,0.02268150474502774,508169451.52,251730092.8670744,1560464.8,984539.9054642329,0.7206075371589008,0.00032786282866281713,0.02,0,5.0741414141414145,GREEDY_CROSS,"['UC_NONE', 'TPC_MNUF', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MNUF', 'SPC_MPOLY', 'SPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_NONE']","{'UC_NONE': 1, 'TPC_MNUF': 1, 'UC_MNUF': 2, 'SPC_MPOLY': 5, 'SPC_MNUF': 2, 'TPC_NONE': 1, 'SPC_NONE': 1}"
