ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6718292562626207,0.0,0.0,0.0,0.375,0.0,0.01,0,13,0,100,0,0.13,BEST,False,False,289,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M],0,1,2,1,0.02,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6856702047517707,-0.0036844164701023,0.0,0.0,0.375,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,289,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M],0,1,3,1,0.03,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6979583704835328,0.0041419280160066,0.0,0.0,0.375,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,289,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M],0,1,4,4,0.04,True,True,"[2, 24, 40, 38, 46, 6, 29, 23]",[],"[2.728967366503052, 24.970847606747345, 40.25463111138519, 38.01483206687719, 46.72627327715676, 6.297894129797298, 29.355285628015444, 23.358979172821005]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7047003513128001,,,,767071232,3023396,,,,,,"[2, 25, 40, 39, 45, 6, 29, 22]",0.7015524037250755,-0.0006147223217384,0.0,0.0,0.5,0.625,0.04,0,1,0,100,0,0.01,BEST,False,False,267,True,True,GREEDY,,,GREEDY_MUT
BZNKFJ[M],0,1,5,5,0.05,True,True,"[3, 26, 43, 38, 47, 6, 30, 23]",[],"[3.6020947147243962, 26.139749503846087, 43.58137686572392, 38.371482494161285, 47.952636011798496, 6.718417198418842, 30.135352370055326, 23.49736904959564]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7061588961205021,,,,1097194496,3923236,,,,,,"[3, 26, 44, 39, 46, 6, 30, 22]",0.7061829031436083,-0.0004947840092196,0.375,0.125,0.5,0.625,0.05,0,0,0,100,0,0.0,BEST,False,False,244,True,True,GREEDY,,,GREEDY_MUT
BZNKFJ[M],0,1,6,5,0.06,True,True,"[3, 26, 43, 38, 47, 6, 30, 23]",[],"[3.6020947147243962, 26.139749503846087, 43.58137686572392, 38.371482494161285, 47.952636011798496, 6.718417198418842, 30.135352370055326, 23.49736904959564]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7061588961205021,,,,1097194496,3923236,,,,,,"[3, 26, 44, 39, 46, 6, 30, 22]",0.7130550766893606,-0.0053536831214234,0.375,0.125,0.5,0.0,0.05,0,1,0,100,0,0.01,BEST,False,False,244,True,True,GREEDY,,,GREEDY_MUT
BGHKNK[M],0,1,7,7,0.07,True,True,"[2, 4, 2, 39, 46, 6, 29, 23]",[],"[2.007194578020596, 4.064734016143731, 2.6464902959418506, 39.81200585269929, 46.62987159560682, 6.666872951919833, 29.00950978048259, 23.80401451945433]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7067957958063807,,,,877810688,3435044,,,,,,"[3, 4, 3, 38, 46, 6, 29, 23]",0.7146857609089886,-0.004258003533784,0.5,0.25,0.375,0.75,0.07,0,0,0,100,0,0.0,BEST,False,False,236,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,8,8,0.08,True,True,"[2, 24, 38, 38, 47, 6, 29, 23]",[],"[2.6665480086660573, 24.952221328711246, 38.54512324466154, 38.674160124279105, 47.22175925047436, 6.63536110371643, 29.467015065811104, 23.477055887882717]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7076567807485422,,,,1065153536,3999140,,,,,,"[2, 24, 40, 38, 46, 6, 29, 23]",0.7206688068419541,-0.0032392758481206,0.0,0.0,0.25,0.5,0.08,0,0,0,100,0,0.0,BEST,False,False,214,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,9,8,0.09,True,True,"[2, 24, 38, 38, 47, 6, 29, 23]",[],"[2.6665480086660573, 24.952221328711246, 38.54512324466154, 38.674160124279105, 47.22175925047436, 6.63536110371643, 29.467015065811104, 23.477055887882717]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7076567807485422,,,,1065153536,3999140,,,,,,"[2, 24, 40, 38, 46, 6, 29, 23]",0.7221959188651811,-0.0001775043590195,0.0,0.0,0.25,0.0,0.08,0,0,0,100,0,0.0,BEST,False,False,214,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M][M],0,1,10,8,0.1,True,True,"[2, 24, 38, 38, 47, 6, 29, 23]",[],"[2.6665480086660573, 24.952221328711246, 38.54512324466154, 38.674160124279105, 47.22175925047436, 6.63536110371643, 29.467015065811104, 23.477055887882717]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7076567807485422,,,,1065153536,3999140,,,,,,"[2, 24, 40, 38, 46, 6, 29, 23]",0.7223273845047209,-0.0006072224762754,0.0,0.0,0.25,0.0,0.08,0,0,0,100,0,0.0,BEST,False,False,214,True,True,GREEDY,,,GREEDY_MUT
