Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,SPC,MPOLY,0.6593606041489798,0.019985409621989133,1476247110.4,1133417245.8762608,2862924.96,1450090.6544820012,0.6836539800466753,0,0.24,0.125,7.812323232323232,GREEDY_MUT,['SBX_MPOLY'],{'SBX_MPOLY': 1}
1,2,SPC,MPOLY,0.660833010222685,0.023792642839268706,989650584.32,690181975.2436347,2235152.8,1004266.0525361198,0.6933462189227854,0.009692238876110038,0.19,0.105,7.724040404040404,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 2}
1,3,SPC,MPOLY,0.6609310229653073,0.02384560319777477,751722859.52,399596812.2730986,2012386.72,1001126.3492659264,0.7013069753321275,0.007960756409342129,0.21,0.075,7.568888888888889,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 3}
1,4,SPC,MPOLY,0.6668522152540568,0.022253742423163126,692166252.8,412756453.01689196,1954885.28,1034670.2644998946,0.7059218869400297,0.004614911607902172,0.15,0.11,7.437777777777778,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY']","{'SBX_MPOLY': 3, 'SPC_MPOLY': 1}"
1,5,SPC,MPOLY,0.6707726238970665,0.020140767320893958,613445235.2,347423882.27121,1736710.56,888135.0168396733,0.7129849568379945,0.007063069897964791,0.12,0.09,7.31979797979798,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY']","{'SBX_MPOLY': 3, 'SPC_MPOLY': 2}"
1,6,SPC,MPOLY,0.6714629624518745,0.023385009713486615,564527217.92,317528522.2231929,1626890.4,903422.5808999903,0.7135672394178112,0.0005822825798167397,0.13,0.055,7.1884848484848485,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 4, 'SPC_MPOLY': 2}"
1,7,SPC,MPOLY,0.6773947649317623,0.020963750866051647,543998046.72,277533212.40462375,1709099.68,883784.415817646,0.7206678805506614,0.0071006411328502494,0.16,0.05,6.985252525252525,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 5, 'SPC_MPOLY': 2}"
1,8,SPC,MPOLY,0.6765809180591583,0.022677452384373974,552360238.08,320422430.92880553,1615058.08,928625.3471077741,0.7221959188651811,0.001528038314519642,0.12,0.015,6.924040404040404,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 6, 'SPC_MPOLY': 2}"
1,9,SPC,MPOLY,0.6779891782813913,0.022167822289797162,538968611.84,335103365.76772916,1643952.8,1007604.3091191701,0.7223273845047209,0.00013146563953980728,0.12,0.03,6.830707070707071,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 7, 'SPC_MPOLY': 2}"
1,10,SPC,MPOLY,0.6786555885171395,0.023181498521627954,537590858.24,325218268.4991829,1590263.2,945289.1073467844,0.7225935046330619,0.0002661201283410408,0.08,0.04,6.702020202020202,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 8, 'SPC_MPOLY': 2}"
