ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BTSOBD[M][M][M],0,1,100,85,1.0,True,True,"[2, 7, 4, 22, 46, 6, 31, 23]",[],"[2.5909547703287052, 7.036414658608638, 4.075996319138765, 22.303371865725463, 46.24795528568082, 6.646482055360057, 31.135905676210438, 23.334445287334766]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7178558226893043,,,,916225024,3266084,,,,,,"[2, 6, 4, 22, 46, 6, 31, 23]",0.7371852909701732,-5.76742885760595e-06,0.0,0.0,0.125,0.0,0.85,0,0,0,100,0,0.0,BEST,False,False,14,True,True,GREEDY,,,GREEDY_MUT
BHNZUF[M][M][M][M][M][M][M][M],1,2,100,87,1.0,True,True,"[3, 30, 15, 23, 46, 6, 31, 55]",[],"[3.47083100405451, 30.143378167151283, 15.478801765394318, 23.79481404748908, 46.18377056048621, 6.322468846403687, 31.27263721911807, 55.551983448495186]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.719766053541441,,,,1416738816,5632932,,,,,,"[2, 30, 15, 23, 46, 7, 31, 55]",0.7388223049460497,-4.5375028794425454e-05,0.0,0.0,0.25,0.0,0.87,0,0,0,100,0,0.0,BEST,False,False,2,True,True,GREEDY,,,GREEDY_MUT
BEVAZW[M],2,3,100,94,1.0,True,True,"[14, 20, 15, 20, 28, 38, 28, 23]",[],"[14.284992458798682, 20.250198681210918, 15.555799011813866, 20.520718484633317, 28.053963434205745, 38.74992177955462, 28.03166674406006, 23.781842630439705]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7114435131752522,,,,1110531072,2597924,,,,,,"[14, 20, 15, 20, 28, 38, 28, 23]",0.7301634373337792,-1.544892213889426e-05,0.125,0.125,0.0,0.0,0.94,0,0,0,100,0,0.0,BEST,False,False,128,True,True,GREEDY,,,GREEDY_MUT
BCHBON[M][M][M],3,4,100,65,1.0,True,True,"[22, 0, 15, 38, 47, 7, 15, 31]",[],"[22.287363400517002, 0.06717435865897381, 15.66935137082699, 38.9512642954172, 47.492563437839884, 7.217053650892033, 15.01884664446575, 31.42887642334567]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7187573602168178,,,,1259483648,4270244,,,,,,"[22, 0, 15, 38, 46, 7, 15, 31]",0.7371340559019057,-1.500901574380542e-05,0.0,0.0,0.125,0.0,0.65,0,0,0,100,0,0.0,BEST,False,False,8,True,True,GREEDY,,,GREEDY_MUT
BBMBLY[M],4,5,100,88,1.0,True,True,"[14, 22, 15, 15, 28, 7, 55, 55]",[],"[14.679921065490658, 22.309737655130522, 15.651470580125583, 15.09918033558692, 28.96008871554958, 7.306304594500393, 55.84212487309767, 55.404885283236496]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7187460910652319,,,,1524065280,6458916,,,,,,"[14, 22, 15, 15, 28, 6, 55, 55]",0.7368966264291741,-1.0141707973421177e-07,0.125,0.625,0.125,0.0,0.88,0,0,0,100,0,0.0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_MUT
BKGIQC[M],5,6,100,87,1.0,True,True,"[0, 19, 4, 38, 22, 6, 17, 23]",[],"[0.7454383640562791, 19.142821938288733, 4.222743170278074, 38.64210804454839, 22.494363689625047, 6.5822226624438755, 17.42533161929439, 23.418599295006477]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [32, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7095559057189779,,,,642000384,1749924,,,,,,"[0, 20, 4, 38, 22, 6, 17, 23]",0.7317870131664546,-1.521440230800586e-06,0.375,0.125,0.125,0.0,0.87,0,0,0,100,0,0.0,BEST,False,False,172,True,True,GREEDY,,,GREEDY_MUT
BEGLIM[M][M],6,7,100,73,1.0,True,True,"[14, 22, 4, 39, 28, 6, 38, 55]",[],"[14.614522520982254, 22.154769332439457, 4.470051748855439, 39.665544158054, 28.9664698107355, 6.5560513170921295, 38.581205408656366, 55.3167995101208]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7136681543214176,,,,1586928640,4946852,,,,,,"[13, 22, 4, 39, 28, 6, 39, 55]",0.73442714518177,-2.610151657600479e-05,0.0,0.0,0.25,0.0,0.73,0,0,0,100,0,0.0,BEST,False,False,83,True,True,GREEDY,,,GREEDY_MUT
BRKALF[M][M],7,8,100,92,1.0,True,True,"[20, 30, 20, 38, 28, 6, 38, 23]",[],"[20.263270050065426, 30.411214485064367, 20.327181015345666, 38.77862930928429, 28.004311167755304, 6.743632985981954, 38.50982079988728, 23.181323664216205]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7162639260256518,,,,1409253376,2903972,,,,,,"[20, 30, 20, 38, 28, 5, 38, 23]",0.7368061493411027,-2.104029151417386e-05,0.0,0.0,0.125,0.0,0.92,0,0,0,100,0,0.0,BEST,False,False,38,True,True,GREEDY,,,GREEDY_MUT
BNKPOQ[M],8,9,100,20,1.0,True,True,"[20, 36, 20, 38, 46, 30, 55, 23]",[],"[20.571082578294128, 36.67136555035863, 20.672416915851485, 38.597975280036394, 46.623188153264415, 30.724472633423858, 55.95572837711456, 23.48600224983327]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7190581136681162,,,,1443610624,5489700,,,,,,"[20, 36, 20, 38, 46, 30, 55, 23]",0.7364996207727447,-1.5155961374802018e-08,0.375,0.375,0.0,0.0,0.2,0,0,0,100,0,0.0,BEST,False,False,7,True,True,GREEDY,,,GREEDY_MUT
BSIWWX[M][M],9,10,100,96,1.0,True,True,"[14, 7, 22, 23, 15, 7, 22, 55]",[],"[14.428108265211314, 7.8678536660511424, 22.324453627079816, 23.594493356211643, 15.751512004076133, 7.180269709821817, 22.598456635373815, 55.429459152906745]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7168918235566811,,,,1440636928,4504868,,,,,,"[14, 7, 22, 22, 15, 7, 22, 55]",0.7356369915461634,-4.922050226952024e-06,0.0,0.0,0.125,0.0,0.96,0,0,0,100,0,0.0,BEST,False,False,26,True,True,GREEDY,,,GREEDY_MUT
