ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BVDMSB[M][M][M][M][M][M][M][M][M],0,1,100,92,1.0,True,True,"[20, 9, 13, 38, 47, 47, 27, 6]",[],"[20.852306502504867, 9.304787664548023, 13.213878724317585, 38.55082498864365, 47.642250561605124, 47.07546640132439, 27.903847541937026, 6.813259738064101]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7083711177746416,,,,1226108416,4725540,,,,,,"[20, 8, 13, 38, 47, 46, 27, 6]",0.7230114150546582,-0.000172907752044,0.0,0.0,0.25,0.0,0.92,0,0,0,100,0,0.0,BEST,False,False,44,True,True,GREEDY,,,GREEDY_MUT
BPYMQC[M][M][M][M][M][M][M][M][M][M],1,2,100,84,1.0,True,True,"[51, 28, 18, 38, 36, 47, 44, 39]",[],"[51.52229580219514, 28.97653467654395, 18.960936197604354, 38.37885321256935, 36.91116843802108, 47.925078869469374, 44.91407227554143, 39.084403806390995]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7078003392312506,,,,2031023104,4853796,,,,,,"[52, 29, 18, 38, 37, 48, 44, 39]",0.7254604047299031,-0.0002269033852774,0.0,0.0,0.5,0.0,0.84,0,0,0,100,0,0.0,BEST,False,False,51,True,True,GREEDY,,,GREEDY_MUT
BLNUSN[M][M][M][M][M][M][M],2,3,100,89,1.0,True,True,"[3, 8, 15, 38, 46, 39, 55, 62]",[],"[3.9682135494442354, 8.9583046981535, 15.784910608860901, 38.147977568328166, 46.08035927512734, 39.03957780674503, 55.78347997790049, 62.28919726668779]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7170851322010746,,,,1120513024,7673124,,,,,,"[3, 8, 13, 38, 46, 38, 55, 62]",0.7313624268023408,-3.2849519486566336e-05,0.0,0.0,0.25,0.0,0.89,0,0,0,100,0,0.0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_MUT
BOWZDR[M][M][M][M][M][M][M][M][M][M],3,4,100,91,1.0,True,True,"[16, 10, 40, 38, 46, 7, 14, 62]",[],"[16.873537501551347, 10.886847787663795, 40.74568591232605, 38.101548336722075, 46.84500698695975, 7.970466476636677, 14.335768857329077, 62.83295062303524]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7061595784023093,,,,761982464,4608676,,,,,,"[16, 10, 40, 38, 47, 7, 14, 62]",0.7224371440870583,-0.0004095545496497,0.0,0.0,0.125,0.0,0.91,0,0,0,100,0,0.0,BEST,False,False,70,True,True,GREEDY,,,GREEDY_MUT
BZYZHA[M][M][M],4,5,100,33,1.0,True,True,"[30, 39, 60, 38, 18, 30, 50, 22]",[],"[30.83594960534505, 39.83409496931861, 60.74811938482302, 38.0636664789208, 18.957309154811693, 30.771888963231667, 50.47511246492309, 22.5266204658424]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7065480473297351,,,,4104913920,5133348,,,,,,"[14, 19, 60, 39, 23, 44, 38, 28]",0.7256716140515986,-0.0001322695471466,0.0,0.0,0.875,0.0,0.33,0,0,0,100,0,0.0,BEST,False,False,66,True,True,GREEDY,,,GREEDY_MUT
BAJAKC[M][M][M][M][M][M][M][M][M][M][M],5,6,100,92,1.0,True,True,"[38, 4, 22, 6, 46, 6, 39, 55]",[],"[38.01731583187643, 4.096360562574854, 22.27375382957489, 6.637582382441108, 46.5651449207751, 6.474629649439161, 39.42502172887053, 55.534506500200074]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7130155719309502,,,,1447283712,5490340,,,,,,"[37, 4, 22, 6, 46, 6, 39, 55]",0.7272066241490951,-0.0004070906793831,0.0,0.0,0.125,0.0,0.92,0,0,0,100,0,0.0,BEST,False,False,6,True,True,GREEDY,,,GREEDY_MUT
BMNGKP[M][M][M][M][M][M][M][M][M][M][M],6,7,100,88,1.0,True,True,"[5, 30, 4, 20, 46, 6, 54, 22]",[],"[5.061659800035508, 30.64966606944014, 4.908473224910245, 20.096726822280345, 46.43622617793396, 6.777410991152347, 54.52501881032271, 22.414108713870593]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7097154026078432,,,,1265612800,3094692,,,,,,"[5, 30, 4, 20, 46, 6, 55, 21]",0.7265075825832756,-9.189734917924852e-06,0.0,0.0,0.25,0.0,0.88,0,0,0,100,0,0.0,BEST,False,False,26,True,True,GREEDY,,,GREEDY_MUT
BGHJKN[M][M][M][M][M][M][M][M][M][M][M][M][M],7,8,100,92,1.0,True,True,"[15, 39, 38, 23, 23, 22, 21, 55]",[],"[15.08107019259344, 39.44630710633481, 38.57431035565334, 23.298964358212398, 23.02975190742225, 22.24639955192317, 21.058153800410345, 55.49064013360795]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7116394777315734,,,,3585296384,5693092,,,,,,"[14, 39, 38, 23, 22, 22, 21, 55]",0.7282447744131637,-2.511137454164203e-05,0.0,0.0,0.25,0.0,0.92,0,0,0,100,0,0.0,BEST,False,False,12,True,True,GREEDY,,,GREEDY_MUT
BVJFFY[M][M][M][M][M][M][M][M][M],8,9,100,90,1.0,True,True,"[4, 7, 15, 38, 28, 5, 22, 39]",[],"[4.976447391359268, 7.786714805758016, 15.444557308502489, 38.92448516024239, 28.702773515114124, 5.52071479118425, 22.20860863801976, 39.73336834402117]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7103880713487933,,,,1250902016,3290660,,,,,,"[4, 7, 15, 38, 28, 5, 20, 39]",0.7273885387709508,-0.0005260272812387,0.0,0.0,0.125,0.0,0.9,0,0,0,100,0,0.0,BEST,False,False,21,True,True,GREEDY,,,GREEDY_MUT
BPXHXH[M][M][M][M][M][M][M][M][M][M][M][M][M],9,10,100,94,1.0,True,True,"[14, 7, 20, 39, 14, 6, 19, 6]",[],"[14.803581888277332, 7.191498774312915, 20.109072429003458, 39.60220423976048, 14.227731454390987, 6.976079053045834, 19.305466058409813, 6.532700351953426]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706392378902122,,,,1509137920,2395556,,,,,,"[14, 7, 19, 39, 14, 6, 19, 6]",0.724352560427446,-1.04146385395687e-05,0.0,0.0,0.125,0.0,0.94,0,0,0,100,0,0.0,BEST,False,False,67,True,True,GREEDY,,,GREEDY_MUT
