Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,SPC,MNUF,0.6577521426827072,0.019202332960543456,1651628092.16,1275661291.3851986,3012288.16,1545365.4654901458,0.6805801336677766,0,0.26,0.09,7.851313131313131,GREEDY_MUT,['SBX_MPOLY'],{'SBX_MPOLY': 1}
1,2,SPC,MNUF,0.657190270303825,0.023599353260384367,1318835466.24,911355747.7713577,2702876.32,1609481.9825051962,0.6894282175627783,0.00884808389500169,0.13,0.02,7.835757575757576,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY']",{'SBX_MPOLY': 2}
1,3,SPC,MNUF,0.6580050331745539,0.025951400995666774,1285566579.2,1046710383.4459994,2727881.12,1671890.2810023471,0.6926055895388515,0.003177371976073262,0.08,0.02,7.771313131313131,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY']","{'SBX_MPOLY': 2, 'UC_MPOLY': 1}"
1,4,SPC,MNUF,0.6566033445273582,0.026398991560776536,1046869735.68,768225771.9689053,2405047.2,1566156.9331066664,0.697472933520468,0.004867343981616479,0.16,0.04,7.7309090909090905,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 3, 'UC_MPOLY': 1}"
1,5,SPC,MNUF,0.6582808819627134,0.026104799434974246,1049434982.4,804339035.8383657,2441930.4,1647156.4486769077,0.6976550631698323,0.0001821296493642599,0.14,0.005,7.7002020202020205,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY']","{'SBX_MPOLY': 3, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
1,6,SPC,MNUF,0.6584644378487785,0.023896727788814326,888691628.8,723005948.8397655,2273331.36,1572351.5545716074,0.70140228167357,0.003747218503737715,0.12,0.005,7.626868686868687,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 4, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
1,7,SPC,MNUF,0.664034328747454,0.021553780210849645,930703390.72,721582109.0211412,2528459.68,1642148.0244555478,0.7021618385515045,0.0007595568779344974,0.12,0.01,7.609696969696969,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 5, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
1,8,SPC,MNUF,0.6626663499296477,0.024194543964520015,865203549.44,677492636.4661026,2346535.84,1450868.451435503,0.703991860071877,0.0018300215203724823,0.16,0.01,7.568282828282828,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 6, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
1,9,SPC,MNUF,0.6642392510732649,0.02251499786018736,851712234.24,695716941.3241725,2366451.36,1494189.603487934,0.7041935474038754,0.0002016873319984347,0.18,0.0,7.54989898989899,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 7, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
1,10,SPC,MNUF,0.6665239639690544,0.01913982717384873,794782082.56,608279232.1294641,2383941.28,1512120.187805071,0.7042181712443965,2.462384052104305e-05,0.19,0.0,7.488080808080808,GREEDY_MUT,"['SBX_MPOLY', 'SBX_MPOLY', 'UC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'SBX_MPOLY': 8, 'UC_MPOLY': 1, 'TPC_MPOLY': 1}"
