Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,NONE,MNUF,0.6559128725362382,0.0206470151608487,1776197071.36,1353024127.1238112,3249195.68,1762416.6453082021,0.6769104808372503,0,0,0.1,7.86060606060606,GREEDY_HV,['SBX_MNUF'],{'SBX_MNUF': 1}
1,2,NONE,MNUF,0.6574382569693512,0.02034009362127304,1437595534.08,1160485867.6757205,2925556.64,1666777.1461758136,0.6851997932959507,0.00828931245870046,0,0.05,7.829292929292929,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF']","{'SBX_MNUF': 1, 'TPC_MNUF': 1}"
1,3,NONE,MNUF,0.6574424794589505,0.0212352909686308,1234702885.12,1034814932.7131882,2865996.96,1718366.736542592,0.6855121900594043,0.0003123967634536262,0,0.02,7.794747474747474,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1}"
1,4,NONE,MNUF,0.6572207192800221,0.02208360364514474,1222906100.48,1024115153.2237082,2781240.48,1774585.62156684,0.6857534943560345,0.00024130429663016262,0,0.0,7.789292929292929,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 1}"
1,5,NONE,MNUF,0.6591599606057977,0.021551446838081925,1239747175.68,1245557574.7902055,2768432.8,1941191.9812990772,0.695780755731033,0.010027261374998542,0,0.03,7.775555555555556,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 1, 'SPC_MPOLY': 1}"
1,6,NONE,MNUF,0.6581969257260085,0.025216942967091087,1316384234.24,1328292057.1812534,2769194.4,2095778.1236774863,0.6968780740971566,0.0010973183661235897,0,0.0,7.781414141414142,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 1, 'SPC_MPOLY': 2}"
1,7,NONE,MNUF,0.6592003046708917,0.02603685173242129,1322990309.12,1399277254.5983515,2754517.92,2065595.8685718935,0.7013499326439152,0.004471858546758578,0,0.01,7.764242424242425,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 2, 'SPC_MPOLY': 2}"
1,8,NONE,MNUF,0.6589283372941669,0.02648229969905564,1311340661.76,1408055540.6616871,2688683.68,2072429.7025694402,0.7013763010844081,2.6368440492863243e-05,0,0.0,7.75010101010101,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MPOLY', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 2, 'SPC_MPOLY': 3}"
1,9,NONE,MNUF,0.6558169395688555,0.027806806017988975,1137963404.8,1192455194.9735622,2391588.0,1906046.949335551,0.7014546731434295,7.83720590213921e-05,0,0.0,7.715757575757576,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 2, 'SPC_MPOLY': 3, 'SBX_MPOLY': 1}"
1,10,NONE,MNUF,0.656947027058813,0.026821518621831117,1085032371.2,1215726544.6710112,2390526.88,1987355.7819143774,0.7015931601475542,0.00013848700412477655,0,0.0,7.674545454545455,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 2, 'SPC_MPOLY': 3, 'SBX_MPOLY': 1, 'TPC_NONE': 1}"
1,11,NONE,MNUF,0.6587883850911459,0.0279113072882402,1121459749.12,1248643259.3207123,2521705.12,2013419.8260589829,0.701644377673537,5.1217525982805157e-05,0,0.01,7.656363636363636,GREEDY_HV,"['SBX_MNUF', 'TPC_MNUF', 'SBX_NONE', 'UC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY', 'UC_MPOLY', 'SPC_MPOLY', 'SBX_MPOLY', 'TPC_NONE', 'SPC_MPOLY']","{'SBX_MNUF': 1, 'TPC_MNUF': 1, 'SBX_NONE': 1, 'UC_MPOLY': 2, 'SPC_MPOLY': 4, 'SBX_MPOLY': 1, 'TPC_NONE': 1}"
