Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,SPC,NONE,0.661677356300214,0.015844598106577817,1532625187.84,899247014.7083559,2984646.56,1401359.3510133252,0.6704455109966294,0,0.2,0,7.65030303030303,GREEDY_GD,['TPC_MNUF'],{'TPC_MNUF': 1}
1,2,SPC,NONE,0.658621058412006,0.02122281750601564,1113024211.2,827734739.8640083,2511847.84,1424635.1408742294,0.6794120237027017,0.008966512706072294,0.16,0,7.351515151515152,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF']",{'TPC_MNUF': 2}
1,3,SPC,NONE,0.6666013568236082,0.018298699378225647,960388947.2,557468414.1780769,2121227.68,1173773.258421258,0.6933690148409584,0.013956991138256658,0.18,0,6.761818181818182,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF']","{'TPC_MNUF': 2, 'UC_MNUF': 1}"
1,4,SPC,NONE,0.6708221202294061,0.014275119730597667,793569702.4,497629615.6352403,1748093.6,883867.480644468,0.6954974063113806,0.0021283914704222084,0.15,0,5.787878787878788,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF']","{'TPC_MNUF': 3, 'UC_MNUF': 1}"
1,5,SPC,NONE,0.6729850101292574,0.016396591289432126,713091520.0,583115354.6236788,1843212.96,1040674.0194791639,0.6971038746969044,0.001606468385523807,0.09,0,5.8816161616161615,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 1}"
1,6,SPC,NONE,0.6718895758593431,0.019581206065985936,692129518.08,578787628.4374938,1728160.16,1097488.6365081936,0.7021358426278113,0.005031967930906878,0.05,0,5.565454545454545,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 2}"
1,7,SPC,NONE,0.6807055926302542,0.015323881785110231,643414563.84,284987264.0646616,1911049.12,899476.1310024997,0.7039549501047047,0.0018191074768934001,0.07,0,4.9098989898989895,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 3}"
1,8,SPC,NONE,0.6816089075025719,0.016124578117395472,496505249.28,201135460.0430512,1842986.4,710208.3204036406,0.7043222894208248,0.0003673393161200966,0.07,0,3.6294949494949496,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 3, 'TPC_MPOLY': 1}"
1,9,SPC,NONE,0.674691777933879,0.019886208832457546,476866933.76,251461534.58885387,1439837.6,769831.0835705192,0.7082541805108692,0.003931891090044437,0.06,0,4.085050505050505,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 3, 'TPC_MPOLY': 1, 'UC_MPOLY': 1}"
1,10,SPC,NONE,0.6762908749726654,0.02127913447069181,514969868.8,269954824.52715653,1463178.4,818250.2848880406,0.70843599739467,0.00018181688380081162,0.05,0,4.0494949494949495,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'TPC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 3, 'TPC_MPOLY': 2, 'UC_MPOLY': 1}"
1,11,SPC,NONE,0.6781678586522744,0.019393043023424004,507281694.72,259836638.95782426,1398859.68,724269.0480598338,0.7085304705701803,9.44731755102568e-05,0.03,0,4.257575757575758,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 4, 'TPC_MPOLY': 2, 'UC_MPOLY': 1}"
1,12,SPC,NONE,0.6799474849613047,0.020555176854552527,551761049.6,275904135.90847206,1515567.52,794348.5879615885,0.7086868818290291,0.0001564112588487987,0.04,0,4.327272727272727,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 4, 'TPC_MPOLY': 3, 'UC_MPOLY': 1}"
1,13,SPC,NONE,0.6792058185904953,0.019628625305903657,512143388.16,260500022.04062918,1437918.88,783281.641136077,0.7087092857058588,2.2403876829724112e-05,0.0,0,4.331717171717171,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SPC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 4, 'TPC_MPOLY': 3, 'UC_MPOLY': 1, 'SPC_MPOLY': 1}"
1,14,SPC,NONE,0.6802012934920603,0.018711931806364438,520765534.72,272323412.7194185,1394096.8,721326.5776620185,0.7087738977259752,6.461202011642797e-05,0.0,0,4.218989898989899,GREEDY_GD,"['TPC_MNUF', 'TPC_MNUF', 'UC_MNUF', 'TPC_MNUF', 'SBX_MPOLY', 'SBX_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'UC_MPOLY', 'TPC_MPOLY', 'SBX_MPOLY', 'TPC_MPOLY', 'SPC_MPOLY', 'SPC_MPOLY']","{'TPC_MNUF': 3, 'UC_MNUF': 1, 'SBX_MPOLY': 4, 'TPC_MPOLY': 3, 'UC_MPOLY': 1, 'SPC_MPOLY': 2}"
