GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.018868,0.037736,0.207547,0.132075,0.000000,0.188679,0.075472,0.000000,0.056604,0.113208,0.000000,0.075472,0.075472,0.018868
NONE_MPOLY,0.016529,0.016529,0.041322,0.396694,0.016529,0.024793,0.140496,0.000000,0.024793,0.132231,0.000000,0.024793,0.157025,0.008264
SBX_MNUF,0.000000,0.017857,0.154762,0.297619,0.011905,0.095238,0.113095,0.000000,0.059524,0.089286,0.000000,0.065476,0.095238,0.000000
SBX_MPOLY,0.012806,0.041909,0.050058,0.318976,0.009313,0.031432,0.185099,0.001164,0.029104,0.142026,0.002328,0.038417,0.136205,0.001164
SBX_NONE,0.000000,0.050000,0.025000,0.225000,0.050000,0.025000,0.300000,0.000000,0.050000,0.150000,0.000000,0.075000,0.050000,0.000000
SPC_MNUF,0.016393,0.024590,0.114754,0.327869,0.008197,0.090164,0.098361,0.000000,0.114754,0.049180,0.000000,0.065574,0.090164,0.000000
SPC_MPOLY,0.007767,0.033010,0.031068,0.244660,0.017476,0.017476,0.200000,0.001942,0.038835,0.188350,0.001942,0.031068,0.184466,0.001942
SPC_NONE,0.000000,0.500000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000
TPC_MNUF,0.009259,0.027778,0.092593,0.268519,0.000000,0.166667,0.074074,0.009259,0.064815,0.111111,0.000000,0.064815,0.111111,0.000000
TPC_MPOLY,0.006742,0.047191,0.031461,0.316854,0.017978,0.015730,0.217978,0.000000,0.020225,0.166292,0.002247,0.013483,0.141573,0.002247
TPC_NONE,0.000000,0.166667,0.000000,0.333333,0.000000,0.000000,0.166667,0.000000,0.000000,0.166667,0.166667,0.000000,0.000000,0.000000
UC_MNUF,0.034483,0.034483,0.120690,0.215517,0.017241,0.103448,0.086207,0.000000,0.051724,0.146552,0.000000,0.112069,0.068966,0.008621
UC_MPOLY,0.000000,0.059113,0.034483,0.295567,0.017241,0.017241,0.194581,0.000000,0.014778,0.182266,0.002463,0.029557,0.152709,0.000000
UC_NONE,0.000000,0.142857,0.000000,0.142857,0.000000,0.000000,0.000000,0.142857,0.000000,0.142857,0.000000,0.000000,0.285714,0.142857
