ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BZKVJI[M],0,1,100,99,1.0,True,True,"[20, 7, 20, 38, 46, 38, 38, 55]",[],"[20.66694064710433, 7.0125714609162975, 20.15201583549998, 38.3401110417345, 46.63823172856028, 38.99772452232864, 38.824017170727075, 55.55401496283044]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7177570191762618,,,,1378264064,5576356,,,,,,"[20, 7, 20, 38, 46, 38, 38, 55]",0.7365141585303907,-0.0005798160903642,0.75,0.25,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,7,True,True,GREEDY,,,GREEDY_CROSS
BCPYJN[M],1,2,100,98,1.0,True,True,"[14, 7, 46, 38, 47, 6, 22, 23]",[],"[14.711856428596487, 7.942481557311687, 46.58253701979369, 38.589413095112405, 47.518164633820035, 6.862419591310933, 22.05359140616683, 23.292362784890294]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7165857526835832,,,,1964055552,4783524,,,,,,"[14, 7, 46, 38, 47, 6, 21, 23]",0.7354919686623365,-0.0001086434021809,0.5,0.0,0.125,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,13,True,True,GREEDY,,,GREEDY_CROSS
BCYCDH[M],2,3,100,99,1.0,True,True,"[2, 4, 46, 38, 46, 38, 54, 39]",[],"[2.9152691610779873, 4.828583200495418, 46.48135235583619, 38.29127606337121, 46.73541404648775, 38.62173766543736, 54.924610017925744, 39.331334621156195]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.714456453784675,,,,1150346240,5422628,,,,,,"[2, 4, 46, 38, 46, 38, 54, 39]",0.7334801015008827,-0.0005140556287464,0.375,0.25,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,40,True,True,GREEDY,,,GREEDY_CROSS
BSWXRK[M],3,4,100,97,1.0,True,True,"[2, 6, 15, 39, 46, 6, 39, 23]",[],"[2.9427642678832435, 6.898351073639448, 15.539117984110627, 39.362873746123846, 46.73403670480447, 6.829798022968255, 39.09151801311461, 23.51064017625017]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7161391104203522,,,,1267748864,4622884,,,,,,"[2, 6, 15, 39, 46, 6, 39, 23]",0.7344099802451878,-6.191293005630705e-05,0.125,0.625,0.0,0.0,0.97,1,0,100,0,0.01,0,BEST,False,False,16,True,True,GREEDY,,,GREEDY_CROSS
BWCUGK[M],4,5,100,96,1.0,True,True,"[14, 6, 49, 38, 14, 22, 22, 39]",[],"[14.792659960423402, 6.60515646827328, 49.76379738566191, 38.96917922765397, 14.189710728472276, 22.936830688923116, 22.144886380312553, 39.72640301403481]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7139789584736955,,,,1262419968,3419172,,,,,,"[14, 6, 49, 38, 14, 22, 22, 39]",0.7328545983899105,-0.0001447112400302,0.625,0.25,0.0,0.0,0.96,0,0,100,0,0.0,0,BEST,False,False,47,True,True,GREEDY,,,GREEDY_CROSS
BDLTWP[M],5,6,100,95,1.0,True,True,"[2, 10, 4, 38, 46, 14, 35, 39]",[],"[2.6335616677221405, 10.660644995938815, 4.334382150247601, 38.508252888045476, 46.69607141395949, 14.187309828602633, 35.93858909506082, 39.28411227895509]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7098260411620398,,,,702195712,3425060,,,,,,"[2, 10, 4, 38, 46, 14, 36, 39]",0.7305591979050612,0.0011245910841359,0.5,0.375,0.125,0.0,0.95,0,0,100,0,0.0,0,BEST,False,False,123,True,True,GREEDY,,,GREEDY_CROSS
BMNISI[M],6,7,100,98,1.0,True,True,"[14, 6, 20, 38, 46, 47, 14, 39]",[],"[14.991553541402501, 6.543394131511144, 20.050873752375054, 38.80315535477842, 46.080610780529334, 47.8605418807748, 14.673509224304844, 39.310416272034104]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7175577656788378,,,,1303764480,5119140,,,,,,"[14, 6, 20, 38, 46, 47, 14, 39]",0.7360845243309817,-3.801479785903173e-05,0.375,0.125,0.0,0.0,0.98,0,0,100,0,0.0,0,BEST,False,False,9,True,True,GREEDY,,,GREEDY_CROSS
BEQVHS[M],7,8,100,99,1.0,True,True,"[14, 7, 4, 22, 14, 6, 14, 23]",[],"[14.875079263698007, 7.524588571996509, 4.792670192559143, 22.246026447543798, 14.029744793873622, 6.493192271617075, 14.548435873366019, 23.517131448887593]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7126926030335899,,,,1086519808,2033444,,,,,,"[14, 7, 4, 22, 14, 6, 14, 23]",0.7322166552596033,-0.001156129362214,0.5,0.375,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,70,True,True,GREEDY,,,GREEDY_CROSS
BDBRYL[M],8,9,100,99,1.0,True,True,"[2, 4, 4, 38, 28, 6, 13, 23]",[],"[2.564087944952283, 4.326179198674608, 4.418483947808825, 38.851554526573565, 28.332778568025827, 6.657578354134382, 13.861568702100369, 23.70849676707771]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7079997623251294,,,,561289728,2027428,,,,,,"[2, 4, 4, 38, 28, 6, 13, 23]",0.7283050354412501,-9.134439385427572e-05,0.25,0.125,0.0,0.0,0.99,0,0,100,0,0.0,0,BEST,False,False,145,True,True,GREEDY,,,GREEDY_CROSS
BQSFOJ[M],9,10,100,97,1.0,True,True,"[2, 28, 4, 3, 46, 6, 54, 23]",[],"[2.739210808520386, 28.552119701623212, 4.936328295613915, 3.573335490030937, 46.371341645672715, 6.451896553695763, 54.907831611595974, 23.404563966681312]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7175230133673398,,,,664131584,2794532,,,,,,"[2, 28, 4, 3, 46, 6, 54, 23]",0.7377262336608733,-3.750628524756827e-05,0.125,0.125,0.0,0.0,0.97,0,0,100,0,0.0,0,BEST,False,False,10,True,True,GREEDY,,,GREEDY_CROSS
