Execution,Generation,Crossover_type,Mutation_type,mean_accuracy,std_accuracy,mean_flops,std_flops,mean_params,std_params,HV,dHV,succ_cross,succ_mut,GD,search_name,GOs_history,GOs_count
1,1,SPC,NONE,0.661677356300214,0.015844598106577817,1532625187.84,899247014.7083559,2984646.56,1401359.3510133252,0.6704455109966294,0,0.2,0,7.65030303030303,GREEDY_CROSS,['UC_NONE'],{'UC_NONE': 1}
1,2,SPC,NONE,0.666059279128258,0.018853091540549583,1486827056.64,1026805049.7847146,2875845.28,1663728.4229455127,0.6743717171896897,0.003926206193060278,0.24,0,7.238383838383839,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE']","{'UC_NONE': 1, 'SPC_NONE': 1}"
1,3,SPC,NONE,0.6705543680084108,0.016289730986119022,1031707906.56,699421110.3967474,2353154.72,1180689.943262786,0.6924270273358948,0.018055310146205095,0.14,0,6.687070707070707,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1}"
1,4,SPC,NONE,0.668520066760882,0.0186890059259017,845409923.84,682005427.8221644,1790615.2,1031250.3146490091,0.6934036599995839,0.000976632663689081,0.13,0,6.293131313131313,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1}"
1,5,SPC,NONE,0.6773312593784895,0.0205295178223481,1056794455.04,917614333.3805794,2201941.92,1326726.8792436793,0.695715397733573,0.002311737733989183,0.06,0,5.6153535353535355,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 1}"
1,6,SPC,NONE,0.6781221148141582,0.016670677453890906,988860008.96,852919325.2820163,2040509.6,1240967.7837486668,0.6988682399724618,0.0031528422388887867,0.07,0,5.412727272727273,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE', 'TPC_MNUF']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 1, 'TPC_MNUF': 1}"
1,7,SPC,NONE,0.6762517300122289,0.016566686357525246,933584381.44,879800837.7520344,1819785.12,1194766.1922681385,0.7001870741316628,0.0013188341592009767,0.12,0,5.182626262626263,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE', 'TPC_MNUF', 'SPC_MNUF']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 1, 'TPC_MNUF': 1, 'SPC_MNUF': 1}"
1,8,SPC,NONE,0.6737894059279026,0.017382037481547225,738658511.36,572718256.7294377,1589135.52,991384.9782316909,0.7014568163678203,0.0012697422361575006,0.06,0,4.997575757575758,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE', 'TPC_MNUF', 'SPC_MNUF', 'TPC_NONE']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 2, 'TPC_MNUF': 1, 'SPC_MNUF': 1}"
1,9,SPC,NONE,0.6896356095676863,0.013714726539878541,1054007784.96,788326213.0484413,2436577.44,1113162.028004552,0.7047693440519537,0.0033125276841333706,0.04,0,4.420808080808081,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE', 'TPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 2, 'TPC_MNUF': 1, 'SPC_MNUF': 1, 'SPC_MPOLY': 1}"
1,10,SPC,NONE,0.6883857044691972,0.015432007722858628,941720542.72,682964809.2050923,2306662.56,1077928.5154687422,0.7049701426896713,0.00020079863771760298,0.08,0,4.108282828282828,GREEDY_CROSS,"['UC_NONE', 'SPC_NONE', 'UC_MNUF', 'TPC_MPOLY', 'TPC_NONE', 'TPC_MNUF', 'SPC_MNUF', 'TPC_NONE', 'SPC_MPOLY', 'SPC_MPOLY']","{'UC_NONE': 1, 'SPC_NONE': 1, 'UC_MNUF': 1, 'TPC_MPOLY': 1, 'TPC_NONE': 2, 'TPC_MNUF': 1, 'SPC_MNUF': 1, 'SPC_MPOLY': 2}"
