counts,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,75,108,52,11,52,13,5,12,8,10,6,8
SBX_MPOLY,96,133,78,11,63,12,17,14,7,9,9,11
SBX_NONE,61,68,53,5,47,11,9,17,7,6,7,6
SPC_MNUF,7,15,12,17,41,11,14,25,13,15,17,5
SPC_MPOLY,46,73,39,39,93,21,24,30,33,17,23,15
SPC_NONE,14,13,8,17,21,11,15,13,11,12,19,12
TPC_MNUF,10,8,15,17,26,13,18,22,20,12,16,10
TPC_MPOLY,19,10,13,16,28,25,19,21,15,9,25,26
TPC_NONE,10,8,10,19,21,11,24,19,12,12,14,6
UC_MNUF,13,5,11,7,26,11,13,12,11,10,14,13
UC_MPOLY,7,17,7,15,18,13,22,23,16,16,14,10
UC_NONE,9,4,4,16,16,12,8,17,9,17,12,15
