CROSS,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,0.208333,0.300000,0.144444,0.030556,0.144444,0.036111,0.013889,0.033333,0.022222,0.027778,0.016667,0.022222
SBX_MPOLY,0.208696,0.289130,0.169565,0.023913,0.136957,0.026087,0.036957,0.030435,0.015217,0.019565,0.019565,0.023913
SBX_NONE,0.205387,0.228956,0.178451,0.016835,0.158249,0.037037,0.030303,0.057239,0.023569,0.020202,0.023569,0.020202
SPC_MNUF,0.036458,0.078125,0.062500,0.088542,0.213542,0.057292,0.072917,0.130208,0.067708,0.078125,0.088542,0.026042
SPC_MPOLY,0.101545,0.161148,0.086093,0.086093,0.205298,0.046358,0.052980,0.066225,0.072848,0.037528,0.050773,0.033113
SPC_NONE,0.084337,0.078313,0.048193,0.102410,0.126506,0.066265,0.090361,0.078313,0.066265,0.072289,0.114458,0.072289
TPC_MNUF,0.053476,0.042781,0.080214,0.090909,0.139037,0.069519,0.096257,0.117647,0.106952,0.064171,0.085561,0.053476
TPC_MPOLY,0.084071,0.044248,0.057522,0.070796,0.123894,0.110619,0.084071,0.092920,0.066372,0.039823,0.110619,0.115044
TPC_NONE,0.060241,0.048193,0.060241,0.114458,0.126506,0.066265,0.144578,0.114458,0.072289,0.072289,0.084337,0.036145
UC_MNUF,0.089041,0.034247,0.075342,0.047945,0.178082,0.075342,0.089041,0.082192,0.075342,0.068493,0.095890,0.089041
UC_MPOLY,0.039326,0.095506,0.039326,0.084270,0.101124,0.073034,0.123596,0.129213,0.089888,0.089888,0.078652,0.056180
UC_NONE,0.064748,0.028777,0.028777,0.115108,0.115108,0.086331,0.057554,0.122302,0.064748,0.122302,0.086331,0.107914
