ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 26, 45, 38, 47, 6, 29, 22]",[],"[2.2106320231000294, 26.32914980815463, 45.43617081799538, 38.04316754558064, 47.33972371675838, 6.151052126877959, 29.9537074693542, 22.566215153546647]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7016632701090124,,,,1163850752,3890212,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6718292562626207,0.0,0.0,0.0,0.5,0.0,0.01,0,13,0,100,0,0.13,BEST,False,False,184,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M],0,1,2,1,0.02,True,True,"[2, 26, 45, 38, 47, 6, 29, 22]",[],"[2.2106320231000294, 26.32914980815463, 45.43617081799538, 38.04316754558064, 47.33972371675838, 6.151052126877959, 29.9537074693542, 22.566215153546647]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7016632701090124,,,,1163850752,3890212,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6855195815097967,0.0004847677862878,0.0,0.0,0.5,0.0,0.01,0,5,0,100,0,0.05,BEST,False,False,184,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,3,3,0.03,True,True,"[2, 26, 45, 39, 47, 6, 28, 23]",[],"[2.236376449714701, 26.7574436345721, 45.09566138290329, 39.14793529430091, 47.34339013746012, 6.835818005825735, 28.407456690435076, 23.648662515491893]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.702027136706164,,,,1436480512,4545572,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.6855783753476037,-0.0078974479773824,0.0,0.0,0.375,0.375,0.03,0,2,0,100,0,0.02,BEST,False,False,178,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,4,4,0.04,True,True,"[2, 27, 46, 38, 47, 5, 30, 22]",[],"[2.110051562824723, 27.388900648671036, 46.00148241360615, 38.34067240038261, 47.682615348691954, 5.642817168626115, 30.520782263732542, 22.93918046978677]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045864236917185,,,,1312586752,3829284,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.6960855484560371,-0.000395113013508,0.0,0.0,0.5,0.75,0.04,0,2,0,100,0,0.02,BEST,False,False,136,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,5,4,0.05,True,True,"[2, 27, 46, 38, 47, 5, 30, 22]",[],"[2.110051562824723, 27.388900648671036, 46.00148241360615, 38.34067240038261, 47.682615348691954, 5.642817168626115, 30.520782263732542, 22.93918046978677]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045864236917185,,,,1312586752,3829284,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.7014037085827658,0.0044158452805368,0.0,0.0,0.5,0.0,0.04,0,1,0,100,0,0.01,BEST,False,False,136,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,6,4,0.06,True,True,"[2, 27, 46, 38, 47, 5, 30, 22]",[],"[2.110051562824723, 27.388900648671036, 46.00148241360615, 38.34067240038261, 47.682615348691954, 5.642817168626115, 30.520782263732542, 22.93918046978677]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045864236917185,,,,1312586752,3829284,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.7014128072958394,0.0038340613055256,0.0,0.0,0.5,0.0,0.04,0,3,0,100,0,0.03,BEST,False,False,136,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,7,4,0.07,True,True,"[2, 27, 46, 38, 47, 5, 30, 22]",[],"[2.110051562824723, 27.388900648671036, 46.00148241360615, 38.34067240038261, 47.682615348691954, 5.642817168626115, 30.520782263732542, 22.93918046978677]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045864236917185,,,,1312586752,3829284,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.6977236318922982,7.006673697784738e-05,0.0,0.0,0.5,0.0,0.04,0,0,0,100,0,0.0,BEST,False,False,136,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M],0,1,8,4,0.08,True,True,"[2, 27, 46, 38, 47, 5, 30, 22]",[],"[2.110051562824723, 27.388900648671036, 46.00148241360615, 38.34067240038261, 47.682615348691954, 5.642817168626115, 30.520782263732542, 22.93918046978677]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7045864236917185,,,,1312586752,3829284,,,,,,"[2, 26, 45, 38, 47, 6, 29, 22]",0.7003260920274103,0.0017648218168749,0.0,0.0,0.5,0.0,0.04,0,0,0,100,0,0.0,BEST,False,False,136,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M],0,1,9,9,0.09,True,True,"[2, 28, 45, 38, 47, 7, 30, 23]",[],"[2.520415141088415, 28.282280833861417, 45.425554265373805, 38.48260255529985, 47.10822939787694, 7.8541215580105845, 30.05275340553513, 23.13103318464498]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7079400252994632,,,,1370496000,4542244,,,,,,"[2, 27, 46, 38, 47, 5, 30, 22]",0.7015500384284463,-0.0057539044345814,0.0,0.0,0.5,0.5,0.09,0,0,0,100,0,0.0,BEST,False,False,72,True,True,GREEDY,,,GREEDY_MUT
BLOKUN[M][M][M],0,1,10,9,0.1,True,True,"[2, 28, 45, 38, 47, 7, 30, 23]",[],"[2.520415141088415, 28.282280833861417, 45.425554265373805, 38.48260255529985, 47.10822939787694, 7.8541215580105845, 30.05275340553513, 23.13103318464498]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7079400252994632,,,,1370496000,4542244,,,,,,"[2, 27, 46, 38, 47, 5, 30, 22]",0.7073039428630278,-0.0002623150790252,0.0,0.0,0.5,0.0,0.09,0,0,0,100,0,0.0,BEST,False,False,72,True,True,GREEDY,,,GREEDY_MUT
