ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BFUDZN,0,1,100,19,1.0,True,False,"[48, 28, 4, 38, 45, 22, 24, 22]",[],"[48.535665093737165, 28.835506855385198, 4.691589973700565, 38.03148540106871, 45.231260156232395, 22.79200921709041, 24.739199332208173, 22.423990673809037]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [32, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7030329820120926,,,,1185840640,2941860,,,,,,,0.711099921988607,-0.0049111432058627,0.125,0.75,0,0.0,0.19,0,0,0,100,0,0.0,BEST,False,False,153,True,True,GREEDY,,,GREEDY_HV
BHNVLS,1,2,100,6,1.0,True,False,"[20, 20, 19, 38, 35, 61, 38, 23]",[],"[20.93078560738802, 20.99408256541898, 19.95397780401736, 38.87507334266485, 35.02490114211035, 61.16058229388457, 38.95447963783539, 23.705968727598574]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7084427847253535,,,,1068251136,3567140,,,,,,,0.7204893053252158,-0.0008122304802475,0.25,0.75,0,0.0,0.06,0,0,0,100,0,0.0,BEST,False,False,76,True,True,GREEDY,,,GREEDY_HV
BSWUKJ,2,3,100,15,1.0,True,False,"[28, 36, 4, 38, 46, 21, 63, 31]",[],"[28.9577591787081, 36.83390746498381, 4.062233587891404, 38.23486859865088, 46.917485381210234, 21.186176681556823, 63.36997159482293, 31.320157704698634]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7156320385473428,,,,1529479168,5767588,,,,,,,0.7171792871401604,-0.0002712615232514,0.25,0.125,0,0.0,0.15,0,0,0,100,0,0.0,BEST,False,False,9,True,True,GREEDY,,,GREEDY_HV
BALNVU,3,4,100,20,1.0,True,False,"[14, 5, 22, 20, 52, 22, 13, 55]",[],"[14.923749599715357, 5.4733626154354384, 22.598966170579676, 20.052477269273883, 52.700622981633366, 22.325549936384196, 13.852113186697048, 55.55761241908802]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7078804483434803,,,,1026444800,3831972,,,,,,,0.7117331026645332,-0.0004074686588207,0.5,0.25,0,0.0,0.2,0,0,0,100,0,0.0,BEST,False,False,83,True,True,GREEDY,,,GREEDY_HV
BSVORH,4,5,100,15,1.0,True,False,"[2, 60, 22, 38, 55, 55, 44, 22]",[],"[2.8030206356254244, 60.94723376325004, 22.571614294188908, 38.33819898619971, 55.72205478825375, 55.20427599161021, 44.815174255376604, 22.539370318576985]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [256, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7050328326293385,,,,2550530048,7235492,,,,,,,0.7072256263023085,-0.0024683173031776,0.125,0.125,0,0.0,0.15,0,0,0,100,0,0.0,BEST,False,False,125,True,True,GREEDY,,,GREEDY_HV
BPRGHN,5,6,100,45,1.0,True,False,"[16, 34, 19, 38, 28, 38, 22, 23]",[],"[16.455209269886048, 34.16058902723781, 19.60472967859182, 38.534558079895184, 28.68347872613844, 38.348735230887904, 22.2163463301883, 23.82757997573452]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7076202315210915,,,,752428032,2487204,,,,,,,0.7133315672865901,-0.0010413810035068,0.25,0.125,0,0.0,0.45,0,0,0,100,0,0.0,BEST,False,False,90,True,True,GREEDY,,,GREEDY_HV
BXGHFH,6,7,100,13,1.0,True,False,"[2, 5, 15, 23, 46, 7, 38, 55]",[],"[2.7083527405242203, 5.65540883773164, 15.835841462218998, 23.839494229962963, 46.577756840280436, 7.763581423927512, 38.16265550509122, 55.54811333292358]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7185446936047246,,,,1041058816,5270052,,,,,,,0.7338419955831302,-7.213446683573821e-05,0.25,0.25,0,0.0,0.13,0,0,0,100,0,0.0,BEST,False,False,1,True,True,GREEDY,,,GREEDY_HV
BFYSIX,7,8,100,18,1.0,True,False,"[14, 20, 23, 30, 14, 6, 22, 39]",[],"[14.980109161623197, 20.307985022278913, 23.84674706071933, 30.929358511977693, 14.491765604675003, 6.736937020051795, 22.63347471638629, 39.32356620842287]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7101853058039551,,,,1349433344,3258788,,,,,,,0.7198029536690944,-1.3810536226288583e-05,0.125,0.25,0,0.0,0.18,0,0,0,100,0,0.0,BEST,False,False,52,True,True,GREEDY,,,GREEDY_HV
BRPRXI,8,9,100,44,1.0,True,False,"[12, 4, 46, 39, 18, 6, 38, 55]",[],"[12.45524188058247, 4.902422324372029, 46.172273375803215, 39.970670518890465, 18.52497569460467, 6.49294850270779, 38.47260393915624, 55.176771906629426]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7097847213946272,,,,1395665920,5112228,,,,,,,0.7138553657423936,-0.0002012825958148,0.125,0.25,0,0.0,0.44,0,0,0,100,0,0.0,BEST,False,False,57,True,True,GREEDY,,,GREEDY_HV
BOXQKJ,9,10,100,27,1.0,True,False,"[3, 12, 38, 23, 46, 7, 28, 55]",[],"[3.583217488095186, 12.986961098167956, 38.37456859317878, 23.39417739189943, 46.43029674069653, 7.9810108786504985, 28.91663888063363, 55.81685312055512]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7166658924851003,,,,1097527296,5003428,,,,,,,0.7240155103724688,-0.0001744301120368,0.375,0.25,0,0.0,0.27,0,0,0,100,0,0.0,BEST,False,False,4,True,True,GREEDY,,,GREEDY_HV
