HV,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.057143,0.000000,0.100000,0.242857,0.071429,0.057143,0.100000,0.042857,0.042857,0.100000,0.000000,0.128571,0.057143,0.000000
NONE_MPOLY,0.017391,0.078261,0.026087,0.339130,0.060870,0.026087,0.139130,0.000000,0.034783,0.139130,0.017391,0.017391,0.104348,0.000000
SBX_MNUF,0.010345,0.017241,0.189655,0.375862,0.055172,0.058621,0.062069,0.000000,0.065517,0.058621,0.006897,0.065517,0.034483,0.000000
SBX_MPOLY,0.026236,0.040363,0.101917,0.379415,0.044400,0.053481,0.093845,0.003027,0.050454,0.092836,0.002018,0.035318,0.072654,0.004036
SBX_NONE,0.034014,0.068027,0.088435,0.299320,0.095238,0.061224,0.108844,0.006803,0.061224,0.088435,0.006803,0.040816,0.040816,0.000000
SPC_MNUF,0.037975,0.031646,0.107595,0.341772,0.056962,0.069620,0.088608,0.006329,0.088608,0.056962,0.018987,0.037975,0.056962,0.000000
SPC_MPOLY,0.019169,0.038339,0.076677,0.338658,0.051118,0.041534,0.146965,0.000000,0.035144,0.134185,0.003195,0.035144,0.073482,0.006390
SPC_NONE,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.083333,0.000000,0.000000,0.166667,0.000000,0.000000,0.083333,0.333333
TPC_MNUF,0.030120,0.024096,0.078313,0.301205,0.054217,0.084337,0.114458,0.000000,0.090361,0.054217,0.006024,0.102410,0.042169,0.018072
TPC_MPOLY,0.017794,0.046263,0.071174,0.306050,0.021352,0.032028,0.160142,0.000000,0.039146,0.124555,0.014235,0.035587,0.128114,0.003559
TPC_NONE,0.037037,0.000000,0.000000,0.259259,0.000000,0.074074,0.111111,0.037037,0.074074,0.000000,0.074074,0.000000,0.074074,0.259259
UC_MNUF,0.044118,0.022059,0.132353,0.183824,0.058824,0.110294,0.058824,0.007353,0.095588,0.080882,0.000000,0.088235,0.088235,0.029412
UC_MPOLY,0.004310,0.051724,0.077586,0.306034,0.051724,0.021552,0.137931,0.004310,0.038793,0.116379,0.008621,0.012931,0.159483,0.008621
UC_NONE,0.000000,0.093750,0.031250,0.125000,0.062500,0.000000,0.000000,0.031250,0.125000,0.062500,0.218750,0.062500,0.031250,0.156250
