GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.177419,0.053763,0.129032,0.048387,0.086022,0.118280,0.037634,0.005376,0.150538,0.048387,0.005376,0.102151,0.032258,0.005376
NONE_MPOLY,0.095652,0.095652,0.078261,0.165217,0.147826,0.060870,0.043478,0.026087,0.086957,0.086957,0.008696,0.052174,0.026087,0.026087
SBX_MNUF,0.070513,0.019231,0.173077,0.064103,0.128205,0.141026,0.025641,0.006410,0.121795,0.038462,0.000000,0.173077,0.038462,0.000000
SBX_MPOLY,0.096000,0.136000,0.032000,0.120000,0.104000,0.152000,0.080000,0.000000,0.104000,0.072000,0.000000,0.080000,0.016000,0.008000
SBX_NONE,0.013456,0.016997,0.015581,0.016289,0.796034,0.009915,0.018414,0.023371,0.011331,0.009915,0.020538,0.007082,0.016997,0.024079
SPC_MNUF,0.156757,0.054054,0.081081,0.054054,0.118919,0.156757,0.043243,0.000000,0.129730,0.059459,0.000000,0.091892,0.054054,0.000000
SPC_MPOLY,0.030928,0.113402,0.010309,0.082474,0.268041,0.082474,0.041237,0.041237,0.113402,0.072165,0.030928,0.020619,0.072165,0.020619
SPC_NONE,0.000000,0.019231,0.038462,0.019231,0.634615,0.000000,0.019231,0.057692,0.019231,0.076923,0.057692,0.038462,0.000000,0.019231
TPC_MNUF,0.076923,0.071429,0.109890,0.049451,0.115385,0.159341,0.021978,0.000000,0.137363,0.060440,0.010989,0.137363,0.032967,0.016484
TPC_MPOLY,0.076190,0.066667,0.085714,0.104762,0.171429,0.104762,0.123810,0.019048,0.066667,0.028571,0.028571,0.057143,0.047619,0.019048
TPC_NONE,0.038462,0.019231,0.000000,0.000000,0.538462,0.019231,0.057692,0.019231,0.038462,0.000000,0.057692,0.096154,0.038462,0.076923
UC_MNUF,0.118750,0.037500,0.156250,0.043750,0.143750,0.112500,0.031250,0.012500,0.106250,0.050000,0.031250,0.112500,0.043750,0.000000
UC_MPOLY,0.059524,0.035714,0.059524,0.071429,0.238095,0.059524,0.083333,0.011905,0.047619,0.119048,0.000000,0.107143,0.059524,0.047619
UC_NONE,0.000000,0.016949,0.000000,0.033898,0.559322,0.016949,0.016949,0.050847,0.067797,0.050847,0.033898,0.050847,0.016949,0.084746
