ID,Seed,Execution,Generation,GenCreation,Progress,isChild,isMutant,Integer_encoding,Binary_encoding,Real_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HV,dHV,HD_P1,HD_P2,HD_BM,HD_PB,NFHT,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,arch_status,Trained_Completely,Has_CM,Ranking,NSGA2,HHSE,HHSE_TYPE,Chosen_operator,Selected_by,search_name
BLOKUN[M],0,1,1,1,0.01,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6769104808372503,0.0,0.0,0.0,0.375,0.0,0.01,0,10,0,100,0,0.1,BEST,False,False,273,True,True,GREEDY,,,GREEDY_GD
BLOKUN[M],0,1,2,1,0.02,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6951377547283282,0.0047412840241332,0.0,0.0,0.375,0.0,0.01,0,1,0,100,0,0.01,BEST,False,False,273,True,True,GREEDY,,,GREEDY_GD
BLOKUN[M],0,1,3,1,0.03,True,True,"[2, 25, 43, 39, 46, 6, 30, 22]",[],"[2.9941005516667927, 25.30300722702396, 43.48074307429376, 39.01790572931153, 46.092845183377136, 6.484213245313283, 30.137366282496608, 22.272421311013435]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7029937051299073,,,,1199660032,3540132,,,,,,"[2, 25, 44, 38, 45, 6, 30, 22]",0.6949862747366087,-0.002526425802704,0.0,0.0,0.375,0.0,0.01,0,0,0,100,0,0.0,BEST,False,False,273,True,True,GREEDY,,,GREEDY_GD
BLOKUN[M][M],0,1,4,4,0.04,True,True,"[4, 27, 42, 38, 46, 5, 30, 23]",[],"[4.858080268077899, 27.032833572307705, 42.94024398968365, 38.25067284651242, 46.85684141326258, 5.41950382017507, 30.479705376581936, 23.88883586782676]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7043101877422093,,,,1274919936,3245092,,,,,,"[4, 25, 45, 38, 46, 6, 30, 22]",0.7009028605078489,0.0004853984743838,0.0,0.0,0.5,0.75,0.04,0,2,0,100,0,0.02,BEST,False,False,255,True,True,GREEDY,,,GREEDY_GD
BLOKUN[M][M],0,1,5,4,0.05,True,True,"[4, 27, 42, 38, 46, 5, 30, 23]",[],"[4.858080268077899, 27.032833572307705, 42.94024398968365, 38.25067284651242, 46.85684141326258, 5.41950382017507, 30.479705376581936, 23.88883586782676]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7043101877422093,,,,1274919936,3245092,,,,,,"[4, 25, 45, 38, 46, 6, 30, 22]",0.7056062989025815,0.001850296595717,0.0,0.0,0.5,0.0,0.04,0,0,0,100,0,0.0,BEST,False,False,255,True,True,GREEDY,,,GREEDY_GD
BLOKUN[M][M],0,1,6,4,0.06,True,True,"[4, 27, 42, 38, 46, 5, 30, 23]",[],"[4.858080268077899, 27.032833572307705, 42.94024398968365, 38.25067284651242, 46.85684141326258, 5.41950382017507, 30.479705376581936, 23.88883586782676]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7043101877422093,,,,1274919936,3245092,,,,,,"[4, 25, 45, 38, 46, 6, 30, 22]",0.7059614259088783,-0.0026133913075384,0.0,0.0,0.5,0.0,0.04,0,1,0,100,0,0.01,BEST,False,False,255,True,True,GREEDY,,,GREEDY_GD
BFZGLF[M],0,1,7,7,0.07,True,True,"[2, 3, 43, 39, 46, 6, 29, 22]",[],"[2.1497586618005213, 3.286475725051054, 43.61315030179338, 39.75984915942815, 46.66758662264857, 6.1940317632872866, 29.848725964309168, 22.799249535589208]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706180107354008,,,,1079718912,3541668,,,,,,"[2, 3, 43, 39, 46, 6, 30, 22]",0.7116785066930658,2.2265934006671092e-05,0.125,0.375,0.125,0.875,0.07,0,0,0,100,0,0.0,BEST,False,False,231,True,True,GREEDY,,,GREEDY_GD
BFZGLF[M],0,1,8,7,0.08,True,True,"[2, 3, 43, 39, 46, 6, 29, 22]",[],"[2.1497586618005213, 3.286475725051054, 43.61315030179338, 39.75984915942815, 46.66758662264857, 6.1940317632872866, 29.848725964309168, 22.799249535589208]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706180107354008,,,,1079718912,3541668,,,,,,"[2, 3, 43, 39, 46, 6, 30, 22]",0.7147573864063621,-0.0003839830943652,0.125,0.375,0.125,0.0,0.07,0,0,0,100,0,0.0,BEST,False,False,231,True,True,GREEDY,,,GREEDY_GD
BFZGLF[M],0,1,9,7,0.09,True,True,"[2, 3, 43, 39, 46, 6, 29, 22]",[],"[2.1497586618005213, 3.286475725051054, 43.61315030179338, 39.75984915942815, 46.66758662264857, 6.1940317632872866, 29.848725964309168, 22.799249535589208]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.706180107354008,,,,1079718912,3541668,,,,,,"[2, 3, 43, 39, 46, 6, 30, 22]",0.7158555310844974,-0.0017070308254028,0.125,0.375,0.125,0.0,0.07,0,0,0,100,0,0.0,BEST,False,False,231,True,True,GREEDY,,,GREEDY_GD
BNGTSE[M],0,1,10,10,0.1,True,True,"[0, 4, 4, 38, 46, 4, 30, 23]",[],"[0.39294761319092486, 4.625827545823629, 4.874686635998341, 38.364887228053085, 46.07703963774709, 4.754296401852113, 30.251604827356292, 23.2143873903755]","[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,NSGA2,,,,,0.7064673747384204,,,,607919104,2759332,,,,,,"[0, 4, 6, 38, 46, 4, 30, 22]",0.7177218563230584,-4.821670897581232e-05,0.125,0.5,0.25,0.875,0.1,0,0,0,100,0,0.0,BEST,False,False,227,True,True,GREEDY,,,GREEDY_GD
